Paragraph 0
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
秘爲人温良純雅,舉州愛之,未幾卒.	bí là người ôn hoà , nhã nhặn , cả châu yêu mến , không được bao lâu thì mất .
初璜之死,九真戍兵作亂,逐太守,其渠帥趙祉圍郡,彦悉平之.	khi hoàng mới mất , các thú binh ở cửu chân làm loạn , đuổi thái thú , người cầm đầu là triệu chỉ vây quận trị , ngạn dẹp yên cả .
碩遂專制[一云並其母皆鴆殺],恐民情不叶,乃令璜子蒼吳太守威領刺史.	thạc bèn chuyên quyền ( có sách chép là cả mẹ của thọ cũng bị giết bằng thuốc độc ) , nhưng sợ dân tình không theo , bèn cho con trai của hoàng là uy thái thú thương ngô về lĩnh chức thứ sử .
州民寧靜,自表求代晉帝,以員外郎散騎常侍顧秘代之.	vua tấn lấy viên ngoại lang tán kỵ thường thị là ngô ngạn làm đô đốc thứ sử .
威在職甚得百姓心,三十年卒.	uy ở chức rất được lòng dân , được ba mươi năm thì chết .
璜在州三十年,威惠素著,爲殊俗所慕.	hoàng ở châu ba mươi năm , tỏ ra người có ân có uy , được người địa phương yêu mến .
州人逼其子參領州事.	người trong châu cố ép con của bí là tham trông coi việc châu .
迺殺長吏胡肇等,又將殺帳.	rồi giết trưởng lại là bọn hồ triệu , lại toan giết đốc quân dưới trướng là lương thạc .
自基至綏凡四世並爲刺史.	từ cơ đến tuy bốn đời đều làm thứ sử .
及卒,舉州啼哭如䘮慈親.	đến khi chết , cả châu khóc thương như mất cha mẹ hiền .
威弟淑,子綏相繼爲刺史.	em trai uy là thục , con trai là tuy nối nhau làm thứ sử .
壽固求之,遂領州事.	thọ cố nài , bèn được coi việc châu .
壽母令鴆殺之.	mẹ thọ sai lấy thuốc độc giết chết .
晉帝以員外郎散騎常侍吳彦爲都督刺史.	vua tấn cho viên ngoại lang tán kỵ thường thị là cố bí thay .
在任二十五年,恩威宣著.	ngạn giữ chức hai mươi lăm năm , ân uy rõ rệt , dân trong châu yên ổn , sau dâng biểu xin cho người thay .
參尋卒,弟壽領州事,州人不咱.	sau tham chết , em là thọ trông coi việc châu , người châu không nghe .
綬詣洛陽.	thao về lạc dương .
下督軍梁碩.	

Paragraph 32
春,三月,晋阮敷爲交州刺史.	mùa xuân , tháng ba , nguyễn phu nhà tấn làm thứ sử giao châu .
冬,十月,晉帝詔加廣州刺史陶侃都督交州諸軍事.	mùa đông , tháng mười , vua tấn xuống chiếu cho thứ sử quảng châu là đào khản làm đô đốc giao châu chư quân sự .
侃遣參軍高寶攻碩,斬之.	đào khản sai tham quân là cao bảo sang đánh , chém chết thạc .
春,二月,陶侃遣兵救王諒,未至梁碩拨龍編.	mùa xuân , tháng hai , đào khản sai quân đi cứu vương lượng , chưa đến nơi thì lương thạc đã lấy được long biên rồi .
晋帝以侃領交州刺史,進號征南大將軍,開府儀同三司.	vua tấn cho khản lĩnh chức thứ sử giao châu , thăng hiệu là chinh nam đại tướng quân , được mở phủ riêng nghi thức như tam ti .
癸丑,[晋穆帝珊永和九年].	quý sửu , ( tấn mục đế san , vĩnh hoà năm thứ chín ) .
族子也]放走得免,至州少時暴頞渴死.	phóng chạy thoát , đến châu được chốc lát thì khát nước quá mà chết .
戊寅,[東晉元帝司馬睿,大興元年].	mậu dần , ( đông tấn nguyên đế tư mã duệ , đại hưng năm thứ nhất ) .
放至寧浦遇寶,爲設饌,伏兵欲殺之.	phóng đến ninh phố gặp cao bảo , mời bảo đến dự cơm , đặt phục binh muốn giết bảo .
昌晋王敦以王諒爲刺史,使攻梁碩.	vương đôn nhà tấn lấy vương lượng làm thứ sử , sai đánh lương thạc .
碩據州凶暴,失眾心.	thạc chiếm châu , hung bạo mất lòng dân .
未幾吏部侍郎阮放求爲刺史,晋帝許之.	không bao lâu , thị lang lại bộ là nguyễn phóng xin làm thứ sử , vua tấn bằng lòng .
碩舉兵圍諒於龍編.	thạc đem quân vây lượng ở long biên .
寶覺舉兵擊放[放咸之.	bảo biết chuyện , liền đem quân đánh phóng ( phong là cháu họ của hàm ) .
基璜之祖父也.	cơ là ông nội của hoàng .
癸未,[晋明帝紹,太寧元年].	nhâm ngọ , ( tấn vĩnh xương năm thứ nhất ) .
敷討.	phu đánh
逾旬而卒.	được hơn mười ngày thì lượng chết .
壬午,[晉永年].	
奪諒節,諒不與,碩斷諒左臂,諒曰:"死且不避,斷臂何爲?	
	quý mùi , ( tấn minh đế thiệu , thái ninh năm thứ nhất ) .
	thạc đoạt lấy cờ tiết của lượng , lượng không cho , thạc bèn chặt tay trái của lượng , lượng nói : " chết còn không tránh , chặt cánh tay thì làm gì ?

Paragraph 33
南土湿潤,多有毒氣,累年征討,死亡减耗,見在二千四百人.	vì đất nam ẩm thấp , có nhiều khí độc , liền năm đánh dẹp , ốm chết hao hụt , hiện nay chỉ còn hai nghìn bốn trăm người .
臣昔爲固國所采,編戍在南十有餘年,雖剪其魁桀,而深山僻穴常有逋竄.	thần trước kia được nước cũ dùng , cho đóng giữ phương nam hơn mười năm , tuy đã trừ được những tên đầu sỏ , nhưng ở chốn núi sâu hang cùng vẫn còn có kẻ trốn tránh .
旦連扶南,種類猥多,明黨相倚,負險不實往隸.	vả lại liền với nước phù nam , rất nhiều chủng người , bè đảng dựa nhau , cậy thế đất hiểm không chịu thần phục .
[初晋平吳,徵交州兵,交州刺史陶璜上言曰:"交州外距林邑繩數千里.	( trước đây nhà tấn khi đã bình được nhà ngô , trưng binh ở giao châu một trăm mười chín , thứ sử giao châu là đào hoàng dâng thư nói : " giao châu ngoài cách lâm ấp chỉ vài nghìn dặm một trăm hai mươi .
春,三月,林邑王范胡達陷日南,九真,遂寇交州.	mùa xuân , tháng ba , vua nước lâm ấp là phạm hồ đạt đánh lấy nhật nam và cửu chân , rồi vào cướp giao châu .
李遜餘黨李脱等結集俚,獠五千餘人以應循,庚子至龍編南津.	dư đảng của lý tốn là bọn lý thoát kết tụ với dân lý , lạo hơn năm nghìn người để ứng theo lư tuần , ngày canh tý kéo đến bờ nam long biên .
夏,四月,永嘉太守盧循來奔.	mùa hạ , tháng bốn , thái thú quận vĩnh gia là lư tuần chạy sang .
夷帥范熊世爲逋寇,自稱王,數攻百姓.	tướng di là phạm hùng đời đời trốn tránh làm giặc , tự xưng vương , nhiều lần đánh phá trăm họ .
詔書未至,循攻破合浦,逕向交州.	chiếu thư chưa đến nơi , tuần đã đánh phá hợp phố , tiến thẳng đến giao châu .
吳時劫掠良民,殺害長吏.	khi trước còn thuộc nước ngô thì nhiều lần cướp bóc dân lành , phá quận huyện , giết hại trưởng lại .
己亥,[晋安帝德宗,隆安三年].	kỷ hợi , ( tấn an đế đức tông , long an năm thứ ba ) .
辛亥,[晉義熙七年].	tân hợi , ( tấn nghĩa hy năm thứ bảy ) .
慧度率州府文武拒循於石𥔎,破之.	tuệ độ đem các quan văn võ ở châu phủ chống nhau với tuần ở thạch kỳ một trăm hai mươi bốn , đánh tan được .
初,刺史杜瑗卒[或云瑗本属京兆,祖元守合浦,因居交趾],晉帝以其子慧度爲刺史代之.	trước đó , khi thứ sử đỗ viện chết ( có sách nói viện vốn người kinh triệu , ông là nguyên , làm thái thú hợp phố , nhân đó viện mới đến ở giao chỉ ) , vua tấn cho con là tuệ độ thay làm thứ sử .
林邑破五十餘壘.	nước lâm ấp một trăm mười tám , phá được hơn năm mươi luỹ .
今四海混同,無思不服,當卷甲鎖兵,令其損約,以示單弱.	nay bốn biển thống nhất , không còn lo kẻ nào không thần phục , đáng lẽ nên cuốn giáp huỷ gươm một trăm hai mươi mốt .
杜瑗擊破之.	đỗ viện đánh tan được .
夫風塵之變出於非常.	phàm việc phong trần , biến đổi thường xảy ra thình lình .
循餘眾猶二千.	quân của tuần sống sót khoảng hai nghìn người .
晋武從之,至今猶見其效].	
	lúc đầu số quân của thần trông coi là tám nghìn .

Paragraph 34
秋,七月,慧度擊林邑大破之,斬殺過半.	mùa thu , tháng bảy , tuệ độ đánh lâm ấp , phá được , chém giết đến quá nửa .
慧度在州,布衣,蔬食,禁淫祠,修學校歲飢以私祿賑給之,爲政纖密一如治家,吏民畏而愛之.	tuệ độ ở giao châu , mặc áo vải , ăn cơm rau , cấm thờ nhảm , sửa nhà học , năm đói kém thì lấy lộc riêng để chẩn cấp , làm việc cẩn thận chu đáo cũng như việc nhà , lại dân sợ mà yêu .
慧度悉散家財賞軍士,與循合戰,擲稚尾炬焚其舟艦,以步兵夾岸射之.	tuệ độ bỏ hết gia tài để thưởng quân sĩ , cùng tuần giao chiến , ném đuốc đuôi trĩ đốt thuyền bè của tuần , cho bộ binh áp bờ sông bắn xuống .
慧度取其屍斬之,并妻子及脱等,函首送建康.	tuệ độ sai nhặt xác đem chém đầu , cùng với vợ con của tuần và bọn thoát , đều lấy đầu đóng hòm đưa về kiến khang .
循知必死,先鴆妻子,召妓妾問曰:"誰能從我者?	tuần biết thế nào cũng chết , bỏ thuốc độc cho vợ con chết trước rồi gọi các nàng hầu con hát hỏi rằng : " ai có thể theo ta ?
癸丑,[晋義熙九年].	quý sửu , ( tấn nghĩa hy năm thứ chín ) .
慧度擊斬之.	tuệ độ đánh chém được .
庚申,[晋恭帝德文,元熙二年宋武帝劉裕,永初元年].	canh thân , ( tấn cung đế đức văn , nguyên hy năm thứ hai ; tống vũ đế lưu dụ , vĩnh sơ năm thứ nhất ) .
冬,十二月,林邑寇交州.	mùa đông , tháng mười hai , quân lâm ấp cướp giao châu .
春,二月,林邑王范胡達寇九真.	mùa xuân , tháng hai , vua nước lâm ấp là phạm hồ đạt cướp quận cửu chân .
循乃悉殺諸辞死者,因自投于水.	tuần bèn giết hết những kẻ không chịu chết theo , rồi gieo mình xuống sông mà chết .
州將敗之.	tướng châu đánh bại được .
前後爲所掠者.	những người trước sau bị cướp bắt đều được trả về cả .
多云:"雀,鼠貪生,就死實難"或云:"官上當死,某𡸈願生".	cũng có người nói : " quan còn phải chết , chúng tôi há lại muốn sống " .
循舟艦俱燃.	lâm ấp xin hàng , tuệ độ cho .
乙卯,[晋義熙十一年].	ất mão , ( tấn nghĩa hy năm thứ mười một ) .
林邑乞降,許之.	thuyền của tuần cháy hết bèn tan vỡ .
遂大潰.	
皆遣還.	
城門夜開,道不十遺.	
	cửa thành đêm vẫn mở , ngoài đường không ai nhặt của rơi .

Paragraph 35
李太宗斬其主乍斗,聖宗擒其主制矩,而繁其民五萬人,至今爲臣僕,亦足以雪數年污辱之讐耻也.	lý thái tông chém đầu vua nước ấy là sạ đẩu , lý thánh tông bắt vua nước ấy là chế củ , bắt làm tù dân nước ấy năm vạn người , đến nay vẫn còn phải chịu làm tôi tớ , cũng đủ để rửa được mối hận thù hổ thẹn của mấy năm ô nhục này .
夏,四月,庚戌,宋帝徵弘文爲廷尉,王徽之爲刺史.	mùa hạ , tháng bốn , ngày canh tuất , vua tống gọi hoằng văn về làm đình uý , cho vương huy chi làm thứ sử .
夏,五月,林邑王范陽邁遣使入貢于宋,求領交州.	mùa hạ , tháng năm , vua lâm ấp là phạm dương mại sai sứ sang cống nước tống , xin lĩnh giao châu .
春,二月,宋帝遣交州刺史檀和之討林邑.	mùa xuân , tháng hai , vua tống sai thứ sử giao châu là đàn hoà chi đánh lâm ấp .
黎文休曰:賁育之稚幼則不能抗跛尪之壯年.	lê văn hưu nói : bôn và dục mà lúc còn thơ ấu cũng không thể chống nổi người què , người thọt đã tráng niên .
遂行,卒於廣州.	bèn cứ đi , chết ở quảng châu .
弘文曰:"吾仗節三世,常欲投軀帝庭,况被徵乎?	hoằng văn nói : " nhà ta ba đời cầm phù tiết , thường muốn đem mình sang chầu sân vua , huống chi nay lại được gọi về " .
林邑乘我越無軍之時,乃寇日南,九真,而求領之,𡸈當時我越不能支此林邑耶!	nước lâm ấp thừa lúc nước việt ta không có vua , đến cướp nhật nam và cửu chân rồi xin quản lĩnh cả , có phải bấy giờ nước việt ta không thể chống nổi nước lâm ấp ấy đâu !
丁卯,[宋文帝義龍,元家四年].	đinh mão , ( tống văn đế nghĩa long , nguyên gia năm thứ bốn ) .
時弘文有疾,自輿就道,或勸之待病愈.	bấy giờ hoằng văn đang ốm , cố ngồi xe lên đường , có người khuyên chờ khỏi ốm hãy đi .
壬申,[宋元嘉九年].	nhâm thân , ( tống nguyên gia năm thứ chín ) .
林邑王范陽邁寇九真,州兵擊却之.	vua nước lâm ấp là phạm dương mại cướp phá quận cửu chân , bị quân châu đánh lui .
辛未,[宋元嘉八年].	tân mùi , ( tống nguyên gia năm thứ tám ) .
丙子,[宋元嘉十三年].	bính tý , ( tống nguyên gia thứ mười ba ) .
慧度卒,贈左將軍,以其子弘文爲刺史.	khi tuệ độ chết , tặng chức tả tướng quân , cho con là hoằng văn làm thứ sử .
特以無統率之者故也.	chỉ vì không có người thống suất mà thôi !
時不終否而必泰.	thời không bĩ mãi , tất có lúc thái .
宋帝詔答以道遠不許.	vua tống xuống chiếu trả lời vì đường xa không cho .
勢不終屈而必伸.	thế không khuất mãi , tất có lúc duỗi .
是歲晋亡.	năm ấy nhà tấn mất .

Paragraph 36
五月,和之等拨區粟城,斬扶龍,乘勝入象浦.	tháng năm , bọn hoà chi hạ thành khu túc , chém phù long , thừa thắng tiến vào tượng phố .
初,林邑王笵陽邁雖遣使入貢,而寇盗不絶,故宋帝使和之討之.	trước kia , vua lâm ấp là phạm dương mại tuy sai sứ sang cống , nhưng vẫn không thôi việc cướp bóc , cho nên vua tống sai hoà chi đi đánh .
慤曰:"吾聞外國有獅子,威服百獸".	xác nói : " ta nghe nước ngoài có giống sư tử , oai phục được trăm loài thú " .
時南陽人宗慤,家世業儒,慤獨好武事,常言:"願乘長風破萬里浪".	bấy giờ người quận nam dương là tông xác , nếp nhà đời đời nho học , riêng xác thích việc võ , thường nói : " muốn cưỡi gió lớn mà phá sóng muôn dặm " .
陽邁聞軍出,遣使表請還所掠日南民輸,金一萬斤,銀十萬斤.	dương mại nghe tin quân tống sang , sai sứ dâng biểu xin trả lại những người dân nhật nam bị bắt và nộp một vạn cân vàng , mười vạn cân bạc .
和之怒,進圍林邑將笵扶龍於區粟城.	hoà chi giận , tiến vây tướng của lâm ấp là phạm phù long ở thành khu túc .
史臣吳士連曰:有用之才無施不可,𡸈拘於世.	sử thần ngô sĩ liên nói : có tài hữu dụng thì không thể không đem ra thi thố , há câu nệ vì thói đời
陽邁傾國來戰,以具装被象前後無際.	dương mại dốc sức cả nước ra đánh , lấy các vật che bọc mình voi , trước sau không hở .
宋帝詔和之:"若陽邁果有誠欵,亦與其歸順".	vua tống xuống chiếu bảo hoà chi : " nếu dương mại thực có lòng thành , cũng cho quy thuận " .
林邑兵大敗.	quân lâm ấp thua to .
及和之伐林邑,慤自奮請從軍.	đến khi hoà chi đi đánh lâm ấp , xác hăng hái xin đi theo quân .
宋帝以慤爲振武將軍.	vua tống cho xác làm chấn vũ tướng quân .
和之遂克林邑,陽邁及其子僅以身免,所獲異名之寶不可勝計.	hoà chi thắng được lâm ấp , dương mại cùng với con đều chỉ chạy thoát thân , thu được đồ châu báu lạ không biết bao nhiêu mà kể .
慤一無所取,還家之日,衣櫛蕭然.	riêng tông xác không lấy một thứ gì , ngày về nhà cũng chỉ có khăn áo xác xơ .
慤潜兵迎擊昆沙達,大破之.	xác lén đem quân đón đánh con sa đạt , phá tan được .
乃制其形與象相拒,象果驚走.	bèn làm hình sư tử để chống lại voi , voi quả nhiên sợ chạy .
和之遣慤爲前鋒.	hoà chi sai xác làm tiên phong .
陽邁遣其將笵昆沙達救之.	dương mại sai tướng là phạm côn sa đạt đến cứu .
和之至朱梧戍[小註朱梧縣自漢,以來属日南郡,時於其地置戍],遣府户曹參軍姜仲基等[府者交州刺史府也]前.	hoà chi đến đóng ở đồn chu ngô ( huyện chu ngô từ thời hán đến giờ thuộc quận nhật nam , bấy giờ đặt đồn thú ở đấy ) , sai hộ tào tham quân của phủ là bọn khương trọng cơ ( phủ là phủ thứ sử giao châu ) đi trước đến gặp dương mại , bị dương mại bắt giữ .
詣陽邁,陽邁執之.	

Paragraph 37
秋,七月,齊帝以李叔獻爲交州刺史.	mùa thu , tháng bảy , vua tề lấy lý thúc hiến làm thứ sử giao châu .
宋以南海泰守沈渙爲刺史,以叔獻爲寧遠軍司馬,武平,新昌二部太守.	nhà tống lấy thái thú nam hải là thẩm hoán làm thứ sử giao châu , cho thúc hiến làm ninh viễn quân tư mã , giữ chức thái thú hai quận vũ bình và tân xương .
春,三月,刺史劉牧病卒.	mùa xuân , tháng ba , thứ sử lưu mục ốm chết .
春,三月,朔,日食.	mùa xuân , tháng ba , ngày mồng một , có nhật thực .
秋,八月,宋帝以南康相劉勃爲交州刺史.	mùa thu , tháng tám , vua tống lấy nam khang tướng là lưu bột làm thứ sử giao châu .
州人李長仁殺州牧北來部曲遂據州反,自稱刺史.	người châu là lý trường nhân giết những bộ thuộc của châu mục đem từ trung quốc sang rồi chiếm giữ châu làm phản , tự xưng là thứ sử .
較之志道德者,固不可及,而視其志富貴者,風斯下矣.	người có chí về đạo đức thì công danh không thể động được lòng , người có chí về công danh thì phú quý không thể động được lòng .
還家之日,財物一無所取,此富貴不足以勤其心之實也.	ngày trở về nhà , tài vật không lấy một thứ gì , đó thực sự là phú quý không thể động được lòng .
初,刺史長仁卒,叔獻代領州事,以號令未行,遣使求刺史於宋.	trước đó khi thứ sử trường nhân chết , thúc hiến thay lĩnh việc châu , vì thấy hiệu lệnh chưa được thi hành cho nên sai sứ sang xin nhà tống cho giữ chức thứ sử .
己未,[宋順帝準,昇明三年;齊髙帝蕭道成,建元元年].	kỷ mùi , ( tống thuận đế chuẩn , thăng minh năm thứ ba ; tề cao đế tiêu đạo thành , kiến nguyên năm thứ nhất ) .
十一月,李長仁遣使請降,自貶行州事.	tháng mười một , lý trường nhân sai sứ xin hàng và tự hạ xuống chức hành châu sự .
冬,十月,壬午,檀和之去官歸.	mùa đông , tháng mười , ngày nhâm ngọ , đàn hoà chi bỏ quan về .
丁丑,[宋元嘉十四年].	đinh sửu , ( tống nguyên gia năm thứ mười bốn ) .
戊申,[宋明帝彧,泰始四年].	mậu thân , ( tống minh đế úc , thái thuỷ năm thứ bốn ) .
人之立志有異.	người ta lập chí mỗi người một khác .
叔獻長仁之從弟也.	thúc hiến là em con chú con bác của trường nhân .
勃至,爲長人.	bột đến , bị trường nhân chống cự , không bao lâu thì chết .
宗慤之志盖志乎功名者歟?	chí của tông xác có lẽ ở công danh chăng ?
尔志乎道德者,功名不足以勤其心;志乎功名者,富貴不足以勤其心.	
所拒,未幾卒.	
	so với người có chí về đạo đức , cố nhiên không thể kịp , nhưng so với người có chí về phú quý thì hạng ấy còn kém xa .

Paragraph 38
春,正月,丙辰,齊帝以大司農劉楷爲刺史,發南康,盧陵,始興兵討李叔獻.	mùa xuân , tháng giêng , ngày bính thìn , vua tề lấy đại tư nông lưu khải làm thứ sử , phát binh các quận nam khang , lư lăng , thuỷ hưng đi đánh lý thúc hiến .
登之厚賂法乘妹夫崔景叔,得出,因將部曲襲州,執法乘謂之曰:"使君既有疾,不宜煩勞",囚之别室.	đăng chi hối lộ nhiều cho thôi cảnh thúc , là chồng của em gái pháp thặng , nên được thả ra , rồi đem bộ khúc đánh úp châu trị , bắt pháp thặng , bảo thặng rằng : " sứ quân đã có bệnh , thì không nên khó nhọc " , rồi giam ở một nhà riêng .
乙丑,[齊永明三年].	ất sửu , ( tề vĩnh minh năm thứ ba ) .
甲子[齊武帝頤,永明二年].	giáp tý , ( tề vũ đế di , vĩnh minh năm thứ hai ) .
叔獻既得朝命人心服從,遂發兵守險,不納渙.	thúc hiến đã được mệnh lệnh của triều đình , lòng người phục theo , bèn đem quân giữ nơi hiểm , không chịu thu nạp thẩm hoán .
叔獻遣使乞罷兵献二十隊純銀兜𮢶及孔雀毦仍吏反,以孔雀毛爲飭也.	thúc hiến sai sứ xin bãi binh , dâng hai mươi cỗ mũ đâu mâu toàn bằng bạc cùng dải tua bằng lông công .
李叔献既受命而斷割貢献.	lý thúc hiến nhận mệnh xong liền cắt đứt việc cống hiến .
即以叔獻爲刺史,撫安南土.	vua tề bèn cho thúc hiến làm thứ sử , vỗ yên đất phương nam .
叔献惧爲楷所襲,間道自湘州朝于齊.	thúc hiến sợ bị khải đánh úp , mới đi đường tắt từ tương châu sang chầu vua tề , khải bèn vào trấn .
登之曰:"使君靜處猶恐疾作,𡸈可觀書",遂不與,乃奏法乘心疾動,不能任事.	mùa đông , tháng mười , thứ sử là phòng pháp thặng ( thay lưu khải ) chỉ thích đọc sách , thường cáo ốm không làm việc , vì thế trưởng lại một trăm ba mươi bốn là phục đăng chi được chuyên quyền thay đổi các tướng lại mà không cho pháp thặng biết .
法乘無事,復就登之求讀書.	pháp thặng không có việc gì , lại gặp đăng chi xin đọc sách .
法乘大怒,繋登之於獄十餘日.	pháp thặng cả giận , giam đăng chi vào ngục hơn mười ngày .
齊帝欲討之.	vua tề muốn đánh .
録事房秀文白之.	lục sự là phòng tú văn mách với pháp thặng .
齊帝不許.	vua tề không cho .
是歲宋亡.	năm ấy nhà tống mất .
渙留鬱林卒.	hoán lưu lại ở uất lâm , rồi chết .
改易將吏不使法乘知.	" , bèn không cho , rồi tâu là pháp thặng bị bệnh động tim , không thể coi việc được .
庚午,[齊永明八年].	canh ngọ , ( tề vĩnh minh năm thứ tám ) .
冬,十月,刺史房法乘代刘專好讀書,嘗属[之欲反記也].	

Paragraph 39
在位七年.	ở ngôi bảy năm .
及聽請託之言,乃置之不問其失大矣,宜其反焉所襲,不死幸矣.	đến như nghe lời thỉnh thác mà bỏ qua không hỏi đến nữa , thì lỗi ấy to lắm , bị đánh úp lại là đáng , không chết là may .
史臣吳士連曰:房法乘好讀書而廢事政,長吏因之擅權,改易將吏,書癖之過也.	sử thần ngô sĩ liên nói : phòng pháp thặng ham đọc sách mà bỏ việc quan đến nỗi kẻ trưởng lại nhân đó chuyên quyên , thay đổi tướng lại , đó là cái lỗi nghiện sách quá .
其先北人西漢末苦於征伐避居土七世,遂爲南人.	tổ tiên là người bắc , cuối thời tây hán khổ về việc đánh dẹp , mới tránh sang ở đất phương nam , được bảy đời thì thành người nam .
右属于吳,晋,宋,齊,梁,起丁未,終庚申,共三百十四年.	trở lên thuộc ngô , tấn , tống , tề , lương , từ năm đinh mùi đến năm canh thân , cộng ba trăm mười bốn năm .
[帝志在滅賊救民,不幸遭陳霸先侵伐,飲恨而没.	vua có chí diệt giặc cứu dân , không may bị trần bá tiên sang đánh chiếm , nuốt hận mà chết .
十二月,乙卯,齊帝以登之爲刺使.	tháng mười một , ngày ất mão , vua tề cho đăng chi làm thứ sử .
[初,元凱代登之爲刺史,以梁受齊禪,而恩威未加,因奉州叛.	mùa xuân , tháng hai , thứ sử giao châu là lý nguyên khải chiếm châu làm phản , trưởng sử là lý tắc dẹp được ( trước nguyên khải thay đăng chi làm thứ sử , cho là nhà lương được nhà tề nhường ngôi , chưa có ân uy gì , nhân đó giữ châu làm phản .
畟又斬元凱餘黨李宗老,傳首建康,州乃平.	mùa đông , tháng mười một xuống chiếu cho lý tắc làm thứ sử , tắc lại chém lý tông lão là dư đảng của nguyên khải , lấy đầu chuyển về kiến khang , châu lại yên .
壬午,[梁武帝蕭衍,天監元年].	nhâm ngọ , ( lương vũ đế tiêu diễn , thiên giám năm thứ nhất ) .
乙酉,[梁天監四年].	ất dậu , ( lương thiên giám năm thứ bốn ) .
帝姓李,諱賁,龍興,太平人也.	vua họ lý , tên huý là bí một trăm ba mươi lăm , người thái bình long hưng một trăm ba mươi sáu .
至於繋獄而.	kỷ nhà tiền lý .
至是畟以宋兵討元凱殺之].	đến đây tắc đem tông binh đánh nguyên khải , giết được ) .
丙申,[梁天監十五年].	bính thân , ( lương thiên giám năm thứ mười lăm ) .
治之,能補過矣.	còn như giam vào ngục mà trừng trị , thế là biết sửa lỗi rồi .
是歲齊亡.	năm ấy nhà tề mất .
法乘還至五嶺卒.	pháp thặng về đến ngũ lĩnh thì chết .
故凡事過中未有不凶者也.	
前李紀.	
	cho nên phàm việc gì quá mức trung thì chưa từng không tai hại vậy .

Paragraph 40
壬戌,二年,[梁大同八年].	nhâm tuất , năm thứ hai , ( lương đại đồng năm thứ tám ) .
時守令暴刻,林邑寇邊,帝起兵攻逐之,稱爲南帝,國.	bấy giờ bọn thú lệnh tàn bạo hà khắc , lâm ấp cướp phá ngoài biên , vua dấy binh đánh đuổi được , xưng là nam đế , đặt quốc hiệu là vạn xuân , đóng đô ở long biên một trăm ba mươi bảy } .
有文武才,初仕梁,遭亂歸太平.	vua có tài văn võ , trước làm quan với nhà lương , gặp loạn , trở về thái bình .
癸亥,三年,[梁大同九年].	quý hợi , năm thứ ba , ( lương đại đồng năm thứ chín ) .
帝世家豪,右天資奇才,仕不得志.	vua vốn con nhà hào trưởng , thiên tư lỗi lạc , làm quan không được vừa ý .
廣州刺史新喻侯瑍不許,武林侯諮趣之.	thứ sử giao châu là vũ lâm hầu tiêu tư , vì hà khắc tàn bạo , mất lòng người .
子䧺等到合浦,死者十六七,眾潰而歸.	bọn tử hùng đi đến hợp phố , mười phần chết đến sáu , bảy phần , quân tan rã mà về .
辛酉,元年[梁七年].	tân dậu , năm thứ nhất , ( lương đại đồng năm thứ bảy ) .
梁吏部尙書蔡樽以并姓無前賢,除廣陽門郎.	thượng thư bộ lại nhà lương là sái tôn cho rằng họ tinh trước không có ai hiển đạt , nên chỉ bổ cho chức quảng dương môn lang .
有朱鳶酋長趙肅者,服帝才德,首率眾歸焉.	có triệu túc tù trưởng ở chu diên một trăm ba mươi chín phục tài đức của vua , bèn dẫn đầu đem quân theo về .
諮覺之,賄輸于帝,奔還廣州.	tiêu tư biết việc , đem của đến hối lộ cho vua , rồi chạy về quảng châu .
韶耻之,還鄕里,從帝謀起兵.	thiều lấy làm nhục , trở về làng , theo vua mưu việc dấy binh .
帝時監九德州,因連結數州豪傑,惧響應.	vua bấy giờ làm chức giám quân ở châu cửu đức một trăm ba mươi tám , nhân liên kết với hào kiệt mấy châu , đều hưởng ứng .
冬,十二月,梁帝命孫冋,盧子䧺.	mùa đông , tháng mười hai , vua lương sai tôn quýnh , lư tử hùng quýnh lấy cớ là chướng khí mùa xuân đương bốc , xin đợi đến mùa thu .
帝出據州城[即龍編也].	vua ra chiếm giữ châu thành ( tức là long biên ) .
諮誣奏冏及子䧺追遛,皆賜死.	tiêu tư tâu vu rằng quýnh và tử hùng dùng dằng không chịu đi , đều bị buộc phải tự tử .
大同交州刺史武林侯蕭諮,以刻暴失眾心.	bấy giờ thứ sử quảng châu là tân dụ hầu hoán một trăm bốn mươi không cho , vũ lâm hầu cũng thúc giục .
又有并韶者富於詞藻,詣繏求官.	lại có người là tinh thiều giỏi từ chương từng đến xin được chọn làm quan .
號萬春,郡龍邊.	
冏以春瘴方起,請待秋時.	

Paragraph 41
春,正月,帝因勝敵自稱南越帝,即位,建元,置百官,建國號曰:萬春,望社稷至萬世也.	mùa xuân , tháng giêng , vua nhân thắng giặc , tự xưng là nam việt đế , lên ngôi , đặt niên hiệu , lập trăm quan , dựng quốc hiệu là vạn xuân , ý mong cho xã tắc truyền đến muôn đời vậy .
夏,六月,梁以楊㬓[純招反又七妙反],爲交州刺史,陳霸先爲司馬,將兵來侵,命定州刺史蕭勃會㬓於江西.	mùa hạ , tháng sáu , nhà lương cho dương thiêu một trăm bốn mươi mốt làm thứ sử giao châu , trần bá tiên làm tư mã , đem quân sang xâm , sai thứ sử định châu là tiêu bột hội với bọn thiêu ở giang tây một trăm bốn mươi hai .
