Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh
”获默然不答。	" Hoạch mặc nhiên bất đáp.
孔明酒后，唤孟获同上马出寨，观看诸营寨栅所屯粮草，所积军器。	Khổng minh tửu hậu, hoán mạnh hoạch đồng thượng mã xuất trại, quan khán chư doanh trại sách sở truân lương thảo, sở tích quân khí.
孔明指谓孟获曰：“汝不降吾，真愚人也。	Khổng minh chỉ vị mạnh hoạch viết: "Nhữ bất hàng ngô, chân ngu nhân dã.
吾有如此之精兵猛将，粮草兵器，汝安能胜吾哉？	Ngô hữu như thử chi tinh binh mãnh tướng, lương thảo binh khí, nhữ an năng thắng ngô tai?
汝若早降，吾当奏闻天子，令汝不失王位，子子孙孙，永镇蛮邦。	Nhữ nhược tảo hàng, ngô đương tấu văn thiên tử, lệnh nhữ bất thất vương vị, tử tử tôn tôn, vĩnh trấn man bang.
意下若何？	Ý hạ nhược hà?
”获曰：“某虽肯降，怎奈洞中之人未肯心服。	" Hoạch viết: "Mỗ tuy khẳng hàng, chẩm nại động trung chi nhân vị khẳng tâm phục.
若丞相肯放回去，就当招安本部人马，同心合胆，方可归顺。	Nhược thừa tương khẳng phóng hồi khứ, tựu đương chiêu an bổn bộ nhân mã, đồng tâm hợp đảm, phương khả quy thuận.
”孔明忻然，又与孟获回到大寨。	" Khổng minh hãn nhiên, hựu dữ mạnh hoạch hồi đáo đại trại.
饮酒至晚，获辞去；孔明亲自送至泸水边，以船送获归寨。	Ẩm tửu chí vãn, hoạch từ khứ; khổng minh thân tự tống chí lô thủy biên, dĩ thuyền tống hoạch quy trại.
孟获来到本寨，先伏刀斧手于帐下，差心腹人到董荼那、阿会喃寨中，只推孔明有使命至，将二人赚到大寨帐下，尽皆杀之，弃尸于涧。	Mạnh hoạch lai đáo bổn trại, tiên phục đao phủ thủ vu trướng hạ, sai tâm phúc nhân đáo đổng đồ na, a hội nam trại trung, chỉ thôi khổng minh hữu sử mệnh chí, tương nhị nhân trám đáo đại trại trướng hạ, tẫn giai sát chi, khí thi vu giản.
孟获随即遣亲信之人，守把隘口，自引军出了夹山峪，要与马岱交战，却并不见一人；及问土人，皆言昨夜尽搬粮草，复渡泸水，归大寨去了。	Mạnh hoạch tùy tức khiển thân tín chi nhân, thủ bả ải khẩu, tự dẫn quân xuất liễu giáp sơn dục, yếu dữ mã đại giao chiến, khước tịnh bất kiến nhất nhân; cập vấn thổ nhân, giai ngôn tạc dạ tẫn bàn lương thảo, phục độ lô thủy, quy đại trại khứ liễu.
获再回洞中，与亲弟孟优商议曰：“如今诸葛亮之虚实，吾已尽知，汝可去如此如此。	Hoạch tái hồi động trung, dữ thân đệ mạnh ưu thương nghị viết: "Như kim Gia Cát lượng chi hư thật, ngô dĩ tẫn tri, nhữ khả khứ như thử như thử.
”孟优领了兄计，引百余蛮兵，搬载金珠、宝贝、象牙、犀角之类，渡了泸水，径投孔明大寨而来；方才过了河时，前面鼓角齐鸣，一彪军摆开：为首大将乃马岱也。	" Mạnh ưu lĩnh liễu huynh kế, dẫn bách dư man binh, bàn tái kim châu, bảo bối, tượng nha, tê giác chi loại, độ liễu lô thủy, kính đầu khổng minh đại trại nhi lai; phương tài quá liễu hà thời, tiền diện cổ giác tề minh, nhất bưu quân bãi khai: vi thủ đại tướng nãi mã đại dã.
孟优大惊。	Mạnh ưu đại kinh.
岱问了来情，令在外厢，差人来报孔明。	Đại vấn liễu lai tình, lệnh tại ngoại sương, sai nhân lai báo khổng minh.
孔明正在帐中与马谡、吕凯、蒋琬、费祎等共议平蛮之事，忽帐下一人，报称孟获差弟孟优来进宝贝。	Khổng minh chánh tại trướng trung dữ mã tắc, lữ khải, tương uyển, phí y đẳng cộng nghị bình man chi sự, hốt trướng hạ nhất nhân, báo xưng mạnh hoạch sai đệ mạnh ưu lai tiến bảo bối.
孔明回顾马谡曰：“汝知其来意否？	Khổng minh hồi cố mã tắc viết: "Nhữ tri kì lai ý phủ?
”谡曰：“不敢明言。	" Tắc viết: "Bất cảm minh ngôn.
容某暗写于纸上，呈与丞相，看合钧意否？	Dung mỗ ám tả vu chỉ thượng, trình dữ thừa tương, khán hợp quân ý phủ?
”孔明从之。	" Khổng minh tòng chi.
马谡写讫，呈与孔明。	Mã tắc tả cật, trình dữ khổng minh.
孔明看毕，抚掌大笑曰：“擒孟获之计，吾已差派下也。	Khổng minh khán tất, phủ chưởng đại tiếu viết: "Cầm mạnh hoạch chi kế, ngô dĩ sai phái hạ dã.
汝之所见，正与吾同。	Nhữ chi sở kiến, chánh dữ ngô đồng.
”遂唤赵云入，向耳畔分付如此如此；又唤魏延入，亦低言分付；又唤王平、马忠、关索入，亦密密地分付。	" Toại hoán triệu vân nhập, hướng nhĩ bạn phân phó như thử như thử; hựu hoán ngụy duyên nhập, diệc đê ngôn phân phó; hựu hoán vương bình, mã trung, quan tác

Paragraph 73
各人受了计策，皆依令而去，方召孟优入帐，优再拜于帐下曰：“家兄孟获，感丞相活命之恩，无可奉献，辄具金珠宝贝若干，权为赏军之资。	Các nhân thụ liễu kế sách, giai y lệnh nhi khứ, phương triệu mạnh ưu nhập trướng, ưu tái bái vu trướng hạ viết: "Gia huynh mạnh hoạch, cảm thừa tương hoạt mệnh chi ân, vô khả phụng hiến, triếp cụ kim châu bảo bối nhược can, quyền vi thưởng quân chi tư.
续后别有进贡天子礼物。	Tục hậu biệt hữu tiến cống thiên tử lễ vật.
”孔明曰：“汝兄今在何处？	" Khổng minh viết: "Nhữ huynh kim tại hà xứ?
”优曰：“为感丞相天恩，径往银坑山中收拾宝物去了，少时便回来也。	" Ưu viết: "Vi cảm thừa tương thiên ân, kính vãng ngân khanh sơn trung thu thập bảo vật khứ liễu, thiểu thời tiện hồi lai dã.
”孔明曰：“汝带多少人来？	" Khổng minh viết: "Nhữ đái đa thiểu nhân lai?
”优曰：“不敢多带。	" Ưu viết: "Bất cảm đa đái.
只是随行百余人，皆运货物者。	Chỉ thị tùy hành bách dư nhân, giai vận hóa vật giả.
”孔明尽教入帐看时，皆是青眼黑面，黄发紫须，耳带金环，鬅头跣足，身长力大之士。	" Khổng minh tẫn giáo nhập trướng khán thời, giai thị thanh nhãn hắc diện, hoàng phát tử tu, nhĩ đái kim hoàn, bằng đầu tiển túc, thân trường lực đại chi sĩ.
孔明就令随席而坐，教诸将劝酒，殷勤相待。	Khổng minh tựu lệnh tùy tịch nhi tọa, giáo chư tướng khuyến tửu, ân cần tương đãi.

Paragraph 74
却说孟获在帐中专望回音，忽报有二人回了；唤入问之，具说：“诸葛亮受了礼物大喜，将随行之人，皆唤入帐中，杀牛宰羊，设宴相待。	Khước thuyết mạnh hoạch tại trướng trung chuyên vọng hồi âm, hốt báo hữu nhị nhân hồi liễu; hoán nhập vấn chi, cụ thuyết: "Gia Cát lượng thụ liễu lễ vật đại hỉ, tương tùy hành chi nhân, giai hoán nhập trướng trung, sát ngưu tể dương, thiết Mạnh Hoạch ở nhà, chực đợi tin yến tương đãi.
二大王令某密报大王：今夜二更，里应外合，以成大事。	Nhị đại vương lệnh mỗ mật báo đại vương: kim dạ nhị canh, lí ứng ngoại hợp, dĩ thành đại sự.
”孟获听知甚喜，即点起三万蛮兵，分为三队。	"Mạnh hoạch thính tri thậm hỉ, tức điểm khởi tam vạn man binh, phân vi tam đội.
获唤各洞酋长分付曰：“各军尽带火具。	Hoạch hoán các động tù trường phân phó viết: "Các quân tẫn đái hỏa cụ.
今晚到了蜀寨时，放火为号。	Kim vãn đáo liễu thục trại thời, phóng hỏa vi hào.
吾当自取中军，以擒诸葛亮。	Ngô đương tự thủ trung quân, dĩ cầm Gia Cát lượng.
”诸多蛮将，受了计策，黄昏左侧，各渡泸水而来。	" Chư đa man tương, thụ liễu kế sách, hoàng hôn tả trắc, các độ lô thủy nhi lai.
孟获带领心腹蛮将百余人，径投孔明大寨，于路并无一军阻当。	Mạnh hoạch đái lĩnh tâm phúc man tương bách dư nhân, kính đầu khổng minh đại trại, vu lộ tịnh vô nhất quân trở đương.
前至寨门，获率众将骤马而入，乃是空寨，并不见一人。	Tiền chí trại môn, hoạch suất chúng tướng sậu mã nhi nhập, nãi thị không trại, tịnh bất kiến nhất nhân.
获撞入中军，只见帐中灯烛荧煌，孟优并番兵尽皆醉倒。	Hoạch chàng nhập trung quân, chỉ kiến trướng trung đăng chúc huỳnh hoàng, mạnh ưu tịnh phiên binh tẫn giai túy đảo.
原来孟优被孔明教马谡、吕凯二人管待，令乐人搬做杂剧，殷勤劝酒，酒内下药，尽皆昏倒，浑如醉死之人。	Nguyên lai mạnh ưu bị khổng minh giáo mã tắc, lữ khải nhị nhân quản đãi, lệnh nhạc nhân bàn tố tạp kịch, ân cần khuyến tửu, tửu nội hạ dược, tẫn giai hôn đảo, hồn như túy tử chi nhân.
孟获入帐问之，内有醒者，但指口而已。	Mạnh hoạch nhập trướng vấn chi, nội hữu tỉnh giả, đãn chỉ khẩu nhi dĩ.
获知中计，急救了孟优等一干人；却待奔回中队，前面喊声大震，火光骤起，蛮兵各自逃窜。	Hoạch tri trúng kế, cấp cứu liễu mạnh ưu đẳng nhất can nhân; khước đãi bôn hồi trung đội, tiền diện hảm thanh đại chấn, hỏa quang sậu khởi, man binh các tự đào thoán.
一彪军杀到，乃是蜀将王平。	Nhất bưu quân sát đáo, nãi thị thục tương vương bình.
获大惊，急奔左队时，火光冲天，一彪军杀到，为首蜀将乃是魏延。	Hoạch đại kinh, cấp bôn tả đội thời, hỏa quang trùng thiên, nhất bưu quân sát đáo, vi thủ thục tương nãi thị ngụy duyên.
获慌忙望右队而来，只见火光又起，又一彪军杀到，为首蜀将乃是赵云。	Hoạch hoảng mang vọng hữu đội nhi lai, chỉ kiến hỏa quang hựu khởi, hựu nhất bưu quân sát đáo, vi thủ thục tương nãi thị triệu vân.
三路军夹攻将来，四下无路。	Tam lộ quân giáp công tương lai, tứ hạ vô lộ.
孟获弃了军士，匹马望泸水面逃。	Mạnh hoạch khí liễu quân sĩ, thất mã vọng lô thủy diện đào.
正见泸水上数十个蛮兵，驾一小舟，获慌令近岸。	Chánh kiến lô thủy thượng sổ thập cá man binh, giá nhất tiểu chu, hoạch hoảng lệnh cận ngạn.
人马方才下船，一声号起，将孟获缚住。	Nhân mã phương tài hạ thuyền, nhất thanh hào khởi, tương mạnh hoạch phược trụ.
原来马岱受了计策，引本部兵扮作蛮兵，撑船在此，诱擒孟获。	Nguyên lai mã đại thụ liễu kế sách, dẫn bổn bộ binh phẫn tác man binh, xanh thuyền tại thử,

Paragraph 75
于是孔明招安蛮兵，降者无数。	Vu thị khổng minh chiêu an man binh, hàng giả vô số.
孔明一一抚慰，并不加害。	Khổng minh nhất nhất phủ úy, tịnh bất gia hại.
就教救灭了余火。	Tựu giáo cứu diệt liễu dư hỏa.
须臾，马岱擒孟获至；赵云擒孟优至；魏延、马忠、王平、关索擒诸洞酋长至。	Tu du, mã đại cầm mạnh hoạch chí; triệu vân cầm mạnh ưu chí; ngụy duyên, mã trung, vương bình, quan tác cầm chư động tù trường chí.
孔明指孟获而笑曰：“汝先令汝弟以礼诈降，如何瞒得过吾！	Khổng minh chỉ mạnh hoạch nhi tiếu viết: "Nhữ tiên lệnh nhữ đệ dĩ lễ trá hàng, như hà man đắc quá ngô!
”获曰：“此乃吾弟贪口腹之故，误中汝毒，因此失了大事。	Kim phiên hựu bị Hoạch viết: "Thử nãi ngô đệ tham khẩu phúc chi cố, ngộ trung nhữ độc, nhân thử thất liễu đại sự.
吾若自来，弟以兵应之，必然成功。	Ngô nhược tự lai, đệ dĩ binh ứng chi, tất nhiên thành công.
此乃天败，非吾之不能也，如何肯服！	Thử nãi thiên bại, phi ngô chi bất năng dã, như hà khẳng phục!
”孔明曰：“今已三次，如何不服？	" Khổng minh viết: "Kim dĩ tam thứ, như hà bất phục?
”孟获低头无语。	" Mạnh hoạch đê đầu vô ngữ.
孔明笑曰：“吾再放汝回去。	Khổng minh tiếu viết: "Ngô tái phóng nhữ hồi khứ.
”孟获曰：“丞相若肯放吾兄弟回去，收拾家下亲丁，和丞相大战一场。	" Mạnh hoạch viết: "Thừa tương nhược khẳng phóng ngô huynh đệ hồi khứ, thu thập gia hạ thân đinh, hòa thừa tương đại chiến nhất trường.
那时擒得，方才死心塌地而降。	Na thời cầm đắc, phương tài tử tâm tháp địa nhi hàng.
”孔明曰：“再若擒住，必不轻恕。	" Khổng minh viết: "Tái nhược cầm trụ, tất bất khinh thứ.
汝可小心在意，勤攻韬略之书，再整亲信之士，早用良策，勿生后悔。	Nhữ khả tiểu tâm tại ý, cần công thao lược chi thư, tái chỉnh thân tín chi sĩ, tảo dụng lương sách, vật sinh hậu hối.
”遂令武士去其绳索，放起孟获，并孟优及各洞酋长，一齐都放。	" Toại lệnh võ sĩ khứ kì thằng tác, phóng khởi mạnh hoạch, tịnh mạnh ưu cập các động tù trường, nhất tề đô phóng.
孟获等拜谢去了。	Mạnh hoạch đẳng bái tạ khứ liễu.
此时蜀兵已渡泸水。	Thử thời thục binh dĩ độ lô thủy.
孟获等过了泸水，只见岸口陈兵列将，旗帜纷纷。	Mạnh hoạch đẳng quá liễu lô thủy, chỉ kiến ngạn khẩu trần binh liệt tương, kì xí phân phân.
获到营前，马岱高坐，以剑指之曰：“这番拿住，必无轻放！	Hoạch đáo doanh tiền, mã đại cao tọa, dĩ kiếm chỉ chi viết: "Giá phiên nã trụ, tất vô khinh phóng!
”孟获到了自己寨时，赵云早已袭了此寨，布列兵马。云坐于大旗下，按剑而言曰：“丞相如此相待，休忘大恩！	" Mạnh hoạch đáo liễu tự kỷ trại thời, triệu vân tảo dĩ tập nhi ngôn viết: "Thừa tương như thử tương đãi, hưu vong đại ân!
”获喏喏连声而去。	" Hoạch nhạ nhạ liên thanh nhi khứ.
将出界口山坡，魏延引一千精兵，摆在坡上，勒马厉声而言曰：“吾今已深入巢穴，夺汝险要；汝尚自愚迷，抗拒大军！	Tương xuất giới khẩu sơn pha, ngụy duyên dẫn nhất thiên tinh binh, bãi tại pha thượng, lặc mã lệ thanh nhi ngôn viết: "Ngô kim dĩ thâm nhập sào huyệt, đoạt nhữ hiểm yếu; nhữ thượng tự ngu mê, kháng cự đại quân!
这回拿住，碎尸万段，决不轻饶！	Giá hồi nã trụ, toái thi vạn đoạn, quyết bất khinh nhiêu!
”孟获等抱头鼠窜，望本洞而去。	" Mạnh hoạch đẳng bão đầu thử thoán, vọng bổn động nhi khứ.
后人有诗赞曰：“五月驱兵入不毛，月明泸水瘴烟高。	Hậu nhân hữu thi tán viết: "Ngũ nguyệt khu binh nhập bất mao, nguyệt minh lô thủy chướng yên cao.
誓将雄略酬三顾，岂惮征蛮七纵劳。	Thệ tương hùng lược thù tam cố, khởi đạn chinh man thất túng lao.
”	" đến một trái núi ở đầu cõi, lại thấy Ngụy Diên dẫn một nghìn tinh binh, đóng trên gò, kìm ngựa thét

Paragraph 76
却说孔明渡了泸水，下寨已毕，大赏三军，聚众将于帐下曰：“孟获第二番擒来，吾令遍观各营虚实，正欲令其来劫营也。	Khước thuyết khổng minh độ liễu lô thủy, hạ trại dĩ tất, đại thưởng tam quân, tụ chúng tướng vu trướng hạ viết: "Mạnh hoạch đệ nhị phiên cầm lai, ngô lệnh biến quan các doanh hư thật, chánh dục lệnh kì lai kiếp doanh dã.
吾知孟获颇晓兵法，吾以兵马粮草炫耀，实令孟获看吾破绽，必用火攻。	Ngô tri mạnh hoạch pha hiểu binh pháp, ngô dĩ binh mã lương thảo huyễn diệu, thật lệnh mạnh hoạch khán ngô phá trán, tất dụng hỏa công.
彼令其弟诈降，欲为内应耳。	Bỉ lệnh kì đệ trá hàng, dục vi nội ứng nhĩ.
吾三番擒之而不杀，诚欲服其心，不欲灭其类也。	Ngô tam phiên cầm chi nhi Khổng Minh cất quân sang qua bất sát, thành dục phục kì tâm, bất dục diệt kì loại dã.
吾今明告汝等，勿得辞劳，可用心报国。	Ngô kim minh cáo nhữ đẳng, vật đắc từ lao, khả dụng tâm báo quốc.
”众将拜伏曰：“丞相智、仁、勇三者足备，虽子牙、张良不能及也。	" chúng tướng bái phục viết: "Thừa tương trí, nhân, dũng tam giả túc bị, tuy tử nha, trương lương bất năng cập dã.
”孔明曰：“吾今安敢望古人耶？	" khổng minh viết: "Ngô kim an cảm vọng cổ nhân da?
皆赖汝等之力，共成功业耳。	Giai lại nhữ đẳng chi lực, cộng thành công nghiệp nhĩ.
”帐下诸将听得孔明之言，尽皆喜悦。	" trướng hạ chư tướng thính đắc khổng minh chi ngôn, tẫn giai hỉ duyệt.
却说孟获受了三擒之气，忿忿归到银坑洞中，即差心腹人赍金珠宝贝，往八番九十三甸等处，并蛮方部落，借使牌刀獠丁军健数十万，克日齐备，各队人马，云推雾拥，俱听孟获调用。	Khước thuyết mạnh hoạch thụ liễu tam cầm chi khí, phẫn phẫn quy đáo ngân khanh động trung, tức sai tâm phúc nhân tê kim châu bảo bối, vãng bát phiên cửu thập tam điện đẳng xử, tịnh man phương bộ lạc, tá sử bài đao lão đinh quân kiện sổ thập vạn, khắc nhật tề bị, các đội nhân mã, vân thôi vụ ủng, câu thính mạnh hoạch điều dụng.
伏路军探知其事，来报孔明，孔明笑曰：“吾正欲令蛮兵皆至，见吾之能也。	Phục lộ quân tham tri kì sự, lai báo khổng minh, khổng minh tiếu viết: "Ngô chánh dục lệnh man binh giai chí, kiến ngô chi năng dã.
”遂上小车而行。	" toại thượng tiểu xa nhi hành.
正是：若非洞主威风猛，怎显军师手段高！	Chánh thị: nhược phi động chủ uy phong mãnh, chẩm hiển quân sư thủ đoạn cao!
未知胜负如何，且看下文分解。第八十九回武乡侯四番用计南蛮王五次遭擒	Vị tri thắng phụ như hà, thả khán hạ văn Đệ bát thập cửu hồi võ hương hầu tứ phiên dụng kế nam man vương ngũ thứ tao

Paragraph 77
却说孔明自驾小车，引数百骑前来探路。	Khước thuyết khổng minh tự giá tiểu xa, dẫn sổ bách kỵ tiền lai tham lộ.
前有一河，名曰西洱河，水势虽慢，并无一只船筏。	Tiền hữu nhất hà, danh viết tây nhị hà, thủy thế tuy mạn, tịnh vô nhất chỉ thuyền phiệt.
孔明令伐木为筏而渡，其木到水皆沉。	Khổng minh lệnh phạt mộc vi phiệt nhi độ, kì mộc đáo thủy giai trầm.
孔明遂问吕凯，凯曰：“闻西洱河上流有一山，其山多竹，大者数围。	Khổng minh toại vấn lữ khải, khải viết: "Văn tây nhị hà thượng lưu hữu nhất sơn, kì sơn đa trúc, đại giả sổ vi.
可令人伐之，于河上搭起竹桥，以渡军马。	Khả lệnh nhân phạt chi, vu hà thượng đáp khởi trúc kiều, dĩ độ quân mã.
”孔明即调三万人入山，伐竹数十万根，顺水放下，于河面狭处，搭起竹桥，阔十余丈。	" Khổng minh tức điều tam vạn nhân nhập sơn, phạt trúc sổ thập vạn căn, thuận thủy phóng hạ, vu hà diện hiệp xử, đáp khởi trúc kiều, khoát thập dư trượng.
乃调大军于河北岸一字儿下寨，便以河为壕堑，以浮桥为门，垒土为城；过桥南岸，一字下三个大营，以待蛮兵。	Nãi điều đại quân vu hà bắc ngạn nhất tự nhi hạ trại, tiện dĩ hà vi hào tiệm, dĩ phù kiều vi môn, lũy thổ vi thành; quá kiều nam ngạn, nhất tự hạ tam cá đại doanh, dĩ đãi man binh.

Paragraph 78
却说孟获引数十万蛮兵，恨怒而来。	Khước thuyết mạnh hoạch dẫn sổ thập vạn man binh, hận nộ nhi lai.
将近西洱河，孟获引前部一万刀牌獠丁，直扣前寨搦战。	Tương cận tây nhị hà, mạnh hoạch dẫn tiền bộ nhất vạn đao bài lão đinh, trực khấu tiền trại nạch chiến.
孔明头戴纶巾，身披鹤氅，手执羽扇，乘驷马车，左右众将簇拥而出。	Khổng minh đầu đái luân cân, thân phi hạc sưởng, thủ chấp vũ phiến, thừa tứ mã xa, tả hữu chúng tướng thốc ủng nhi xuất.
孔明见孟获身穿犀皮甲，头顶朱红盔，左手挽牌，右手执刀，骑赤毛牛，口中辱骂；手下万余洞丁，各舞刀牌，往来冲突。	Khổng minh kiến mạnh hoạch thân xuyên tê bì giáp, đầu đính chu hồng khôi, tả thủ vãn bài, hữu thủ chấp đao, kỵ xích mao ngưu, khẩu trung nhục mạ; thủ hạ vạn dư động đinh, các vũ đao bài, vãng lai xung đột.
孔明急令退回本寨，四面紧闭，不许出战。	Khổng minh cấp lệnh thối hồi bổn trại, tứ diện khẩn bế, bất hứa xuất chiến.
蛮兵皆裸衣赤身，直到寨门前叫骂。	Man binh giai lỏa y xích thân, trực đáo trại môn tiền khiếu mạ.
诸将大怒，皆来禀孔明曰：“某等情愿出寨决一死战！	Chư tướng đại nộ, giai lai bẩm khổng minh viết: "Mỗ đẳng tình nguyện xuất trại quyết nhất tử chiến!
”孔明不许。	" Khổng minh bất hứa.
诸将再三欲战，孔明止曰：“蛮方之人，不遵王化，今此一来，狂恶正盛，不可迎也；且宜坚守数日，待其猖獗少懈，吾自有妙计破之。	Chư tướng tái tam dục chiến, khổng minh chỉ viết: "Man phương chi nhân, bất tuân vương hóa, kim thử nhất lai, cuồng ác chánh thịnh, bất khả nghênh dã; thả nghi kiên thủ sổ nhật, đãi kì xương quyết thiểu giải, ngô tự hữu diệu kế phá chi.
”	"

Paragraph 79
于是蜀兵坚守数日。	Vu thị thục binh kiên thủ sổ nhật.
孔明在高阜处探之，窥见蛮兵已多懈怠，乃聚诸将曰：“汝等敢出战否？	Khổng minh tại cao phụ xử tham chi, khuy kiến man binh dĩ đa giải đãi, nãi tụ chư tướng viết: "Nhữ đẳng cảm xuất chiến phủ?
”众将欣然要出。	" Chúng tướng Vài hôm sau, Khổng Minh trèo lên hân nhiên yếu xuất.
孔明先唤赵云、魏延入帐，向耳畔低言，分付如此如此。	Khổng minh tiên hoán triệu vân, ngụy duyên nhập trướng, hướng nhĩ bạn đê ngôn, phân phó như thử như thử.
二人受了计策先进。	Nhị nhân thụ liễu kế sách tiên tiến.
却唤王平、马忠入帐，受计去了。	Khước hoán vương bình, mã trung nhập trướng, thụ kế khứ liễu.
又唤马岱分付曰：“吾今弃此三寨，退过河北；吾军一退，汝可便拆浮桥，移于下流，却渡赵云、魏延军马过河来接应。	Hựu hoán mã đại phân phó viết: "Ngô kim khí thử tam trại, thối quá hà bắc; ngô quân nhất thối, nhữ khả tiện sách phù kiều, di vu hạ lưu, khước độ triệu vân, ngụy duyên quân mã quá hà lai tiếp ứng.
”岱受计而去。	" Đại thụ kế nhi khứ.
又唤张翼曰：“吾军退去，寨中多设灯火。	Hựu hoán trương dực viết: "Ngô quân thối khứ, trại trung đa thiết đăng hỏa.
孟获知之，必来追赶，汝却断其后。	Mạnh hoạch tri chi, tất lai truy cản, nhữ khước đoạn kì hậu.
”张翼受计而退。	" Trương dực thụ kế nhi thối.
孔明只教关索护车。	Khổng minh chỉ giáo quan tác hộ xa.
众军退去，寨中多设灯火。	Chúng quân thối khứ, trại trung đa thiết đăng hỏa.
蛮兵望见，不敢冲突。	Man binh vọng kiến,

Paragraph 80
次日平明，孟获引大队蛮兵径到蜀寨之时，只见三个大寨，皆无人马，于内弃下粮草车仗数百余辆。	Thứ nhật bình minh, mạnh hoạch dẫn đại đội man binh kính đáo thục trại chi thời, chỉ kiến tam cá đại trại, giai vô nhân mã, vu nội khí hạ lương thảo xa trượng sổ bách dư lượng.
孟优曰：“诸葛弃寨而走，莫非有计否？	Mạnh ưu viết: "Gia Cát khí trại nhi tẩu, mạc phi hữu kế phủ?
”孟获曰：“吾料诸葛亮弃辎重而去，必因国中有紧急之事：若非吴侵，定是魏伐。	" Mạnh hoạch viết: "Ngô liêu Gia Cát lượng khí truy trọng nhi khứ, tất nhân quốc trung hữu khẩn cấp chi sự: nhược phi ngô xâm, định thị Sáng hôm sau, Mạnh Hoạch dẫn ngụy phạt.
故虚张灯火以为疑兵，弃车仗而去也。	Cố hư trương đăng hỏa dĩ vi nghi binh, khí xa trượng nhi khứ dã.
可速追之，不可错过。	Khả tốc truy chi, bất khả thác quá.
”于是孟获自驱前部，直到西洱河边。	"Vu thị mạnh hoạch tự khu tiền bộ, trực đáo tây nhị hà biên.
望见河北岸上，寨中旗帜整齐如故，灿若云锦；沿河一带，又设锦城。	Vọng kiến hà bắc ngạn thượng, trại trung kì xí chỉnh tề như cố, xán nhược vân cẩm; duyên hà nhất đái, hựu thiết cẩm thành.
蛮兵哨见，皆不敢进。	Man binh tiếu kiến, giai bất cảm tiến.
获谓优曰：“此是诸葛亮惧吾追赶，故就河北岸少住，不二日必走矣。	Hoạch vị ưu viết: "Thử thị Gia Cát lượng cụ ngô truy cản, cố tựu hà bắc ngạn thiểu trụ, bất nhị nhật tất tẩu hĩ.
”遂将蛮兵屯于河岸；又使人去山上砍竹为筏，以备渡河；却将敢战之兵，皆移于寨前面。	" Toại tương man binh truân vu hà ngạn; hựu sử nhân khứ sơn thượng khảm trúc vi phiệt, dĩ bị độ hà; khước tương cảm chiến chi binh, giai di vu trại tiền diện.
却不知蜀兵早已入自己之境。	Khước bất tri thục binh tảo dĩ nhập tự kỷ chi cảnh.
是日，狂风大起。	Thị nhật, cuồng phong đại khởi.
四壁厢火明鼓响，蜀兵杀到。	Tứ bích sương hỏa minh cổ hưởng, thục binh sát đáo.
蛮兵獠丁，自相冲突，孟获大惊，急引宗族洞丁杀开条路，径奔旧寨。	Man binh lão đinh, tự tương xung đột, mạnh hoạch đại kinh, cấp dẫn tông tộc động đinh sát khai điều lộ, kính bôn cựu trại.
忽一彪军从寨中杀出，乃是赵云。	Hốt nhất bưu quân tòng trại trung sát xuất, nãi thị triệu vân.
获慌忙回西洱河，望山僻处而走。	Hoạch hoảng mang hồi tây nhị hà, vọng sơn tích xử nhi tẩu.
又一彪军杀出，乃是马岱。	Hựu nhất bưu quân sát xuất, nãi thị mã đại.
孟获只剩得数十个败残兵，望山谷中而逃。	Mạnh hoạch chỉ thặng đắc sổ thập cá bại tàn binh, vọng sơn cốc trung nhi đào.
见南、北、西三处尘头火光，因此不敢前进，只得望东奔走，方才转过山口，见一大林之前，数十从人，引一辆小车；车上端坐孔明，呵呵大笑曰：“蛮王孟获！	Kiến nam, bắc, tây tam xử trần đầu hỏa quang, nhân thử bất cảm tiền phương tài chuyển quá sơn khẩu, kiến nhất đại lâm chi tiền, sổ thập tòng nhân, dẫn nhất lượng tiểu xa; xa thượng đoan tọa khổng minh, a a đại tiếu viết: "Man vương mạnh hoạch!
天败至此，吾已等候多时也！	Thiên bại chí thử, ngô dĩ đẳng hậu đa thời dã!
”获大怒，回顾左右曰：“吾遭此人诡计！	" Hoạch đại nộ, hồi cố tả hữu viết: "Ngô tao thử nhân quỷ kế!
受辱三次；今幸得这里相遇。	Thụ nhục tam thứ; kim hạnh đắc giá lí tương ngộ.
汝等奋力前去，连人带车砍为粉碎！	Nhữ đẳng phấn lực tiền khứ, liên nhân đái xa khảm vi phấn toái!
