Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ
”玄大怒曰：“我看了三日，汝敢欺我！	" Huyền đại nộ viết: "Ngã khán liễu tam nhật, nhữ cảm khi ngã!
汝前日不力战，必有私心；昨日马失，他不杀汝，必有关通；今日两番虚拽弓弦，第三箭却止射他盔缨，如何不是外通内连？	Nhữ tiền nhật bất lực chiến, tất hữu tư tâm; tạc nhật mã thất, tha bất sát nhữ, tất hữu quan thông; kim nhật lưỡng phiên hư duệ cung huyền, đệ tam tiễn khước chỉ xạ tha khôi anh, như hà bất thị ngoại thông nội liên?
若不斩汝，必为后患！	Nhược bất trảm nhữ, tất vi hậu hoạn!
”喝令刀斧手推下城门外斩之。	" Hát lệnh đao phủ thủ thôi hạ thành môn ngoại trảm chi.
众将欲告，玄曰：“但告免黄忠者，便是同情！	Chúng tướng dục cáo, huyền viết: "Đãn cáo miễn hoàng trung giả, tiện thị đồng tình!
”刚推到门外，恰欲举刀，忽然一将挥刀杀入，砍死刀手，救起黄忠，大叫曰：“黄汉升乃长沙之保障，今杀汉升，是杀长沙百姓也！	" Cương thôi đáo môn ngoại, kháp dục cử đao, hốt nhiên nhất tương huy đao sát nhập, khảm tử đao thủ, cứu khởi hoàng trung, đại khiếu viết: "Hoàng hán thăng nãi trường sa chi bảo chướng, kim sát hán thăng, thị sát trường sa bách tính dã!
韩玄残暴不仁，轻贤慢士，当众共殛之”愿随我者便来！	Hàn huyền tàn bạo bất nhân, khinh hiền mạn sĩ, đương chúng cộng cức chi" nguyện tùy ngã giả tiện lai!
”众视其人，面如重枣，目若朗星，乃义阳人魏延也。	" Chúng thị kì nhân, diện như trọng tảo, mục nhược lãng tinh, nãi nghĩa dương nhân ngụy duyên dã.
自襄阳赶刘玄德不着，来投韩玄；玄怪其傲慢少礼，不肯重用，故屈沉于此。	Tự tương dương cản lưu huyền đức bất trứ, lai đầu hàn huyền; huyền quái kì ngạo mạn thiểu lễ, bất khẳng trọng dụng, cố khuất trầm vu thử.
当日救下黄忠，教百姓同杀韩玄，袒臂一呼，相从者数百余人。	Đương nhật cứu hạ hoàng trung, giáo bách tính đồng sát hàn huyền, đản tí nhất hô, tương tòng giả sổ bách dư nhân.
黄忠拦当不住。	Hoàng trung lan đương bất trụ.
魏延直杀上城头，一刀砍韩玄为两段，提头上马，引百姓出城，投拜云长。	Ngụy duyên trực sát thượng thành đầu, nhất đao khảm hàn huyền vi lưỡng đoạn, đề đầu thượng mã, dẫn bách tính xuất thành, đầu bái vân trường.
云长大喜，遂入城。	Vân trường đại hỉ, toại nhập thành.
安抚已毕，请黄忠相见；忠托病不出。	An phủ dĩ tất, thỉnh hoàng trung tương kiến; trung thác bệnh bất xuất.
云长即使人去请玄德、孔明。	Vân trường tức sử nhân khứ thỉnh huyền

Paragraph 166
却说玄德自云长来取长沙，与孔明随后催促人马接应。	Khước thuyết huyền đức tự vân trường lai thủ trường sa, dữ khổng minh tùy hậu thôi xúc nhân mã tiếp ứng.
正行间，青旗倒卷，一鸦自北南飞，连叫三声而去。	Chánh hành gian, thanh kì đảo quyển, nhất nha tự bắc nam phi, liên khiếu tam thanh nhi khứ.
玄德曰：“此应何祸福？	Huyền đức viết: "Thử ứng hà họa phúc?
”孔明就马上袖占一课，曰：“长沙郡已得，又主得大将。	" Khổng minh tựu mã thượng tụ chiêm nhất khóa, viết: "Trường sa quận dĩ đắc, hựu chủ đắc đại tướng.
午时后定见分晓。	Ngọ thời hậu định kiến phân hiểu.
”少顷。	" Thiểu khoảnh.
见一小校飞报前来，说：“关将军已得长沙郡，降将黄忠、魏延。	Kiến nhất tiểu giáo phi báo tiền lai, thuyết: "Quan tướng quân dĩ đắc trường sa quận, hàng tướng hoàng trung, ngụy duyên.
耑等主公到彼。	Chuyên đẳng chúa công đáo bỉ.
”玄德大喜，遂入长沙。	" Huyền đức đại hỉ, toại nhập trường sa.
云长接入厅上，具言黄忠之事。	Vân trường tiếp nhập thính thượng, cụ ngôn hoàng trung chi sự.
玄德乃亲往黄忠家相请，忠方出降，求葬韩玄尸首于长沙之东。	Huyền đức nãi thân vãng hoàng trung gia tương thỉnh, trung phương xuất hàng, cầu táng hàn huyền thi thủ vu trường sa chi đông.
后人有诗赞黄忠曰：“将军气概与天参，白发犹然困汉南。	Hậu nhân hữu thi tán hoàng trung viết: "Tướng quân khí khái dữ thiên tham, bạch phát do nhiên khốn hán nam.
至死甘心无怨望，临降低首尚怀惭。	Chí tử cam tâm vô oán vọng, lâm hàng đê thủ thượng hoài tàm.
宝刀灿雪彰神勇，铁骑临风忆战酗。	Bảo đao xán tuyết chương thần dũng, thiết kỵ lâm phong ức chiến hú.
千古高名应不泯，长随孤月照湘潭。	Thiên cổ cao danh ứng bất mẫn, trường tùy cô nguyệt chiếu tương đàm.
”玄德待黄忠甚厚。	" Huyền đức đãi hoàng trung thậm hậu.
云长引魏延来见，孔明喝令刀斧手推下斩之。	Đang đi, bỗng nhiên khổng minh hát lệnh đao phủ thủ thôi hạ trảm chi.
玄德惊问孔明曰：“魏延乃有功无罪之人，军师何故欲杀之？	Huyền đức kinh vấn khổng minh viết: "Ngụy duyên nãi hữu công vô tội chi nhân, quân sư hà cố dục sát chi?
”孔明曰：“食其禄而杀其主，是不忠也；居其土而献其地，是不义也。	" Khổng minh viết: "Thực kì lộc nhi sát kì chủ, thị bất trung dã; cư kì thổ nhi hiến kì địa, thị bất nghĩa dã.
吾观魏延脑后有反骨，久后必反，故先斩之，以绝祸根。	Ngô quan ngụy duyên não hậu hữu phản cốt, cửu hậu tất phản, cố tiên trảm chi, dĩ tuyệt họa căn.
”玄德曰：“若斩此人，恐降者人人自危。	" Huyền đức viết: "Nhược trảm thử nhân, khủng hàng giả nhân nhân tự nguy.
望军师恕之。	Vọng quân sư thứ chi.
”孔明指魏延曰：“吾今饶汝性命。	" Khổng minh chỉ ngụy duyên viết: "Ngô kim nhiêu nhữ tính mệnh.
汝可尽忠报主，勿生异心，若生异心，我好歹取汝首级。	Nhữ khả tẫn trung báo chủ, vật sinh dị tâm, nhược sinh dị tâm, ngã hảo ngạt thủ nhữ thủ cấp.
”魏延喏喏连声而退。	" Ngụy duyên nhạ nhạ liên thanh nhi thối.
黄忠荐刘表侄刘磐——现在攸县闲居，玄德取回，教掌长沙郡。	Hoàng trung tiến lưu biểu chất lưu bàn - hiện tại du huyền nhàn cư, huyền đức thủ hồi, giáo chưởng trường sa quận.
四郡已平，玄德班师回荆州，改油江口为公安。	Tứ quận dĩ bình, huyền đức ban sư hồi kinh châu, cải du giang

Paragraph 167
却说周瑜自回柴桑养病，令甘宁守巴陵郡，令凌统守汉阳郡，二处分布战船，听候调遣。	Khước thuyết chu du tự hồi sài tang dưỡng bệnh, lệnh cam ninh thủ ba lăng quận, lệnh lăng thống thủ hán dương Lại nói, từ khi Chu Du về Sài quận, nhị xử phân bố chiến thuyền, thính hậu điều khiển.
程普引其余将士投合淝县来。	Trình phổ dẫn kì dư tướng sĩ đầu hợp phì huyền lai.
原来孙权自从赤壁鏖兵之后，久在合淝，与曹兵交锋，大小十余战，未决胜负，不敢逼城下寨，离城五十里屯兵。	Nguyên lai tôn quyền tự tòng xích bích ao binh chi hậu, cửu tại hợp phì, dữ tào binh giao phong, đại tiểu thập dư chiến, vị quyết thắng phụ, bất cảm bức thành hạ trại, li thành ngũ thập lí truân binh.
闻程普兵到，孙权大喜，亲自出营劳军。	Văn trình phổ binh đáo, tôn quyền đại hỉ, thân tự xuất doanh lao quân.
人报鲁子敬先至，权乃下马立待之。	Nhân báo lỗ tử kính tiên chí, quyền nãi hạ mã lập đãi chi.
肃慌忙滚鞍下马施礼。	Túc hoảng mang cổn an hạ mã thi lễ.
众将见权如此待肃，皆大惊异。	Chúng tướng kiến quyền như thử đãi túc, giai đại kinh dị.
权请肃上马，并辔而行，密谓曰：“孤下马相迎，足显公否？	Quyền thỉnh túc thượng mã, tịnh bí nhi hành, mật vị viết: "Cô hạ mã tương nghênh, túc hiển công phủ?
”肃曰：“未也。	" Túc viết: "Vị dã.
”权曰：“然则何如而后为显耶？	" Quyền viết: "Nhiên tắc hà như nhi hậu vi hiển da?
”肃曰：“愿明公威德加于四海，总括九州，克成帝业，使肃名书竹帛，始为显矣。	" Túc viết: "Nguyện minh công uy đức gia vu tứ hải, tổng quát cửu châu, khắc thành đế nghiệp, sử túc danh thư trúc bạch, thủy vi hiển hĩ.
”权抚掌大笑。	" Quyền phủ chưởng đại tiếu.
同至帐中，大设饮宴，犒劳鏖兵将士，商议破合淝之策。	Đồng chí trướng trung, đại thiết ẩm yến, khao lao ao binh tướng sĩ,

Paragraph 168
忽报张辽差人来下战书。	Hốt báo trương liêu sai nhân lai hạ chiến thư.
权拆书观毕，大怒曰：“张辽欺吾太甚！	Quyền sách thư quan tất, đại nộ viết: "Trương liêu khi ngô thái thậm!
汝闻程普军来，故意使人搦战！	Nhữ văn trình phổ quân lai, cố ý sử nhân nạch chiến!
来日吾不用新军赴敌，看我大战一场！	Lai nhật ngô bất dụng tân quân phó địch, khán ngã đại chiến nhất trường!
”传令当夜五更，三军出寨，望合淝进发。	" Truyền lệnh đương dạ ngũ canh, tam quân xuất trại, vọng hợp phì tiến phát.
辰时左右，军马行至半途，曹兵已到。	Thần thời tả hữu, quân mã hành chí bán đồ, tào binh dĩ đáo.
两边布成阵势。	Lưỡng biên bố thành trận thế.
孙权金盔金甲，披挂出马；左宋谦，右贾华，二将使方天画戟，两边护卫。	Tôn quyền kim khôi kim giáp, phi quải xuất mã; tả tống khiêm, hữu cổ hoa, nhị tương sử phương thiên họa kích, lưỡng biên hộ vệ.
三通鼓罢，曹军阵中，门旗两开，三员将全装惯带，立于阵前：中央张辽，左边李典，右边乐进。	Tam thông cổ bãi, tào quân trận trung, môn kì lưỡng khai, tam viên tương toàn trang quán đái, lập vu trận tiền: trung ương trương liêu, tả biên lý điển, hữu biên nhạc tiến.
张辽纵马当先，专搦孙权决战。	Trương liêu túng mã đương tiên, chuyên nạch tôn quyền quyết chiến.
权绰枪欲自战，阵门中一将挺枪骤马早出，乃太史慈也。	Quyền xước thương dục tự chiến, trận môn trung nhất tương đĩnh thương sậu mã tảo xuất, nãi thái sử từ dã.
张辽挥刀来迎。	Trương liêu huy đao lai nghênh.
两将战有七八十合，不分胜负。	Lưỡng tương chiến hữu thất bát thập hợp, bất phân thắng phụ.
曹阵上李典谓乐进曰：“对面金盔者，孙权也。	Tào trận thượng lý điển vị nhạc tiến viết: "Đối diện kim khôi giả, tôn quyền dã.
若捉得孙权，足可与八十三万大军报仇。	Nhược tróc đắc tôn quyền, túc khả dữ bát thập tam vạn đại quân báo cừu.
”说犹未了，乐进一骑马，一口刀，从刺斜里径取孙权，如一道电光，飞至面前，手起刀落。	" Thuyết do vị liễu, nhạc tiến nhất kỵ mã, nhất khẩu đao, tòng thứ tà lí kính thủ tôn quyền, như nhất đạo điện quang, phi chí diện tiền, thủ khởi đao lạc.
宋谦、贾华急将画戟遮架。	Tống khiêm, cổ hoa cấp tương họa kích già giá.
刀到处，两枝戟齐断，只将戟杆望马头上打。	Đao đáo xử, lưỡng quân đến nên cố ý cho người chi kích tề đoạn, chỉ tương kích can vọng mã đầu thượng đả.
乐进回马，宋谦绰军士手中枪赶来。	Nhạc tiến hồi mã, tống khiêm xước quân sĩ thủ trung thương cản lai.
李典搭上箭，望宋谦心窝里便射，应弦落马。	Lý điển đáp thượng tiễn, vọng tống khiêm tâm oa lí tiện xạ, ứng huyền lạc mã.
太史慈见背后有人堕马，弃却张辽，望本阵便回。	Thái sử từ kiến bối hậu hữu nhân đọa mã, khí khước trương liêu, vọng bổn trận tiện hồi.
张辽乘势掩杀过来，吴兵大乱，四散奔走。	Trương liêu thừa thế yểm sát quá lai, ngô binh đại loạn, tứ tán bôn tẩu.
张辽望见孙权，骤马赶来。	Trương liêu vọng kiến tôn quyền, sậu mã cản lai.
看看赶上，刺斜里撞出一军，为首大将，乃程普也；截杀一阵，救了孙权。	Khán khán cản thượng, thứ tà lí chàng xuất nhất quân, vi thủ đại tướng, nãi trình phổ dã; tiệt sát nhất trận, cứu liễu tôn quyền.
张辽收军自回合淝。	Trương liêu thu quân tự hồi hợp phì.
程普保孙权归大寨，败军陆续回营。	Trình phổ bảo tôn quyền quy đại trại, bại quân lục tục hồi doanh.
孙权因见折了宋谦，放声大哭。	Tôn quyền nhân kiến chiết liễu tống khiêm, phóng thanh đại khốc.
长史张纮曰：“主公恃盛壮之气，轻视大敌，三军之众，莫不寒心。	Trường sử trương hoành viết: "Chúa công thị thịnh tráng chi khí, khinh thị đại địch, tam quân chi chúng, mạc bất hàn tâm.
即使斩将搴旗，威振疆场，亦偏将之任，非主公所宜也。	Tức sử trảm tương khiên kì, uy chấn cương trường, diệc thiên tương chi nhâm, phi chúa công sở nghi dã.
愿抑贲、育之勇，怀王霸之计。	Nguyện ức bí, dục chi dũng, hoài vương bá chi kế.
且今日宋谦死于锋镝之下，皆主公轻敌之故。	Thả kim nhật tống khiêm tử vu phong đích chi hạ, giai chúa công khinh địch chi cố.
今后切宜保重。	Kim hậu thiết nghi bảo trọng.
”权曰：“是孤之过也。	" Quyền viết: "Thị cô chi quá dã.
从今当改之。	Tòng kim đương cải chi.
”少顷，太史慈入帐，言：“某手下有一人，姓戈，名定，与张辽手下养马后槽是弟兄，后槽被责怀怨，今晚使人报来，举火为号，刺杀张辽，以报宋谦之仇。	" Thiểu khoảnh, thái sử từ nhập trướng, ngôn: "Mỗ thủ hạ hữu nhất nhân, tính qua, danh định, dữ trương liêu thủ hạ dưỡng mã hậu tào thị đệ huynh, hậu tào bị trách hoài oán, kim vãn sử nhân báo lai, cử hỏa vi hào, thích sát trương liêu, dĩ báo tống khiêm chi cừu.
某请引兵为外应。	Mỗ thỉnh dẫn binh vi ngoại ứng.
”权曰：“戈定何在？	" Quyền viết: "Qua định hà tại?
”太史慈曰：“已混入合淝城中去了。	" Thái sử từ viết: "Dĩ hỗn nhập hợp phì thành trung khứ liễu.
某愿乞五千兵去。	Mỗ nguyện khất ngũ thiên binh khứ.
”诸葛瑾曰：“张辽多谋，恐有准备，不可造次。	" Gia Cát cẩn viết: "Trương liêu đa mưu, khủng hữu chuẩn bị, bất khả tạo thứ.
”太史慈坚执要行。	" Thái sử từ kiên chấp yếu hành.
权因伤感宋谦之死，急要报仇，遂令太史慈引兵五千，去为外应。	Quyền nhân thương cảm tống khiêm chi tử, cấp yếu báo cừu, toại lệnh thái sử từ dẫn binh ngũ

Paragraph 169
却说戈定乃太史慈乡人；当日杂在军中，随入合淝城，寻见养马后槽，两个商议。	Khước thuyết qua định nãi thái sử từ hương nhân; đương nhật tạp tại quân trung, tùy nhập hợp phì thành, tầm kiến dưỡng mã hậu tào, lưỡng cá thương nghị.
戈定曰：“我已使人报太史慈将军去了，今夜必来接应。	Qua định viết: "Ngã dĩ sử nhân báo thái sử từ tướng quân khứ liễu, kim dạ tất lai tiếp ứng.
你如何用事？	Nhĩ như hà dụng sự?
”后槽曰：“此间离中军较远，夜间急不能进，只就草堆上放起一把火，你去前面叫反，城中兵乱，就里刺杀张辽，余军自走也。	" Hậu tào viết: "Thử gian li trung quân giác viễn, dạ gian cấp bất năng tiến, chỉ tựu thảo đôi thượng phóng khởi nhất bả hỏa, nhĩ khứ tiền diện khiếu phản, thành trung binh loạn, tựu lí thích sát trương liêu, dư quân tự tẩu dã.
”戈定曰：“此计大妙！	" qua định viết: "Thử kế đại diệu!
”是夜张辽得胜回城，赏劳三军，传令不许解甲宿睡。	" Thị dạ trương liêu đắc thắng hồi thành, thưởng lao tam quân, truyền lệnh bất hứa giải giáp túc thụy.
左右曰：“今日全胜，吴兵远遁，将军何不卸甲安息？	Tả hữu viết: "Kim nhật toàn thắng, ngô binh viễn độn, tướng quân hà bất tá giáp an tức?
”辽曰：“非也。	" Liêu viết: "Phi dã.
为将之道：勿以胜为喜，勿以败为忧。	Vi tương chi đáo: vật dĩ thắng vi hỉ, vật dĩ bại vi ưu.
倘吴兵度我无备，乘虚攻击，何以应之？	Thảng ngô binh độ ngã vô bị, thừa hư công kích, hà dĩ ứng chi?
今夜防备，当比每夜更加谨慎。	Kim dạ phòng bị, đương bỉ mỗi dạ canh gia cẩn thận.
”说犹未了，后寨火起，一片声叫反，报者如麻。	" thuyết do vị liễu, hậu trại hỏa khởi, nhất phiến thanh khiếu phản, báo giả như ma.
张辽出帐上马，唤亲从将校十数人，当道而立。	Trương liêu xuất trướng thượng mã, hoán thân tòng tương giáo thập sổ nhân, đương đạo nhi lập.
左右曰：“喊声甚急，可往观之。	Tả hữu viết: "Hảm thanh thậm cấp, khả vãng quan chi.
”辽曰：“岂有一城皆反者？	" liêu viết: "Khởi hữu nhất thành giai phản giả?
此是造反之人，故惊军士耳。	Thử thị tạo phản chi nhân, cố kinh quân sĩ nhĩ.
如乱者先斩！	Như loạn giả tiên trảm!
”无移时，李典擒戈定并后槽至。	" Vô di thời, lý điển cầm qua định tịnh hậu tào chí.
辽询得其情，立斩于马前。	Liêu tuân đắc kì tình, lập trảm vu mã tiền.
只听得城门外鸣锣击鼓，喊声大震。	Chỉ thính đắc thành môn ngoại minh la kích cổ, hảm thanh đại chấn.
辽曰：“此是吴兵外应，可就计破之。	Liêu viết: "Thử thị ngô binh ngoại ứng, khả tựu kế phá chi.
”便令人于城门内放起一把火，众皆叫反，大开城门，放下吊桥。	" tiện lệnh nhân vu thành môn nội phóng khởi nhất bả hỏa, chúng giai khiếu phản, đại khai thành môn, phóng hạ điếu kiều.
太史慈见城门大开，只道内变，挺枪纵马先入。城上一声炮响，乱箭射下，太史慈急退，身中数箭。	Thái sử từ kiến thành môn đại khai, chỉ đạo nội biến, hưởng, loạn tiễn xạ hạ, thái sử từ cấp thối, thân trung sổ tiễn.
背后李典、乐进杀出，吴兵折其大半，乘势直赶到寨前。	Bối hậu lý điển, nhạc tiến sát xuất, ngô binh chiết kì đại bán, thừa thế trực cản đáo trại tiền.
陆逊，董袭杀出，救了太史慈。	Lục tốn, đổng tập sát xuất, cứu liễu thái sử từ.
曹兵自回。	Tào binh tự hồi.
孙权见太史慈身带重伤，愈加伤感。	Tôn quyền kiến thái sử từ thân đái trọng thương, dũ gia thương cảm.
张昭请权罢兵。	Trương chiêu thỉnh quyền bãi binh.
权从之，遂收兵下船，回南徐润州。	Quyền tòng chi, toại thu binh hạ thuyền, hồi nam từ nhuận châu.
比及屯住军马，太史慈病重；权使张昭等问安，太史慈大叫曰：“大丈夫生于乱世，当带三尺剑立不世之功；今所志未遂，奈何死乎！	Bỉ cập truân trụ quân mã, thái sử từ bệnh trọng; quyền sử trương chiêu đẳng vấn an, thái sử từ đại khiếu viết: "Đại trượng phu sinh vu loạn thế, đương đái tam xích kiếm lập bất thế chi công; kim sở chí vị toại, nại hà tử hồ!
”言讫而亡，年四十一岁。	" Ngôn cật nhi vong, niên tứ thập nhất tuế.
后人有诗赞曰：“矢志全忠孝，东莱太史慈：姓名昭远塞，弓马震雄师；北海酬恩日，神亭酣战时。	Hậu nhân hữu thi tán viết: "Thỉ chí toàn trung hiếu, đông lai thái sử từ: tính danh chiêu viễn tắc, cung mã chấn hùng sư; bắc hải thù ân nhật, thần đình hàm chiến thời.
临终言壮志，千古共嗟咨！	Lâm chung ngôn tráng chí, thiên cổ cộng ta tư!
”孙权闻慈死，伤悼不已，命厚葬于南徐北固山下，养其子太史亨于府中。	" Tôn quyền văn từ tử, thương điệu bất dĩ, mệnh hậu táng vu nam từ bắc cố sơn hạ, dưỡng kì tử thái sử hanh vu phủ trung.
却说玄德在荆州整顿军马，闻孙权合淝兵败，已回南徐，与孔明商议。	Khước thuyết huyền đức tại kinh châu chỉnh đốn quân mã, văn tôn quyền hợp phì binh bại, dĩ hồi nam từ, dữ khổng minh thương nghị.
孔明曰：“亮夜观星象，见西北有星坠地，必应折一皇族。	Khổng minh viết: "Lượng dạ quan tinh tượng, kiến tây bắc hữu tinh trụy địa, tất ứng chiết nhất hoàng tộc.
”正言间，忽报公子刘琦病亡。	" chánh ngôn gian, hốt báo công tử lưu kì bệnh vong.
玄德闻之，痛哭不已。	Huyền đức văn chi, thống khốc bất dĩ.
孔明劝曰：“生死分定，主公勿忧，恐伤贵体。	Khổng minh khuyến viết: "Sinh tử phân định, chúa công vật ưu, khủng thương quý thể.
且理大事：可急差人到彼守御城池，并料理葬事。	Thả lí đại sự: khả cấp sai nhân đáo bỉ thủ ngự thành trì, tịnh liêu lí táng sự.
”玄德曰：“谁可去？	" huyền đức viết: "Thùy khả khứ?
”孔明曰：“非云长不可。	" Khổng minh viết: "Phi vân trường bất khả.
”即时便教云长前去襄阳保守。	" tức thời tiện giáo vân trường tiền khứ tương dương bảo thủ.
玄德曰：“今日刘琦已死，东吴必来讨荆州，如何对答？	Huyền đức viết: "Kim nhật lưu kì dĩ tử, đông ngô tất lai thảo kinh châu, như hà đối đáp?
”孔明曰：“若有人来，亮自有言对答。	" Khổng minh viết: "Nhược hữu nhân lai, lượng tự hữu ngôn đối đáp.
”过了半月，人报东吴鲁肃特来吊丧。	" quá liễu bán nguyệt, nhân báo đông ngô lỗ túc đặc lai điếu tang.
正是：先将计策安排定，只等东吴使命来。	Chánh thị: tiên tương kế sách an bài định, chỉ đẳng đông ngô sử mệnh lai.
未知孔明如何对答，且看下文分解。第五十四回吴国太佛寺看新郎刘皇叔洞房续佳偶	Vị tri khổng minh như hà đối đáp, thả khán hạ văn phân giải Ban đêm, tôi xem thiên văn, thấy mé tây bắc có một ngôi sao sa Đệ ngũ thập tứ hồi ngô quốc thái phật tự khán tân lang lưu hoàng thúc động phòng tục

Paragraph 170
却说孔明闻鲁肃到，与玄德出城迎接，接到公廨，相见毕。	Khước thuyết khổng minh văn lỗ túc đáo, dữ huyền đức xuất thành nghênh tiếp, tiếp đáo công giải, tương kiến tất.
肃曰：“主公闻令侄弃世，特具薄礼，遣某前来致祭。	Túc viết: "Chúa công văn lệnh chất khí thế, đặc cụ bạc lễ, khiển mỗ tiền lai trí tế.
周都督再三致意刘皇叔、诸葛先生。	Chu đô đốc tái tam trí ý lưu hoàng thúc, Gia Cát tiên sinh.
”玄德、孔明起身称谢，收了礼物，置酒相待。	" Huyền đức, khổng minh khởi thân xưng tạ, thu liễu lễ vật, trí tửu tương đãi.
肃曰：“前者皇叔有言：公子不在，即还荆州。	Túc viết: "Tiền giả hoàng thúc hữu ngôn: công tử bất tại, tức hoàn kinh châu.
今公子已去世，必然见还。	Kim công tử dĩ khứ thế, tất nhiên kiến hoàn.
不识几时可以交割？	Bất thức kỉ thời khả dĩ giao cát?
”玄德曰：“公且饮酒，有一个商议。	"Huyền đức viết: "Công thả ẩm tửu, hữu nhất cá thương nghị.
”肃强饮数杯，又开言相问。	" Túc cường ẩm sổ bôi, hựu khai ngôn tương vấn.
玄德未及回答，孔明变色曰：“子敬好不通理，直须待人开口！	Huyền đức vị cập hồi đáp, khổng minh biến sắc viết: "Tử kính hảo bất thông lí, trực tu đãi nhân khai khẩu!
自我高皇帝斩蛇起义，开基立业，传至于今；不幸奸雄并起，各据一方；少不得天道好还，复归正统。我主人乃中山靖王之后，孝景皇帝玄孙，今皇上之叔，岂不可分茅裂土？	Tự ngã cao hoàng đế trảm xà khởi nghĩa, khai cơ lập nghiệp, truyền chí vu kim; bất hạnh gian hùng tịnh khởi, các cư nhất phương; thiểu bất đắc thiên đạo hảo hoàn, phục quy chánh cảnh hoàng đế huyền tôn, kim hoàng thượng chi thúc, khởi bất khả phân mao liệt thổ?
况刘景升乃我主之兄也，弟承兄业，有何不顺？	Huống lưu cảnh thăng nãi ngã chủ chi huynh dã, đệ thừa huynh nghiệp, hữu hà bất thuận?
汝主乃钱塘小吏之子，素无功德于朝廷；今倚势力，占据六郡八十一州，尚自贪心不足，而欲并吞汉土。	Nhữ chủ nãi tiền đường tiểu lại chi tử, tố vô công đức vu triều đình; kim ỷ thế lực, chiêm cư lục quận bát thập nhất châu, thượng tự tham tâm bất túc, nhi dục tịnh thôn hán thổ.
刘氏天下，我主姓刘倒无分，汝主姓孙反要强争？	Lưu thị thiên hạ, ngã chủ tính lưu đảo vô phân, nhữ chủ tính tôn phản yếu cường tranh?
且赤壁之战，我主多负勤劳，众将并皆用命，岂独是汝东吴之为？	Thả xích bích chi chiến, ngã chủ đa phụ cần lao, chúng tướng tịnh giai dụng mệnh, khởi độc thị nhữ đông ngô chi vi?
若非我借东南风，周郎安能展半筹之功？	Nhược phi ngã tá đông nam phong, chu lang an năng triển bán trù chi công?
江南一破，休说二乔置于铜雀宫，虽公等家小，亦不能保。	Giang nam nhất phá, hưu thuyết nhị kiều trí vu đồng tước cung, tuy công đẳng gia tiểu, diệc bất năng bảo.
适来我主人不即答应者，以子敬乃高明之士，不待细说。	Thích lai ngã chủ nhân bất tức đáp ứng giả, dĩ tử kính nãi cao minh chi sĩ, bất đãi tế thuyết.
何公不察之甚也！	Hà công bất sát chi thậm dã!
”一席话，说得鲁子敬缄口无言；半晌乃曰：“孔明之言，怕不有理；争奈鲁肃身上甚是不便。	" Nhất tịch thoại, thuyết đắc lỗ tử kính giam khẩu vô ngôn; bán thưởng nãi viết: "Khổng minh chi ngôn, phạ bất hữu lí; tranh nại lỗ túc thân thượng thậm thị bất tiện.
”孔明曰：“有何不便处？	" Khổng minh viết: "Hữu hà bất tiện xử?
”肃曰：“昔日皇叔当阳受难时，是肃引孔明渡江，见我主公；后来周公瑾要兴兵取荆州，又是肃挡住；至说待公子去世还荆州，又是肃担承：今却不应前言，教鲁肃如何回覆？	" Túc viết: "Tích nhật hoàng thúc đương dương thụ nan thời, thị túc dẫn khổng minh độ giang, kiến ngã chúa công; hậu lai chu công cẩn yếu hưng binh thủ kinh châu, hựu thị túc đáng trụ; chí thuyết đãi công tử khứ thế hoàn kinh châu, hựu thị túc đam thừa: kim khước bất ứng tiền ngôn, giáo lỗ túc như hà hồi phúc?
我主与周公瑾必然见罪。	Ngã chủ dữ chu công cẩn tất nhiên kiến tội.
肃死不恨，只恐惹恼东吴，兴动干戈，皇叔亦不能安坐荆州，空为天下耻笑耳。	Túc tử bất hận, chỉ khủng nhạ não đông ngô, hưng động can qua, hoàng thúc diệc bất năng an tọa kinh châu, không vi thiên hạ sỉ tiếu nhĩ.
”孔明曰：“曹操统百万之众，动以天子为名，吾亦不以为意，岂惧周郎一小儿乎！	"Khổng minh viết: "Tào thao thống bách vạn chi chúng, động dĩ thiên tử vi danh, ngô diệc bất dĩ vi ý, khởi cụ chu lang nhất tiểu nhi hồ!
若恐先生面上不好看，我劝主人立纸文书，暂借荆州为本；待我主别图得城池之时，便交付还东吴。	Nhược khủng tiên sinh diện thượng bất hảo khán, ngã khuyến chủ nhân lập chỉ văn thư, tạm tá kinh châu vi bổn; đãi ngã chủ biệt đồ đắc thành trì chi thời, tiện giao phó hoàn đông ngô.
此论如何？	Thử luận như hà?
”肃曰：“孔明待夺得何处，还我荆州？	" Túc viết: "Khổng minh đãi đoạt đắc hà xứ, hoàn ngã kinh châu?
”孔明曰：“中原急未可图；西川刘璋闇弱，我主将图之。	" Khổng minh viết: "Trung nguyên cấp vị khả đồ; tây xuyên lưu chương ám nhược, ngã chủ tương đồ chi.
若图得西川，那时便还。	Nhược đồ đắc tây xuyên, na thời tiện hoàn.
