第 三 篇 道 德	THIÊN THỨ 3 : ĐẠO ĐỨC
尚 書 云 : 汝 惟 弗 矜 天 下 莫 與 汝 爭 能 汝 惟 弗 伐 天 下 莫 與 汝 爭 功 。	Nên người muốn khuyên bảo gì thì chẳng chán ghét, ai dạy gì thì chẳng mỏi mệt. Sách Thượng Thư viết : Ngươi không khoe khoang, thiên-hạ chẳng ai cùng ngươi tranh tài. Ngươi không khoe công, thiên-hạ chẳng ai cùng ngươi tranh công.
魏 志 云 : 夫 人 有 善 鮮 不 自 伐 有 能 者 寡 不 自 矜 伐 則 掩 人 矜 則 陵 人 掩 人 者 人 亦 掩 之 陵 人 者 人 亦 陵 之 。	Sách Ngụy Chí viết : Thường người có việc thiện, ít khi chẳng tự khoe công.
周 易 云 : 亢 龍 有 悔 何 謂 也 子 曰 貴 而 無 位 高 而 無 民 下 賢 人 在 下 位 而 無 輔 是 以 動 而 有 悔 也 亢 之 為 言 也 知 進 而 不 知 退 知 存 而 不 知 亡 知 得 而 不 知 喪 其 唯 聖 人 乎 知 進 退 存 亡 而 不 失 其 正 者 其 唯 聖 人 乎 。	Sách Chu Dịch viết : Rồng ở chổ cùng cực có sự ăn năng nghĩa là sao ?. Đức Khổng-Tử nói : tôn quý mà không ngôi vị, cao mà không dân, người tài ở ngôi vị thấp kém mà không người phụ giúp, cho nên hành động có sự ăn năng vậy. “Kháng” là nói về hạng người, biết tiến mà không biết thoái, biết còn mà không biết mất, biết được mà không biết táng. Đó duy chỉ có bậc thánh-nhân sao ?, tiến thoái, được mất mà chẳng mất sự chánh đáng, đó duy chỉ có bậc thánh-nhân sao ?.
尚 書 云 : 惟 聖 罔 念 作 狂 惟 狂 克 念 作 聖 。	Sách Thượng Thư viết : Khi bậc thánh không suy nghĩ thì thành người ngông cuồng, khi người ngông cuồng biết khắc chế suy nghĩ thì làm bậc thánh.
吳 志 云 : 傳 曰 從 善 如 登 從 惡 如 崩 。	Sách Ngô Chí viết : Truyện viết rằng : theo thiện như leo cao, theo ác như núi lở.
禮 記 云 : 曲 禮 曰 毋 不 敬 儼 若 思 安 定 辭 安 民 哉 。	Sách Lễ Ký viết : Thiên Khúc Lễ viết rằng ; “ không gì chẳng cung kính, dáng vẻ trang trọng như suy tư, lời nói an định, yên ổn mọi người vậy.
說 苑 云 : 位 已 高 而 意 益 下 官 益 達 而 心 益 小 祿 已 厚 而 慎 不 敢 取 。	Sách Thuyết Uyển viết : Địa vị càng cao thì ý nghĩ càng khiêm hạ, quan tước càng hiển đạt thì lòng càng thấy thấp kém, bổng lộc càng hậu hĩnh thì thận trọng chẳng dám nhận lấy.
文 子 云 : 生 而 貴 者 驕 生 而 富 者 奢 故 富 貴 不 以 明 道 自 鑒 而 能 無 為 非 者 寡 矣 。	Sách Văn Tử viết : Sinh ra mà tôn quý thì có tính kiêu ngạo, sinh ra mà giàu có thì có tính xa xỉ. Nên người giàu sang chẳng rõ đạo lý để tự xét mình mà có thể không làm việc sai trái thì rất ít vậy.
周 易 云 : 九 三 君 子 終 日 乾 乾 夕 惕 若 厲 無 咎 何 謂 也 子 曰 君 子 進 德 修 業 忠 信 所 以 進 德 也 修 辭 立 其 誠 所 以 居 業 也 是 故 居 上 位 而 不 驕 在 下 位 而 不 憂 故 乾 乾 因 其 時 而 惕 雖 危 無 咎 矣 。	Sách Chu Dịch viết : Hào cửu tam nói : người quân-tử suốt ngày (làm việc) chăm chỉ, chiều hôm hằng kinh sợ gắng sức để không lầm lỗi nghĩa là sao ?. Đức Khổng-Tử nói : người quân-tử tiến-đức, tu-nghiệp, nết trung-tín là để tiến-đức, sửa lời lập điều thành thực là cư nghiệp. Cho nên ở ngôi vị trên không kiêu căng, ở ngôi vị dưới không ưu buồn. Nên (làm việc) chăm chỉ nhân lúc đó mà cảnh giác, tuy nguy hiểm không lầm lỗi vậy.
尸 子 云 : 行 有 四 儀 一 曰 志 動 不 忘 仁 二 曰 智 用 不 忘 義 三 曰 力 事 不 忘 忠 四 曰 口 言 不 忘 信 慎 守 四 儀 以 終 其 身 名 功 之 從 之 也 猶 形 之 有 影 聲 之 有 響 也 。	Sách Thi Tử viết : Làm việc có 4 tiêu chuẩn : một là suy nghĩ không quên nhân từ, hai dùng trí huệ không quên đạo nghĩa, ba làm việc không quên hết lòng, bốn nói chuyện không quên thành thực. Cẩn thận giữ 4 tiêu chuẩn cho bản thân đến suốt đời, thì công danh sẽ đến theo.
中 論 云 : 君 子 口 無 戲 謔 之 言 言 必 有 防 身 無 戲 謔 之 行 行 必 有 撿 言 必 有 防 行 必 有 撿 雖 妻 妾 不 可 得 而 黷 也 雖 朋 友 不 可 得 而 狎 也 是 以 不 慍 怒 而 教 行 於 閨 門 不 諫 諭 而 風 聲 化 乎 鄉 黨 傅 稱 大 人 正 己 而 物 正 者 蓋 此 之 謂 也 。	Giống như hình theo bóng, âm thanh phát ra vọng lại vậy. Sách Trung Luận viết : Người quân-tử miệng không nói lời đùa giỡn, thì lời nói ắt có phòng ngừa. Bản thân không đùa giỡn khi làm việc, thì làm việc ắt có kiểm soát. Lời nói ắt có phòng ngừa, làm việc ắt có kiểm soát dẫu thê-thiếp gần gũi cũng không thể khinh thường. Dù là bạn bè gần gũi cũng không thể coi thường. Ấy không phải là tức giận mà dạy nết tốt cho chốn khuê-môn, không răn dạy mà thay đổi phong hóa (tốt đẹp) cho xóm làng, như thế mới xứng là bậc đại-nhân làm chánh mình mà sau mọi vật chánh, đại khái gọi đó là thế vậy.
孔 子 家 語 云 : 戒 之 哉 無 多 言 多 言 多 敗 無 多 事 多 事 多 患 安 樂 必 誡 無 行 所 悔 。	Sách Khổng Tử Gia Ngữ viết : Răn lắm thay !, không nói nhiều, nói nhiều thì lắm thua thiệt. Không nhiều chuyện, nhiều chuyện thì lắm họa hoạn. Lúc an vui ắt răn mình, không làm chuyện đến nỗi hối hận.
周 易 云 : 子 曰 亂 之 所 生 也 則 言 語 為 之 階 君 不 密 則 失 臣 臣 不 密 則 失 身 機 事 不 密 則 害 成 是 以 君 子 慎 密 而 不 出 也 。	Sách Chu Dịch viết : Đức Khổng Tử nói loạn sinh ra là do ngôn ngữ dẫn tới. Vua không cẩn mật thì mất bề tôi, bề tôi không cẩn mật thì mất thân, việc cơ-sự không cẩn mật thì hại thành công.
老 子 云 : 夫 輕 諾 必 寡 信 多 易 必 多 難 是 以 聖 人 猶 難 之 故 終 無 難 。	Cho nên người quân-tử lấy sự thận trọng, cẩn mật mà không lộ ra ngoài vậy. Sách Lão Tử viết : Người dễ hứa , ắt ít tin được. Kẻ xem gì cũng dễ, ắt gặp nhiều việc khó. Vậy nên bậc thánh-nhân xem việc gì cũng khó, nên trọn đời không gặp việc gì khó cả.
論 語 云 : 孔 子 曰 益 者 三 樂 損 者 三 樂 樂 節 禮 樂 樂 道 人 之 善 樂 多 賢 友 益 矣 樂 驕 樂 樂 佚 遊 樂 宴 樂 損 矣 。	Sách Luận Ngữ viết : Đức Khổng Tử nói có 3 loại sở thích lợi ích, 3 loại sở thích tổn hại. * thích dùng lễ nhạc đều tiết cuộc sống, thích nói điều tốt của người, thích có bạn hiền đó là 3 loại sở thích lợi ích. + thích kiêu ngạo, thích chơi bời phóng túng, thích tiệc tùng đó là 3 loại sở thích tổn hại.
周 易 云 : 君 子 以 儉 德 避 難 不 可 榮 以 祿 。	Sách Chu Dịch viết : Người quân-tử lấy tiết kiệm để dưỡng đức tránh nạn, không thể lấy lợi lộc để làm vinh quang.
孔 子 家 語 云 : 故 曰 與 善 人 居 如 入 芝 蘭 之 室 久 而 不 聞 其 香 即 與 之 化 矣 與 不 善 人 居 如 入 鮑 魚 之 肆 久 而 不 聞 其 臭 亦 與 之 化 矣 是 以 君 子 必 慎 其 所 與 者 焉 。	Sách Khổng Tử Gia Ngữ viết : Nên nói cùng ở với người thiện như vào nhà trồng hoa lan, loa chi lâu ngày mà không hay biết cái mùi thơm đó, dần dần cùng hóa theo nó hồi nào không hay. Ở cùng với người không thiện như vào hàng quán bán cá mắm, lâu ngày mà không hay biết cài mùi hôi thúi đó, lại cũng hóa theo nó hồi nào không hay. Nên thấy người quân-tử ắt phải thận trọng chọn người ở cùng mình vậy.
論 語 云 : 孔 子 曰 益 者 三 友 損 者 三 友 友 直 友 諒 友 多 聞 益 矣 友 便 辟 友 善 柔 面 柔 者 也 友 便 佞 損 矣 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói bạn ích lợi có 3 loại, bạn tổn hại có 3 loại. * bạn chính trực, bạn thành tín, bạn hiểu biết nhiều đó là 3 loại bạn lợi ích. + bạn khéo giả bộ, bạn khéo lẻo mép, bạn khéo nịnh hót đó là 3 loại bạn tổn hại.
尸 子 云 : 學 不 倦 所 以 治 己 也 教 不 厭 所 以 治 人 也 。	Sách Thi Tử viết : Học không mệt mỏi là để trị mình vậy. Dạy không chán nản là để trị người vậy.
周 易 云 : 君 子 學 以 聚 之 問 以 辨 之 寬 以 居 之 仁 以 行 之 。	Sách Chu Dịch viết : Người quân-tử học tập để tích lũy kiến thức, tra hỏi để biện bác rõ ràng, lấy sự khoan dung để ăn ở, lấy đức nhân từ để làm việc.
潛 夫 論 云 : 工 欲 善 其 事 必 先 利 其 器 士 欲 宣 其 義 必 先 讀 其 書 易 曰 君 子 以 多 識 前 言 往 行 以 畜 其 德 。	Sách Tiềm Phu Luận viết : Người thợ muốn làm tốt công việc ắt trước có đồ nghề sắc bén, kẻ sĩ muốn tuyên dương đạo nghĩa ắt trước phải đọc nhiều sách. Kinh Dịch viết : người quân-tử lấy ghi nhớ nhiều lời hay xưa, nết tốt cũ, để nuôi dưỡng đức của mình.
曾 子 云 : 曾 子 曰 君 子 攻 其 惡 求 其 過 強 其 所 不 能 去 私 欲 從 事 於 義 可 謂 學 矣 。	Sách Tăng Tử viết : Thầy Tăng-Tử nói người quân-tử phản đối việc ác, cầu thấy lỗi mình, nỗ lực làm những việc chưa có khả năng, bỏ đi lòng tư-dục, làm việc theo đạo nghĩa, như thế có thể gọi là học vậy.
論 語 云 : 子 曰 吾 嘗 終 日 不 食 終 夜 不 寢 以 思 無 益 不 如 學 也 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : ta đã từng cả ngày không ăn, suốt đêm không ngủ chỉ để suy tư những việc vô ích, chẳng bằng học vậy.
老 子 云 : 合 抱 之 木 生 於 毫 末 九 層 之 臺 起 於 累 土 千 里 之 行 始 於 足 下 。	Sách Lão Tử viết : Cây to một vòng ôm, khởi sinh tại gốc nhỏ. Đài cao lớn chín tầng, khởi đầu nhúm đất con. Đi xa đến nghìn dặm, khởi đầu một bước chân.
孫 卿 子 云 : 故 不 積 跬 步 無 以 至 千 里 不 積 小 流 無 以 成 河 海 。	Sách Tôn Khanh Tử viết : Nên không tích lũy nữa bước chân thì không đi đến cả ngàn dặm, không tích chứa những dòng chảy nhỏ thì không thể thành sông biển.
周 易 云 : 九 三 不 恒 其 德 或 承 之 羞 不 恒 其 德 無 所 容 也 。	Sách Chu Dịch viết : (Quẻ Phong Lôi Hằng) Hào cửu tam : chẳng thường giữ đức tốt, có thể cái nhục sẽ theo. (Tượng viết) chẳng thường giữ đức tốt, không có chổ dung thân vậy.
周 易 云 : 彖 曰 觀 乎 天 文 以 察 時 變 觀 乎 人 文 以 化 成 天 下 。	Sách Chu Dịch viết : (Quẻ Sơn Hỏa Bí) Tượng viết xem thiên-văn để xét bốn mùa, xem văn vẻ người để giáo hóa thành công thiên-hạ.
周 易 云 : 天 地 以 順 動 故 日 月 不 過 而 四 時 不 忒 聖 人 以 順 動 則 刑 罰 清 而 民 服 豫 之 時 義 大 矣 哉 。	Sách Chu Dịch viết : (Quẻ Lôi Địa Dự) Trời đất lấy thuận (tự nhiên) để động, nên mặt trời, mặt trăng không vượt quá, mà bốn mùa không biến đổi. Bậc thánh-nhân lấy thuận (nhân tình) để động, thì hình-phạt đơn giản, mà dân phục. Thời của quẻ Dự, nghĩa lớn lắm thay !.
周 易 云 : 坤 至 柔 而 動 也 剛 至 靜 而 德 方 後 得 主 而 有 常 含 萬 物 而 化 光 坤 道 其 順 乎 承 天 而 時 行 。	Sách Chu Dịch viết : (Văn Ngôn viết) Quẻ Khôn đến nhu thuận mà động. Cứng đến tĩnh mà đức vuông vắn. Sau được làm chủ mà có giữ đạo thường. Hàm chứa vạn vật mà biến hóa vẻ vang. Đạo Khôn thuận theo ư ?. Vâng mệnh trời mà làm đúng thời.
周 易 云 : 夫 大 人 者 與 天 地 合 其 德 與 日 月 合 其 明 與 四 時 合 其 序 與 鬼 神 合 其 吉 凶 先 天 而 天 弗 違 後 天 而 奉 天 時 。	Sách Chu Dịch viết : (Quẻ Kiền viết) Ôi bậc đại-nhân ấy cùng trời đất hòa hợp đức. Cùng mặt trời, mặt trăng hòa hợp ánh sáng. Cùng bốn mùa hòa hợp thứ tự. Cùng quỷ-thần hòa hợp tốt xấu. Ở trước trời mà không trái, ở sau trời mà vâng theo thiên thời.
	Sách Thi Tử viết : Thường đạo lý đem (dạy) cho người thì khó mà làm thì dễ. Cho nên thầy Tăng-Tử nói : “cha mẹ thương thì vui mà chẳng quên, cha mẹ ghét thì sợ mà không bỏ”. Như thế thì yêu và ghét đều có thể làm trọn hạnh hiếu không (nhất thiết phải) chọn lựa vậy. Ông Sử-Thu nói : “ vua mến mà gần gủi, thì hết sức cung kính đến nhún nhường. Còn vẻ mặt mà xa cách, thì cung kính mà không oán giận”. Như thế thì gần gủi và xa cách đều có thể làm trọn lòng trung không (nhất thiết phải) chọn lựa vậy.
尸 子 云 : 夫 道 以 人 之 難 為 易 也 是 故 曾 子 曰 父 母 愛 之 喜 而 不 忘 父 母 惡 之 懼 而 無 咎 然 則 愛 與 惡 其 於 成 孝 無 擇 也 史 鰌 曰 君 親 而 近 之 至 敬 以 遜 貌 而 疏 之 敬 無 怨 然 則 親 與 疏 其 於 成 忠 無 擇 也 孔 子 曰 自 娛 於 櫽 括 之 中 直 己 而 不 直 人 以 善 廢 而 不 邑 邑 蘧 伯 玉 之 行 也 然 則 興 與 廢 其 於 成 善 無 擇 也 屈 侯 附 曰 賢 者 易 知 也 觀 其 富 之 所 分 達 之 所 進 窮 之 所 不 取 然 則 窮 與 達 其 於 成 賢 無 擇 也 是 故 愛 惡 親 疏 廢 興 窮 達 皆 可 以 成 義 。	Đức Khổng-Tử nói :” tự vui sướng khi dùng ổn-quát uốn cong vật cho thẳng lại, mình thẳng mà không làm thẳng người, việc tốt phế đi mà chẳng u sầu, đó là hạnh tốt của ông Cừ-Bá-Ngọc”. Như thế thì hưng thịnh và phế bỏ đều có thể làm thành việc tốt không (nhất thiết phải) chọn lựa vậy. Ông Khuất-Hầu-Phụ nói :”người hiền dễ nhận biết, xem lúc giàu có phân chia của cải ra sao, tiến cử người phát đạt thế nào, lúc khốn cùng xem chổ có nhận của bất nghĩa không”. Như thế thì khốn cùng và phát đạt đều có thể trở thành hiền-nhân không (nhất thiết phải) chọn lựa vậy. Cho nên yêu, ghét, gần gủi, xa cách, phế bỏ, hưng thịnh, khốn cùng, phát đạt đều có thể thành tựu đạo nghĩa. Sách Dục Tử viết : Người quân-tử chẳng cùng người mưu tính thì thôi. Còn nếu cùng người mưu tính thì không thể nào trái đạo nghĩa.
鬻 子 云 : 君 子 不 與 人 之 謀 則 已 矣 若 與 人 謀 之 則 非 道 無 由 也 故 君 子 之 謀 能 必 用 道 而 不 能 必 見 受 也 能 必 忠 而 不 能 必 入 也 能 必 信 而 不 能 必 見 信 也 君 子 非 仁 者 不 出 之 於 辭 而 施 之 於 行 故 非 非 者 行 是 而 惡 惡 者 行 善 而 道 諭 矣 。	Nên người quân-tử mưu tính giỏi ắt dùng đạo nghĩa, còn chẳng giỏi ắt tiếp nhận. Có năng lực ắt làm hết mình, còn không có năng lực ắt thu nhận. Có năng lực ắt thành tín, còn không có năng lực thì nhìn nhận thành tín. Người quân-tử không trái đức nhân, chẳng nói ra lời lẽ mà chỉ thực hiện bằng hành động. Nên việc sai trái làm cho đúng lại, còn việc xấu ác thì làm cho tốt lại mà đạo đức tỏ rõ vậy. Sách Chu Dịch viết : (Quẻ Địa Phong Thăng) Tượng viết : trong đất sinh cây là quẻ Thăng.
周 易 云 : 象 曰 地 中 生 木 升 君 子 以 順 德 積 小 以 成 高 大 。	Người quân-tử coi đó để thuận theo đức, tích nhỏ để thành cao lớn.
文 子 云 : 帝 者 貴 其 德 也 王 者 尚 其 義 也 霸 者 迫 於 理 也 道 狹 然 後 任 智 德 薄 然 後 任 刑 明 淺 然 後 任 察 。	Sách Văn Tử viết : Bậc đế quý trọng đức, bậc vương tôn trọng nghĩa, bậc bá bức ép theo lý. Đạo hẹp thì sao người trí tín nhiệm ?, đức mỏng thì sao sử dụng hình phạt ?, trí cạn thì sao làm việc việc kĩ càng ?.
六 韜 云 : 天 有 時 地 有 財 能 與 人 共 之 者 仁 也 仁 之 所 在 天 下 歸 之 免 人 之 死 解 人 之 難 救 人 之 患 濟 人 之 急 者 德 也 德 之 所 在 天 下 歸 之 與 人 同 憂 同 樂 同 好 同 惡 者 義 也 義 之 所 在 天 下 歸 之 凡 人 惡 死 而 樂 生 好 得 而 歸 利 能 生 利 者 道 也 道 之 所 在 天 下 歸 之 。	Sách Lục Thao viết : Trời có mùa, đất có của cải, có thể cùng người cùng hưởng là lòng nhân vậy, lòng nhân là chỗ cho thiên-hạ quy về. Khiến người thoát chết, giải thoát người lúc khó khăn, cứu người lúc hoạn nạn, giúp người lúc nguy cấp đó là đức vậy, đức là chỗ cho thiên-hạ quy về. Cùng người cùng lo, cùng vui, cùng thích, cùng ghét đó là nghĩa, nghĩa là chỗ cho thiên-hạ quy về. Thường người ghét chết mà thích sống, thích được mà hướng về lợi ích, có thể sinh lợi (ích cho mọi người) là đạo. đạo là chỗ cho thiên-hạ quy về.
六 韜 云 : 文 王 問 太 公 曰 先 聖 之 道 可 得 聞 乎 太 公 曰 義 勝 欲 則 昌 欲 勝 義 則 亡 敬 勝 怠 則 吉 怠 勝 敬 則 滅 故 義 勝 怠 者 王 怠 勝 敬 者 亡 。	Sách Lục Thao viết : Vua Văn-Vương hỏi Thái-Công rằng : đạo của bậc thánh-nhân đời trước khanh có thể nói ta nghe được không ?. Thái-Công đáp : thưa đạo nghĩa thắng lòng dục thì tốt đẹp, lòng dục thắng đạo nghĩa thì diệt vong, cung kính thắng khinh mạn thì tốt lành, khinh mạn thắng cung kính thì mất mát. Nên đạo nghĩa thắng khinh mạn thì thịnh vượng, khinh mạn thắng cung kính thì diệt vong.
說 苑 云 : 道 德 仁 義 定 而 天 下 正 。	Sách Thuyết Uyển viết : Đạo, đức, nhân, nghĩa an định mà thiên-hạ chánh đáng.
左 傳 云 : 天 反 時 為 災 地 反 物 為 妖 民 反 德 為 亂 亂 則 妖 災 生 。	Sách Tả Truyện viết : Trời trái mùa thì gây thiên tai, đất trái vạn vật thì có chuyện quái dị, người trái đức thì loạn. Loạn thì chuyện quái dị và thiên tai sinh ra.
魏 志 云 : 夫 孝 敬 仁 義 百 行 之 首 而 立 身 之 本 也 孝 敬 則 宗 族 安 之 仁 義 則 鄉 黨 重 之 此 行 成 於 內 名 著 於 外 者 矣 。	Sách Ngụy Chí viết : Hiếu thảo, cung kính, lòng nhân, việc nghĩa, cả trăm hạnh tốt nó đứng đầu và nên lấy đó gây dựng bản thân làm gốc. Có hiếu thảo, cung kính thì dòng họ an định. Có lòng nhân, việc nghĩa thì làng xóm coi trọng. Các Hạnh tốt đó thành ở trong, danh tiếng rõ rệt ở ngoài vậy.
魏 志 云 : 夫 人 為 子 之 道 莫 大 於 寶 身 全 行 以 顯 父 母 。	Sách Ngụy Chí viết : Đạo của người làm con, chẳng gì lớn hơn bằng bảo vệ thân, giữ vẹn toàn hạnh tốt để hiển danh cha mẹ.
禮 記 云 : 曾 子 曰 孝 子 之 養 老 樂 其 耳 目 安 其 寢 處 以 其 飲 食 忠 養 之 父 母 之 所 愛 亦 愛 之 父 母 之 所 敬 亦 敬 之 。	Sách Lễ Ký viết : Thầy Tăng-Tử nói con hiếu phụng dưỡng cha mẹ già, phải làm vui tai mắt, an ổn chốn ngủ, lấy việc ăn uống phụng dưỡng hết lòng. Cha mẹ yêu mến gì thì mình cũng yêu mến, cha mẹ kính trọng ai thì mình cũng kính trọng.
昌 言 云 : 人 之 事 親 也 不 去 乎 父 母 之 側 不 倦 乎 勞 辱 之 事 唯 父 母 之 所 言 也 唯 父 母 之 所 欲 也 於 其 體 之 不 安 則 不 能 寢 於 其 飡 之 不 飽 則 不 能 食 孜 孜 為 此 以 沒 其 身 。	Sách Xương Ngôn viết : Người phụng sự cha mẹ, không được bỏ cha mẹ qua một bên, chẳng chán nản khi làm việc khổ nhục, vâng lời cha mẹ nói, tuân theo lòng mong muốn của cha mẹ. Khi thân thể (cha mẹ) chẳng an ổn thì chẳng được ngủ, đến khi bữa cơm (cha mẹ) không ăn no thì chẳng được ăn.
曾 子 云 : 禮 以 將 其 力 敬 以 入 其 忠 詩 言 夙 興 夜 寐 毋 忝 爾 所 生 不 恥 其 親 君 子 之 孝 也 。	Siêng năng làm như thế đến khi thân này chết đi. Sách Tăng Tử viết : Lễ thì dùng sức lực, kính thì lo hết lòng. Kinh Thi nói :”tối thì ngủ, sáng dậy ngay. Chớ làm cha mẹ nhục lây vì mình.” Chẳng để cha mẹ mang nhục đó là nết hiếu của người quân-tử vậy.
孝 經 云 : 曾 子 曰 若 夫 慈 愛 恭 敬 安 親 揚 名 則 聞 命 矣 敢 問 子 從 父 之 命 可 謂 孝 乎 子 曰 是 何 言 與 是 何 言 與 昔 者 天 子 有 爭 臣 七 人 雖 無 道 不 失 其 天 下 諸 侯 有 爭 臣 五 人 雖 無 道 不 失 其 國 大 夫 有 爭 臣 三 人 雖 無 道 不 失 其 家 士 有 爭 友 則 身 不 離 於 令 名 父 有 爭 子 則 身 不 陷 於 不 義 故 當 不 義 則 爭 之 從 父 之 命 又 焉 得 為 孝 乎 。	Sách Hiếu Kinh viết : Thầy Tăng-Tử nói như việc từ-ái, cung-kính, làm an lòng cha mẹ, làm rạng danh tiếng (ở đời) thì học trò nghe thầy giảng. Dám hỏi con nghe theo lệnh cha thì có thể gọi là hiếu không ?. Đức Khổng-Tử đáp : “ sao nói thế ?, sao nói thế ?. Xưa kia thiên-tử có 7 người bề tôi can gián, tuy làm việc vô đạo chẳng mất thiên-hạ. Chư hầu có 5 người bề tôi can gián, tuy làm việc vô đạo chẳng mất nước. Quan đại-phu có 3 người bề tôi can gián, tuy làm việc vô đạo chẳng mất gia đình. Kẻ sĩ có bạn can gián thì thân chẳng mất danh tốt. Cha có con can gián thì thân chẳng mắc tội bất nghĩa. Nên đang làm việc bất nghĩa thì phải can gián.
袁 子 正 書 云 : 所 謂 仁 者 愛 人 者 也 愛 人 父 母 之 行 也 為 民 父 母 故 能 興 天 下 之 利 也 所 謂 義 者 能 辨 物 理 者 也 物 得 理 故 能 除 天 下 之 害 也 興 利 除 害 者 則 賢 人 之 業 也 。	Sách Viên Tử Chính Thư viết : Cái gọi là nhân từ là yêu người vậy, yêu người là hạnh tốt của bậc làm cha mẹ, bậc làm cha mẹ của dân (là vua có hạnh tốt đó), nên có thể hưng khởi những ích lợi cho thiên-hạ. Cái gọi là việc nghĩa, là có thể nhận rõ lý của sự vật, thông rõ được lý của sự vật, nên có thể trừ đi những mối hại của thiên-hạ. Việc hưng khởi những ích lợi, trừ đi những mối hại đó sự nghiệp của bậc hiền-nhân vậy.
後 漢 書 云 : 凡 人 所 以 貴 於 禽 獸 者 以 有 仁 愛 知 相 敬 事 也 。	Sách Hậu Hán Thư viết : Thường người sở dĩ tôn quý hơn cầm thú là có lòng nhân-ái, biết kính nhau trong công việc.
後 漢 書 云 : 仁 者 行 之 宗 忠 者 義 之 主 也 仁 不 遺 舊 忠 不 忘 君 行 之 高 者 也 。	Sách Hậu Hán Thư viết : Lòng nhân là gốc của hạnh tốt, lòng trung là chủ của việc nghĩa. Người có lòng nhân chẳng bỏ bạn cũ, người có lòng trung chẳng quên vua, đó là những hạnh tốt cao quý vậy.
毛 詩 云 : 周 家 忠 厚 仁 及 草 木 故 能 內 睦 於 九 族 外 尊 事 黃 耉 養 老 乞 言 以 成 其 福 祿 焉 。	Sách Mao Thi viết : Nhà Chu trung hậu, lòng nhân từ đến cỏ cây, nên trong có thể hòa mục cửu-tộc, ngoài tôn trọng việc người già, nuôi dưỡng người già xin ý kiến họ, để thành công ấy là phúc-lộc vậy.
說 苑 云 : 聖 人 之 於 天 下 也 譬 猶 一 堂 之 上 也 今 有 滿 堂 飲 酒 者 有 一 人 獨 素 然 向 隅 而 泣 則 一 堂 之 人 皆 不 樂 矣 聖 人 之 於 天 下 也 譬 猶 一 堂 之 上 也 有 一 人 不 得 其 所 者 則 孝 子 不 敢 以 其 物 薦 進 也 。	Sách Thuyết Uyển viết : Bậc thánh-nhân ở thiên-hạ giống như đứng trên một triều-đường. Nay triều-đường có đông người đang ăn uống, như có một người lẽ loi tự nhiên hướng vào tường mà khóc, thì hẳn người cả một triều-đường ấy đều chẳng vui vậy. Bậc thánh-nhân ở thiên-hạ cũng giống như đứng trên một triều-đường. Có một người chẳng được chỗ thích hợp, thì con hiếu chẳng dám lấy lễ vật mà dâng lên vậy.
尚 書 云 : 咎 繇 曰 帝 德 罔 諐 臨 下 以 簡 御 眾 以 寬 罰 弗 及 嗣 賞 延 於 世 宥 過 無 大 刑 故 無 小 罪 疑 惟 輕 功 疑 惟 重 與 其 殺 弗 辜 寧 失 不 經 。	Sách Thượng Thư viết : Đức độ của nhà vua không lẫm lỗi, đối với người rất giản dị, cai trị rất khoan hồng ; Phạt tội không phạt đến người nối dõi, ban thưởng thì đến cả đời sau. Người lỡ phạm tội không làm lớn ra, người cố ý phạm tội không làm nhỏ lại ; Tội còn nghi ngờ thì phạt nhẹ, công lao còn nghi ngờ thì trọng thưởng cho ; Như giết lầm một người vô tội, thì thà không làm vậy.
論 語 云 : 子 貢 問 曰 有 一 言 而 可 終 身 行 者 乎 子 曰 其 恕 乎 己 所 不 欲 勿 施 於 人 。	Sách Luận Ngữ viết : Thầy Tử-Cống hỏi (thầy) có một lời khuyên (nào cho con) mà có thể thực hành cho bản thân đến suốt đời không ?. Đức Khổng-Tử đáp “ là chữ thứ (suy bụng ta ra bụng người) ư !, điều gì mình không muốn, thì đừng làm cho người.
體 論 云 : 孔 子 曰 不 義 而 富 且 貴 於 我 如 浮 雲 。	Sách Thể Luận viết : Đức Khổng-Tử nói : (làm việc) bất nghĩa mà được giàu lại sang, đối với ta thì xem nó như mây bay vậy.
論 語 云 : 子 曰 君 子 無 終 食 之 間 違 仁 造 次 必 於 是 顛 沛 必 於 是 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói người quân-tử không lìa xa lòng nhân dù trong một bữa ăn. Dẫu lúc vội vàng ắt giữ vững như thế, hay gặp cảnh nguy khốn ắt giữ vững như thế.
魏 志 云 : 孟 軻 稱 殺 一 無 辜 以 取 天 下 仁 者 不 為 也 。	Sách Ngụy Chí viết : Thầy Mạnh-Kha (Mạnh-Tử) nói giết một người vô tội để chiếm lấy thiên-hạ, người nhân từ không làm vậy.
孟 子 云 : 未 有 仁 而 遺 其 親 者 也 未 有 義 而 後 其 君 者 也 。	Thầy Mạnh Tử nói : Chưa có người có lòng nhân mà bỏ đi cha mẹ, chưa có người có đạo nghĩa mà để việc của vua ra sau.
