後 漢 書 云 : 貧 賤 之 知 不 可 忘 糟 糠 之 妻 不 下 堂 。	Sách Hậu Hán Thư viết : Lúc nghèo hèn quen biết không thể quên đi.
傅 子 云 : 蓋 天 地 著 信 而 四 時 不 悖 日 月 著 信 而 昏 明 有 常 王 者 體 信 而 萬 國 以 安 諸 侯 秉 信 而 境 內 以 和 君 子 履 信 而 厥 身 以 立 古 之 聖 君 賢 佐 將 化 世 美 俗 去 信 須 臾 而 能 安 上 治 民 者 未 之 有 也 。	Ngay xưa vua thánh, bề tôi hiền đức phò tá, muốn biến đổi thế tục cho tốt đẹp, bỏ đi thành tín trong chốc lát mà có thể an định trên và cai trị dân được là chưa có vậy.
韓 子 云 : 曾 子 妻 之 市 其 子 隨 而 泣 其 母 曰 汝 還 顧 反 為 汝 殺 彘 妻 道 市 來 曾 子 欲 捕 彘 殺 之 其 妻 止 之 曰 特 與 嬰 兒 戲 也 曾 子 曰 嬰 兒 者 非 有 知 也 待 父 母 而 學 之 者 也 今 子 欺 之 是 教 子 欺 也 母 欺 子 子 而 不 信 其 母 非 所 以 成 教 也 遂 殺 彘	Sách Hàn Tử viết : Vợ thầy Tăng-Tử đi chợ, đứa con chạy theo khóc, người mẹ nói : “con về nhà đi rồi mẹ sẽ giết lợn cho con ăn”. Người vợ đi chợ về, thầy Tăng-Tử muốn bắt lợn giết, người vợ dừng lại nói : “ tôi và con nhỏ chỉ giỡn thôi.” Thầy Tăng-Tử nói : “ đối với con nhỏ không được làm như thế.” Cha mẹ làm như thế nào thì con sẽ học theo thế đấy. Nay nàng lừa dối con, thế là dạy con lừa dối. Mẹ lừa con, con không tin, thì mẹ không thể dạy con nên người được. Thầy Tăng-Tử liền giết lợn. Sách Thi Tử viết : Chữ Thứ (suy bụng ta ra bụng người) là bản thân phải độ lượng. Điều gì mình không muốn thì không làm cho mọi người. Ghét cái xấu của mọi người thì trước bỏ đi mọi cái xấu của mình.
尸 子 云 : 恕 者 以 身 為 度 者 也 己 所 不 欲 毋 加 諸 人 惡 諸 人 則 去 諸 己 欲 諸 人 則 求 諸 己 此 恕 也 。	Muốn mọi người điều gì thì trước cầu ở mình. Đó là chữ Thứ vậy.
	Sách Tả Truyện viết : Vua (Sở Chiêu Vương) thưởng cho ông Đấu-Tân, Vương Tôn Do Vu, Thân Bao Tự, Đấu Hoài. Ông Tử Tây nói : “xin đại vương không thưởng cho Đấu Hoài.”
左 傳 云 : 王 賞 鬭 辛 王 孫 由 于 申 包 胥 鬭 懷 子 西 曰 請 舍 懷 也 王 曰 大 德 滅 小 怨 道 也 。	Vua nói : lấy đức lớn diệt đi oán nhỏ là đạo. Sách Văn Tử viết : Tình của con người cảm phục ở đức độ, chẳng cảm phục ở vũ lực.
文 子 云 : 人 之 情 服 於 德 不 服 於 力 故 古 之 聖 王 以 其 言 下 人 以 其 身 後 人 即 天 下 推 而 不 厭 戴 而 不 重 此 德 有 餘 而 氣 順 也 故 知 與 之 為 得 知 後 之 為 先 即 幾 道 矣 。	Nên thời xưa bậc thánh-vương lúc nói năng ở dưới người, thân đứng sau người, thì người thiên-hạ nghĩ nhớ đến mà chẳng ghét bỏ, quý trọng mà không cho là nặng nề. Đó là đức có dư và hòa khí thuận. Nên biết cùng người đạt được, biết đứng sau mà được ra trước thì đã gần đạo vậy.
魏 志 云 : 舜 戒 禹 曰 鄰 哉 鄰 哉 言 慎 所 近 也 周 公 戒 成 王 曰 其 朋 其 朋 言 慎 所 與 也 。	Sách Ngụy Chí viết : Vua Thuấn răn ông Vũ rằng : “gần thay ! , gần thay !.”
尸 子 云 : 孔 子 曰 臨 事 而 懼 希 不 濟 易 曰 若 履 虎 尾 終 之 吉 若 群 臣 之 眾 皆 戒 慎 恐 懼 若 履 虎 尾 則 何 不 濟 之 有 乎 。	Lời nói thận trọng với người thân cận vậy. Chu-Công răn vua Thành-Vương rằng : “ ấy bằng hữu, ấy bằng hữu.” Lời nói thận trọng khi ở cùng với người vậy. Sách Thi Tử viết : Đức Khổng-Tử nói : “gặp việc mà không sợ sệt, ít khi chẳng nên việc”. Kinh Dịch viết : “dẵm đuôi cọp, (lo sợ) chung cuộc tốt lành”. Như quần-thần mọi người đều răn giữ thận trọng, sợ sệt như dẫm đuôi cọp thì có việc gì chẳng nên ?
尚 書 云 : 居 寵 思 危 罔 弗 惟 畏 弗 畏 入 畏 。	Sách Thượng Thư viết : Lúc được yêu mến nghĩ đến lúc nguy, không điều gì không kính sợ.
中 論 云 : 君 子 之 於 己 也 無 事 而 不 懼 焉 我 之 有 善 懼 人 之 未 吾 好 也 我 之 有 不 善 懼 人 之 必 吾 惡 也 見 人 之 善 懼 我 之 不 能 脩 也 見 人 之 不 善 懼 我 之 必 若 彼 也 。	Nếu không biết kính sợ, thế nào cũng lâm vào cảnh đáng sợ. Sách Trung Luận viết : Người quân-tử đối với chính mình, không việc gì mà chẳng e sợ. Ta được thiện lành, nhưng chỉ sợ người chưa thích ta. Ta có điều bất thiện, thì sợ người sẽ ghét ta. Thấy người thiện lành, thì sợ ta không có thể làm theo. Thấy người bất thiện, thì sợ ta sẽ giống như họ.
淮 南 子 云 : 目 妄 視 則 淫 耳 妄 聞 則 惑 口 妄 言 則 亂 三 關 者 不 可 不 慎 守 也 。	Sách Hoài Nam Tử viết : Mắt xem bậy thì buông thả, tai nghe bậy thì mê hoặc, miệng nói bậy thì rối loạn.
劉 廙 政 論 云 : 善 為 政 者 知 一 事 之 不 可 闕 也 故 無 物 而 不 備 知 一 是 之 不 可 失 也 故 眾 非 與 之 共 得 其 不 然 者 輕 一 事 之 為 小 忽 而 闕 焉 不 知 眾 物 與 之 共 多 也 睹 一 非 之 為 小 也 輕 而 蹈 焉 不 知 眾 是 與 之 共 失 也 。	Ba cửa ải này không thể không giữ gìn cẩn thận vậy. Sách Lưu Dực Chính Luận viết : Giỏi làm chính trị thì phải biết dù một việc cũng không thể khuyết thiếu. Nên không việc gì mà không chuẩn bị, biết một việc đúng thì không thể để mất nó đi vậy. Nên mọi ý kiến dù không đúng cũng nên cùng nhau lắng nghe. Như không biết gì, rồi xem nhẹ một việc cho rằng là nhỏ rồi lơ là mà khuyết thiếu đi, không biết được đông đảo sự việc kết hợp cùng nhau mà thành nhiều. Thấy một sai lầm rồi làm nhỏ đi, xem nhẹ nó mà lao vào. Đó là không biết cái đúng theo số nhiều, rồi cùng nhau phạm sai lầm vậy.
曾 子 云 : 君 子 慎 其 所 去 就 與 君 子 游 如 長 日 加 益 而 不 自 知 也 與 小 人 游 如 履 薄 冰 每 履 而 下 幾 何 而 不 陷 乎 哉 。	Sách Tăng Tử viết : Người quân-tử thận trọng khi chọn nơi đi tới. Cùng người quân-tử vui chơi như ngày dày thêm ích lợi mà không tự biết vậy.
論 語 云 : 孔 子 曰 生 而 知 之 者 上 也 學 而 知 之 者 次 也 困 而 學 之 又 其 次 也 困 而 不 學 民 斯 為 下 矣 。	Cùng kẻ tiểu-nhân vui chơi như đi qua băng mỏng, mỗi bước thì chỉ rớt xuống, bao nhiêu người không rơi vào cảnh đó đây !. Sách Luận Ngữ viết : Người sinh ra đã hiểu biết, đó là bậc thượng (1). Người học rồi mới hiểu biết, đó là bậc thứ (2). Gặp cảnh khốn khó mới chịu học, đó là hạng dưới bậc thứ (3). Còn gặp cảnh khốn khó mà không chịu học, đó là hạng thấp nhất rồi (4) !.
袁 子 正 書 云 : 善 學 者 假 先 王 以 論 道 善 因 者 借 外 智 以 接 物 故 假 人 之 目 以 視 奚 適 夫 兩 見 假 人 之 耳 以 聽 奚 適 夫 兩 聞 假 人 之 智 以 慮 奚 適 夫 兩 察 。	Sách Viên Tử Chính Thư viết : Người khéo học sẽ nương theo bậc tiên-vương để suy xét đạo lý. Người khéo noi theo sẽ lợi dụng trí huệ của người để sử lý công việc. Nên nương theo mắt người để thấy, đâu chỉ thấy việc từ hai phía. Nương theo tai người để nghe, đâu chỉ nghe việc từ hai phía.
周 易 云 : 夫 易 聖 人 之 所 以 極 深 而 研 幾 也 唯 深 也 故 能 通 天 下 之 志 唯 幾 也 故 能 成 天 下 之 務 唯 神 也 故 不 疾 而 速 不 行 而 至 。	Nương theo trí huệ của người để mưu toan, đâu chỉ điều tra việc từ hai phía. Sách Chu Dịch viết : Sở dĩ bậc thánh-nhân lấy sự cùng cực, thâm xâu để tìm tòi cái cơ vi. Chỉ khi tìm tòi thâm sâu, nên có thể thông cái chí của thiên-hạ. Chỉ khi tìm tòi cái cơ vi, nên có thể lo thành công việc của thiên-hạ. Chỉ khi có thần, nên không lẹ mà nhanh, không đi mà đến.
周 易 云 : 同 人 先 號 咷 而 後 笑 子 曰 君 子 之 道 或 出 或 處 或 默 或 語 二 人 同 心 其 利 斷 金 同 心 之 言 其 臭 如 蘭 。	Sách Chu Dịch viết : Cùng người trước gào khóc sau tươi cười. Đức Khổng-Tử nói : đạo của người quân-tử, hoặc ra, hoặc ở, hoặc lặng yên, hoặc nói chuyện. Hai người đồng lòng thì như dao bén chặt đứt sắt thép.
禮 記 云 : 不 以 口 譽 人 則 民 作 忠 故 君 子 問 人 之 寒 則 衣 之 問 人 之 飢 則 食 之 稱 人 之 美 則 爵 之 。	Nói là đồng lòng, cái mùi nó như hoa lan vậy. Sách Lễ Ký viết : Không lấy miệng khen người (quá đáng) thì dân khởi lên trung thành. Nên người quân-tử hỏi khi người bị lạnh, thì ban áo. Khi hỏi người bị đói, thì ban thức ăn. Khi khen cái đẹp của người, thì ban tước vị.
