第 六 篇 明 辨	THIÊN THỨ 6 : MINH BIỆN
淮 南 子 云 : 原 蠶 一 歲 再 收 非 不 利 也 然 而 王 法 禁 之 者 為 其 殘 桑 也 家 老 異 糧 而 食 之 殊 器 而 烹 之 子 婦 跣 而 上 堂 跪 而 酌 羹 非 不 費 也 然 而 不 可 省 者 為 其 害 義 也 待 媒 而 結 言 娉 納 而 取 婦 紱 絻 而 親 迎 非 不 煩 也 然 而 不 可 易 者 可 以 防 淫 也 使 民 居 處 相 司 有 罪 相 告 於 以 禁 姦 非 不 輟 也 然 而 不 可 行 者 為 傷 和 睦 之 心 而 搆 仇 讎 之 怨 也 。	Sách Hoài Nam Tử viết : Vốn việc nuôi tằm một năm là có thể tái thu hoạch, việc đó không phải là không có lợi, thế mà luật pháp ngăn cấm vì nó sẽ khiến cây dâu bị hại. Bậc gia-lão ăn thực phẩm khác biệt, đồ dùng nấu nướng đặc thù, người con dâu đi chân trần lên gian nhà chính quỳ gối xuống mà xới cơm, múc canh mời, việc đó không phải là không phiền phức, thế mà không thể giảm bớt đi vì nó hại đến tình nghĩa vậy. Người mai mối bàn chuyện hôn sự, dâng sính lễ xong mà đón dâu, người trai mặc áo lễ và đích thân nghênh đón cô dâu, đó không phải là không phiền toái, thế mà không thể thay đổi vì để phòng dâm loạn vậy. Sai dân sống ở đâu, thì làng xóm ngó nhau, phát hiện ai có tội liền tố cáo lên trên để phòng kẻ gian tà, việc đó không phải là không thể ngăn ngừa tội, thế mà không thể làm vì nó làm hại đến lòng hòa khí xóm giềng mà tạo ra lòng oán hận thù địch nhau vậy.
淮 南 子 云 : 事 有 可 行 而 不 可 言 者 有 可 言 而 不 可 行 者 或 易 為 而 難 成 者 或 難 成 而 易 敗 者 所 謂 可 行 而 不 可 言 者 趣 舍 也 可 言 而 不 可 行 者 偽 詐 也 易 為 而 難 成 者 事 也 難 成 而 易 敗 者 治 也 此 四 策 者 聖 人 之 所 獨 視 而 留 志 也 。	Sách Hoài Nam Tử viết : Việc có thể làm mà không thể nói, việc có thể nói mà không thể làm, hay việc làm dễ mà khó thành công, hoặc việc khó thành công mà dễ thất bại. Nói việc có thể làm mà không thể nói bỏ đi thú vui vậy. Việc có thể nói mà không thể làm là lừa dối vậy. Việc dễ làm mà khó thành công là gây dựng sự nghiệp vậy. Việc khó thành công mà dễ thất bại là cai trị vậy. Đó là bốn sách lược bậc thánh-nhân nhìn thấy rõ mà luôn chú ý.
文 子 云 : 治 國 有 常 而 利 民 為 本 政 教 有 道 而 令 行 為 右 茍 利 於 民 不 必 法 古 茍 周 於 事 不 必 循 俗 故 聖 人 法 與 時 變 禮 與 俗 化 衣 服 器 械 各 便 其 用 法 度 制 令 各 因 其 宜 故 變 古 未 可 非 循 俗 未 足 多 。	Sách Văn Tử viết : Trị nước có lẽ thường mà lấy lợi dân làm gốc. Giáo học quốc gia có đạo mà lấy thực hành mệnh lệnh làm trọng. Như việc lợi ích cho dân không nhất thiết theo pháp độ xưa, như công việc toàn thể không nhất thiết theo thế tục. Nên pháp lệnh của bậc thánh-nhân theo thời mà biến đổi, lễ theo thế tục mà chuyển hóa. Y phục, dụng cụ tất cả đều thực dụng. Pháp-độ, chế-lệnh tất cả đều nhân nơi dân mà làm cho phù hợp. Nên biến đổi phép xưa chưa hẳn là sai, tuân theo thế tục chưa chắc là tốt.
後 漢 書 云 : 夫 瑞 生 必 於 嘉 士 福 至 實 由 善 人 在 德 為 瑞 無 德 為 災 。	Sách Hậu Hán Thư viết : Thường điềm lành xuất hiện ắt là do kẻ sĩ tốt lành, phúc thật sự đến là do người thiện.
淮 南 子 云 : 觀 其 所 舉 而 治 亂 可 見 也 察 其 黨 與 而 賢 不 肖 可 論 也 。	Người có đức tạo ra điềm lành, kẻ vô đức tạo ra tai ương. Sách Hoài Nam Tử viết : Quán sát người được tiến cử mà có thể biết nước loạn lạc hay an trị. Xét người làm cùng mà có thế bàn luận người đó tài hay bất tài.
傅 子 云 : 夫 商 賈 者 所 以 伸 盈 虛 而 獲 天 地 之 利 通 有 無 而 壹 四 海 之 財 其 人 可 甚 賤 而 其 業 不 可 廢 蓋 眾 利 之 所 充 而 積 偽 之 所 生 不 可 不 審 察 也 。	Sách Phó Tử viết : Người thương nhân sở dĩ được giàu có là vì biết nắm bắt được cái lợi của trời đất, buôn cái người không có mà thu về tiền tài trong bốn biển. Việc của kẻ ấy rất đê tiện mà nghề nghiệp đó không thể bỏ đi. Bởi vì nó lợi ích đại chúng (làm vật chất có) được đầy đủ mà cũng tích chứa sinh ra nhiều việc dối trá, không thể không thẩm-sát vậy.
尚 書 云 : 皇 天 無 親 惟 德 是 輔 民 心 無 常 惟 惠 之 懷 為 善 弗 同 同 歸 于 治 為 惡 弗 同 同 歸 于 亂 。	Sách Thượng Thư viết : Ông trời không thân ai, chỉ người có đức thì trợ giúp. Lòng dân không thường còn, chỉ người ban ơn huệ thì nhớ tới. Làm thiện không đồng, nhưng đồng quy về sự an trị.
新 語 云 : 仁 者 在 位 而 仁 人 來 義 者 在 朝 而 義 士 至 是 以 墨 子 之 門 多 勇 士 仲 尼 之 門 多 道 德 文 王 之 朝 多 賢 良 秦 王 之 庭 多 不 詳 故 善 者 必 有 所 主 而 至 惡 者 必 有 所 因 而 來 夫 善 惡 不 空 作 禍 福 不 濫 生 唯 心 之 所 向 志 之 所 行 而 已 矣 。	Làm ác không đồng, nhưng đồng quy về sự loạn lạc. Sách Tân Ngữ viết : Người nhân tại vị mà người nhân tìm đến. Người nghĩa ở triều đình mà nghĩa-sĩ tìm đến. Bởi vậy trong số học trò của Mặc-Tử có nhiều bậc dũng sĩ, trong số học trò của đức Trọng-Ni có nhiều người đạo đức, trong triều đình của vua Văn-Vương có nhiều bậc hiền-lương quân tử, trong cung đình của vua Tần có nhiều việc không tốt lành. Nên người thiện ắt có chủ đích mà người ác cũng ắt có nguyên nhân tìm đến. Thường thiện ác không tự tạo ra, họa phúc không tự sinh ra, chỉ do lòng hướng về một mục đích sinh ra việc làm ấy mà thôi.
六 韜 云 : 利 天 下 者 天 下 啓 之 害 天 下 者 天 下 閉 之 生 天 下 者 天 下 德 之 殺 天 下 者 天 下 賊 之 徹 天 下 者 天 下 通 之 窮 天 下 者 天 下 仇 之 安 天 下 者 天 下 恃 之 危 天 下 者 天 下 災 之 天 下 者 非 一 人 之 天 下 唯 有 道 者 得 天 下 也 。	Sách Lục Thao viết : Lợi người thiên-hạ, thì người thiên-hạ mở rộng ra. Hại người thiên-hạ, thì người thiên-hạ khép chặt lại. Giúp người thiên-hạ sinh sống, thì người thiên-hạ cảm hóa. Giết người thiên-hạ, thì người thiên-hạ hủy hoại đi. Thấu hiểu người thiên-hạ, thì người thiên-hạ cảm thông. Ép bức người thiên-hạ, thì người thiên-hạ căm thù. An định người thiên-hạ, thì người thiên-hạ nương nhờ. Khiến người thiên-hạ gặp nguy hiểm, thì người thiên-hạ gây tai ương. Thiên-hạ không phải thiên-hạ của một người, duy chỉ có đức mới được thiên-hạ vậy.
漢 書 云 : 夫 天 下 大 器 今 人 之 置 器 置 諸 安 處 則 安 置 諸 危 處 則 危 天 下 之 情 與 器 無 以 異 在 天 子 之 所 置 之 湯 武 置 天 下 於 仁 義 禮 樂 而 德 澤 洽 禽 獸 草 木 廣 裕 德 被 子 孫 數 十 世 此 天 下 所 共 聞 也 秦 王 置 天 下 於 法 令 刑 罰 德 澤 無 一 有 而 怨 毒 盈 於 世 人 憎 惡 之 如 仇 讎 禍 幾 及 身 子 孫 誅 絕 此 天 下 之 所 共 見 也 是 非 其 明 效 大 驗 邪 。	Sách Hán Thư viết : Thiên-hạ là món đồ lớn, nay người xếp đặt đồ vật ở chổ vững chắc thì an toàn, còn xếp đặt đồ vật ở nơi nguy hiểm thì không an toàn. Cái tình của thiên-hạ và món đồ không lấy gì khác lạ, chỉ do cách xếp đặt của bậc thiên-tử. Vua Thành-Thang, Võ-Vương xếp đặt thiên-hạ ở nhân-nghĩa, lễ-nhạc mà đức-trạch lan đến cầm-thú, cây cỏ, ân đức đủ bao trùm đến con cháu hơn mười đời, việc đó người thiên-hạ đều biết. Vua Tần xếp đặt thiên-hạ ở pháp-lệnh, hình-phạt đức-trạch không một ân huệ gì mà gây cảnh oán hận, họa hai khắp cả thế gian, người người căm ghét như thù địch, tai họa nhanh đến thân, con cháu thì tuyệt diệt, việc đó người thiên-hạ đều thấy. Việc đúng sai đều rõ và ứng nghiệm rõ ràng.
管 子 云 : 人 主 能 安 其 民 則 民 事 其 主 如 事 其 父 母 故 主 有 憂 則 憂 之 有 難 則 死 之 人 主 視 民 如 土 則 民 不 為 用 主 有 憂 則 不 憂 有 難 則 不 死 故 曰 莫 樂 之 則 莫 哀 之 莫 生 之 則 莫 死 之 。	Sách Quản Tử viết : Vua có thể làm dân an ổn, thì dân sẽ phụng sự vua như phụng sự cha mẹ, nên vua có mối lo thì là mối lo của dân, vua có việc khó thì dân lấy cái chết để báo đền. Vua xem dân như đất cát, thì dân không phụng sự, vua có mối lo thì không phải mối lo của dân, vua có việc khó thì dân không lấy cái chết báo đền. Nên nói : “chẳng vui với dân thì dân chẳng buồn, chẳng sống với dân thì dân chẳng chết theo.”
漢 書 云 : 臣 聞 謙 遜 靜 愨 天 表 之 應 應 之 以 福 驕 溢 靡 麗 天 表 之 應 應 之 以 異 。	Sách Hán Thư viết : Thần nghe : khiêm-tốn, trầm tĩnh, trung hậu thì trời rõ ràng mà ứng theo, ứng theo thì ban phúc. Kiêu xa, dâm-dật, xa xỉ thì trời rõ ràng mà ứng theo, ứng theo thì có việc lạ thường.
