第 四 篇 為 政	THIÊN THỨ 4 : VI CHÁNH
陰 謀 云 : 武 王 問 尚 父 曰 五 帝 之 戒 可 聞 乎 尚 父 曰 黃 帝 之 時 戒 曰 吾 之 居 民 上 也 搖 搖 恐 夕 不 至 朝 堯 之 居 民 上 振 振 如 臨 深 川 舜 之 居 民 上 兢 兢 如 履 薄 冰 禹 之 居 民 上 慄 慄 恐 不 滿 日 湯 之 居 民 上 戰 戰 恐 不 見 旦 王 曰 寡 人 今 新 并 殷 居 民 上 翼 翼 懼 不 敢 怠 。	Sách Âm Mưu viết : Vua Võ-Vương hỏi ông Thượng-Phụ rằng : Lời khuyên răn của 5 vị Đế (ngũ-đế), khanh có thể nói ta nghe được chăng ?. Thượng-Phụ đáp : Thưa thời của Hoàng-Đế khuyên, ta ở trên muôn dân, lòng dạ không yên, ban đêm sợ hãi không đến được triều đình. Đế-Nghiêu ở trên muôn dân, lo sợ như đi qua sông sâu. Đế-Thuấn ở trên muôn dân, cẩn thận như đi trên băng mỏng. Đế-Vũ ở trên muôn dân, lật đật sợ hãi khi không làm hết việc trong ngày. Đế-Thang ở trên muôn dân, thận trọng sợ sệt khi không thấy được buổi sáng. Vua Võ-Vương hỏi : Quả-nhân nay mới sát nhập nước Ân, thân đang ở trên dân chúng, kính trọng lo sợ không dám khinh mạn.
孔 子 家 語 云 : 天 下 之 達 道 有 五 其 所 以 行 之 者 三 曰 君 臣 也 父 子 也 夫 婦 也 昆 弟 也 朋 友 之 交 也 五 者 天 下 之 達 道 也 智 仁 勇 三 者 天 下 之 達 德 也 所 以 行 之 者 一 也 或 生 而 知 之 或 學 而 知 之 或 困 而 知 之 及 其 知 之 一 也 或 安 而 行 之 或 利 而 行 之 或 勉 強 而 行 之 及 其 成 功 一 也 。	Sách Khổng Tử Gia Ngữ viết : Đạo lý thường hằng trong thiên-hạ có năm bậc (ngũ-luân), để thi hành được thì cần 3 đức : đạo vua tôi, đạo cha con, đạo vợ chồng, đạo anh em, đạo kết giao bạn bè, đó là 5 đạo lý thường hằng (ngũ-luân) trong thiên-hạ. Trí, nhân, dũng là 3 đức thường hằng trong thiên-hạ. Để thi hành được thì chỉ có một (chân thành). Đạo lý đó hoặc có người sinh ra đã biết, hoặc học tập mà biết, hoặc gặp cảnh khốn cùng mà biết được nhưng đến cuối cùng thì cái biết như nhau. Đạo lý ấy hoặc có người an nhiên mà làm, hoặc vì lợi mà làm hoặc miễn-cưỡng mà làm nhưng đến cuối cùng thì thành-công như nhau. Sách Doãn Văn Tử viết : Nhân, Nghĩa, Lễ, Nhạc, Danh, Pháp, Hình, Thưởng hết thẩy 8 điều ấy là phương pháp mà ngũ-đế, tam-vương dùng để trị thiên-hạ.
孔 子 家 語 云 : 仁 者 莫 大 於 愛 人 智 者 莫 大 於 知 賢 政 者 莫 大 於 官 能 有 土 之 君 能 修 此 三 者 則 四 海 之 內 供 命 而 已 矣 。	Sách Khổng Tử Gia Ngữ viết : Người nhân không có gì lớn bằng việc yêu người, người trí không có gì lớn bằng việc nhận biết người hiền, người làm chính trị không có gì lớn bằng việc chọn quan giỏi. Vua có đất đai mà tuân theo 3 việc này, thì người trong bốn-biển sẽ phụng mệnh họ mà thôi vậy.
禮 記 云 : 天 子 聽 男 教 后 聽 女 順 天 子 理 陽 道 后 治 陰 德 天 子 聽 外 治 后 聽 內 治 教 順 成 俗 外 內 和 順 國 家 理 治 此 之 謂 盛 德 也 。	Sách Lễ Ký viết : Thiên-tử xử trí việc giáo hóa nam nhân, hoàng-hậu xử trí việc sửa sang nữ nhân. Thiên-tử sửa sang việc theo đạo dương, hoàng-hậu sửa trị việc theo đức âm. Thiên-tử xử trí công việc bên ngoài, hoàng-hậu xử trí công việc bên trong. Việc giáo hóa và sửa sang thành phong tục, việc xử trí trong và ngoài hòa thì êm đẹp, quốc gia được sửa sang thì an trị đó gọi là thịnh-đức vậy.
尸 子 云 : 治 天 下 有 四 術 一 曰 忠 愛 二 曰 無 私 三 曰 用 賢 四 曰 度 量 度 量 通 則 財 用 足 矣 用 賢 則 多 功 矣 無 私 百 智 之 宗 也 忠 愛 父 母 之 行 也 。	Sách Thi Tử viết : Trị thiên-hạ có 4 phương pháp : thứ nhất là hết lòng yêu thương, thứ hai là chí công vô-tư, thứ ba là trọng dụng người-hiền, thứ tư là chi dùng giới hạn. Chi dùng giới hạn thông suốt thì tiền của dùng đủ vậy. Trọng dụng người hiền thì đạt nhiều thành công vậy. Chí công vô tư là chủ trăm cái khôn vậy. Hết lòng yêu thương là hạnh tốt của cha mẹ vậy.
管 子 云 : 倉 廩 實 則 知 禮 節 衣 食 足 則 知 榮 辱 上 服 度 則 六 親 固 四 維 張 則 君 令 行 四 維 不 張 國 乃 滅 亡 國 有 四 維 一 維 絕 則 傾 二 維 絕 則 危 三 維 絕 則 覆 四 維 絕 則 滅 傾 可 正 也 危 可 安 也 覆 可 起 也 滅 不 可 復 錯 也 四 維 一 曰 禮 二 曰 義 三 曰 廉 四 曰 恥 。	Sách Quản Tử viết : Kho thóc sung túc thì dân biết lễ-tiết, ăn mặc đầy đủ thì dân biết vinh-nhục, trên vâng theo pháp độ thì lục-thân vững bền, tứ-duy được nêu cao thì lệnh vua được thi hành. Tứ-duy không nêu cao thì nước bèn diệt vong. Nước có tứ-duy, duy thứ nhất mất thì nước nghiêng ngã, duy thứ hai mất thì nước lâm nguy, duy thứ ba mất thì nước bị lật đổ, duy thứ tư mất thì nước bị diệt vong. Nước nghiêng ngã có thể dựng lại, nước lâm nguy có thể làm yên, nước bị lật đổ có thể khôi phục, nước bị diệt vong thì không thể cứu vãng. Tứ-Duy : một là Lễ, hai là Nghĩa, ba là Liêm, bốn là Sỉ.
呂 氏 春 秋 云 : 是 故 古 之 聖 王 未 有 不 尊 師 也 尊 師 則 不 論 貴 賤 貧 富 矣 。	Sách Lã Thị Xuân Thu viết : Cho nên bậc thánh-vương xưa, không có ai là không tôn trọng thầy. Tôn trọng thầy thì không bàn đến sang hèn, giàu nghèo vậy.
說 苑 云 : 湯 曰 何 謂 臣 而 不 臣 對 曰 君 之 所 不 名 臣 者 四 諸 父 臣 而 不 名 諸 兄 臣 而 不 名 先 王 之 臣 臣 而 不 名 盛 德 之 士 臣 而 不 名 是 謂 大 順 也 。	Sách Thuyết Uyển viết : Vua Thành-Thang hỏi : thế nào gọi là bề tôi, mà thật không phải là bề tôi ?. Y-Doãn đáp : thưa vua không thật sự gọi danh bề tôi có bốn trường hợp. Chú bác làm bề tôi thì không thật danh, anh họ làm bề tôi thì không thật danh, người thân cận của cha làm bề tôi thì không thật danh, kẻ sĩ có đức hạnh làm bề tôi thì không thật danh. Đó gọi thuận theo đạo lớn vậy.
論 語 云 : 子 曰 不 在 其 位 不 謀 其 政 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Người không có chức vị gì, thì đừng mưu tính việc chính sự.
晉 書 云 : 政 不 可 多 門 多 門 則 民 擾 。	Sách Tân Thư viết : Chính sách không để rườm rà, rườm rà thì phiền dân.
後 漢 書 云 : 古 之 明 君 褒 罰 必 以 功 過 末 代 闇 主 誅 賞 各 緣 其 私 。	Sách Hậu Hán Thư viết : Các vị vua sáng suốt thời xưa, khen thưởng hay xử phạt ắt căn cứ theo công lao và tội lỗi. Vua của các triều đại hôn ám, trừng phạt hay khen thưởng thì thuận theo ý riêng.
中 論 云 : 夫 當 賞 者 不 賞 則 為 善 者 失 其 本 望 而 疑 其 所 行 當 罰 者 不 罰 則 為 惡 者 輕 其 國 法 而 怙 其 所 守 。	Sách Trung Luận viết : Việc đáng thưởng mà không thưởng, thì làm người tốt mất hi vọng và hoài nghi về việc làm của mình.
傅 子 云 : 先 王 之 教 進 賢 者 為 上 賞 蔽 賢 者 為 上 戮 。	Việc đáng phạt mà không phạt, thì làm người xấu coi nhẹ luật nước và tiếp tục tạo thêm tội. Sách Phó Tử viết : Bậc tiên-vương dạy, ai tiến cử người hiền sẽ được thưởng lớn, ai che lấp người hiền sẽ bị phạt nặng.
傅 子 云 : 爵 祿 者 國 柄 之 本 而 貴 富 之 所 由 不 可 以 不 重 也 然 則 爵 非 德 不 授 祿 非 功 不 與 二 教 既 立 則 良 士 不 敢 以 賤 德 受 貴 爵 勞 臣 不 敢 以 微 功 受 重 祿 況 無 德 無 功 而 敢 虛 干 爵 祿 之 制 乎 。	Sách Phó Tử viết : Tước vị và bổng lộc là gốc của quyền lực quốc gia, giàu sang từ đó sinh ra, không thể không coi trọng. Thế nên việc phong tước vị nếu người không có đức hạnh thì không thể trao cho, còn việc ban bổng lộc người không công trạng gì thì không ban cho. Hai việc đó gây dựng thì kẻ sĩ tốt lành không dám lấy đức hạnh thấp kém để nhận tước vị cao quý, bề tôi lao lực không dám lấy công trạng nhỏ bé để nhận bổng lộc trọng hậu.
說 苑 云 : 魏 文 侯 問 李 克 曰 刑 罰 之 源 安 生 對 曰 生 於 奸 邪 淫 佚 之 行 也 凡 奸 邪 之 心 飢 寒 而 起 淫 佚 者 文 飾 之 耗 雕 文 刻 鏤 害 農 事 者 也 文 繡 纂 組 傷 女 功 者 也 農 事 害 則 飢 之 本 女 功 傷 則 寒 之 源 也 飢 寒 並 至 而 能 不 為 奸 邪 者 未 之 有 也 男 女 飾 美 以 相 矜 而 能 無 淫 佚 者 未 嘗 有 也 刑 罰 之 起 有 源 人 主 不 塞 其 本 而 督 其 末 傷 國 之 道 也 。	Làm thế thì những kẻ vô đức, vô công dám đòi hỏi tước vị và bổng lộc chăng ?. Sách Thuyết Uyển viết : Ngụy-Văn-Hầu hỏi Lý-Khắc rằng : hình phạt vì nguyên do gì phát sinh ?. Lý-Khắc đáp : thưa nó sinh ra từ hành vi gian-tà và dâm-dật. Thường hành vi gian-tà là do đói rét mà khởi lên, còn hành vi dâm-dật là do trang điểm quá mức vậy. Chạm khắc rường cột cầu kỳ làm hại đến việc nông-sự, thêu dệt lộng lẫy gây thương tổn đến công việc của người nữ. Làm hại việc nông-sự là nguồn gốc của đói, gây thương tổn công việc của người nữ là căn nguyên của rét. Đói rét cùng đến mà người có thể không làm chuyện gian-tà là việc chưa từng có. Nam nữ trang điểm đẹp để khoe nhau mà có thể không làm chuyện dâm-dật là việc chưa từng có. Hình phạt phát sinh có nguyên nhân, người làm vua không ngăn chặn tận gốc mà thúc dục lo cành ngọn, đó là đường lối gây thương tổn quốc gia vậy.
袁 子 正 書 云 : 先 仁 而 後 法 先 教 而 後 刑 是 治 之 先 後 者 也 。	Sách Viên Tử Chính Thư viết : Trước nhân-từ mà sau dùng luật-pháp, trước giáo-hóa mà sau dùng hình-phạt, tức là việc cai trị có trước có sau vậy.
尚 書 云 : 凡 我 有 官 君 子 欽 乃 攸 司 慎 乃 出 令 令 出 惟 行 弗 惟 反 以 公 滅 私 民 其 充 懷 。	Sách Thượng Thư viết : (Chu-Thành-Vương nói) Hết thảy các bậc quân-tử đang làm quan cho ta, phải kính cẩn làm tròn chức vụ của mình, thận trọng lúc ra lệnh. Lệnh đã ra phải thi hành, không nên làm trái lại. Làm theo lẽ công bình, bỏ hết tình riêng thì dân đều kính phục.
漢 書 云 : 書 曰 與 殺 不 辜 寧 失 不 經 。	Sách Hán Thư viết : Sách Thượng Thư viết : “Thà làm trái luật, còn hơn giết người vô tội.”
論 語 云 : 子 曰 聽 訟 吾 猶 人 必 也 使 無 訟 乎 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : xử việc kiện tụng ta cũng như người, nhưng ắt phải làm sao khiến cho không còn những việc kiện tụng nữa ! .
政 要 論 云 : 聖 人 之 用 兵 也 將 以 利 物 不 以 害 物 也 將 以 救 亡 非 以 危 存 也 故 曰 好 戰 者 亡 忘 戰 者 危 。	Sách Chính Yếu Luận viết : Bậc thánh-nhân dụng binh làm lợi mọi vật, không làm hại mọi vật. Cứu giúp lúc nguy vong, không gây thêm hoảng loạn. Nên nói : “Thích gây chiến tranh thì diệt vong, quên phòng chiến tranh thì nguy khốn.”
袁 子 正 書 云 : 兵 者 存 亡 之 機 一 死 不 可 復 生 也 故 曰 天 下 難 事 在 於 兵 。	Sách Viên Tử Chính Thư viết : Dụng binh trọng yếu tại việc lính còn hay mất, vì một khi lính chết thì không thể sống lại.
老 子 云 : 兵 者 不 祥 之 器 非 君 子 之 器 不 得 已 而 用 之 恬 惔 為 上 勝 而 不 美 而 美 之 者 是 樂 殺 人 也 夫 樂 殺 人 者 則 不 可 以 得 志 於 天 下 矣 吉 事 上 左 凶 事 上 右 偏 將 軍 處 左 上 將 軍 處 右 言 以 喪 禮 處 之 殺 人 眾 多 以 悲 哀 泣 之 戰 勝 則 以 喪 禮 處 之 。	Nên nói việc khó trong thiên-hạ ở chổ dụng binh. Sách Lão Tử viết : Binh khí là vật không tốt lành, không phải đồ dùng của người quân-tử. Bị bắt buộc dùng đến, thì điềm đạm là hơn. Thắng trận đâu có tốt mà cho là tốt, đó là vui khi giết người. Thường vui giết người thì không thể lấy được ý chí của người thiên-hạ vậy. Việc tốt chuộng bên phải, việc xấu chuộng bên trái. Phó tướng ở bên trái, thượng tướng ở bên phải, là nói chổ đứng trong tang-lễ. Kẻ giết người nhiều, lấy thảm thương rồi khóc đó. Kẻ chiến thắng thì lấy tang-lễ rồi xử trí đó.
老 子 云 : 師 之 所 處 荊 棘 生 焉 大 軍 之 後 必 有 凶 年 。	Sách Lão Tử viết : Chổ đóng sư-đoàn, gai góc mọc đầy. Sau cuộc chiến tranh, ắt có năm mất mùa.
	Sách Hán Thư viết : Cứu giúp lúc loạn, giết kẻ bạo tàn gọi là nghĩa-binh, nghĩa-binh thì sẽ lãnh đạo. Quân địch đến đánh mình, bắt đắt dĩ phải đứng lên chống lại gọi là ứng-binh, ứng-bính thì sẽ chiến thắng. Thù hận đánh nhau vì cớ nhỏ nhặt, không thắng thì nổi giận gọi phẫn-binh, phẫn-binh thì sẽ thất bại. Chiếm đất đai, cướp tài vật gọi là tham-binh, tham-binh sẽ bị phá tan.
漢 書 云 : 救 亂 誅 暴 謂 之 義 兵 兵 義 者 王 敵 加 於 己 不 得 已 而 起 者 謂 之 應 兵 應 兵 者 勝 爭 恨 小 故 不 勝 憤 怒 者 謂 之 忿 兵 兵 忿 者 敗 利 人 土 地 貨 寶 者 謂 之 貪 兵 貪 兵 者 破 恃 國 家 之 大 矜 民 人 之 眾 欲 見 威 於 敵 者 謂 之 驕 兵 兵 驕 者 滅 此 五 者 非 但 人 事 乃 天 道 也 。	Cậy nước lớn, khoe dân đông, muốn địch thấy uy nghiêm gọi là kiêu-binh, kiêu-binh sẽ bị tiêu diệt. Đó là 5 trường hợp, không chỉ nói về việc người mà còn về đạo trời nữa vậy.
六 韜 云 : 故 兵 者 國 之 大 器 存 亡 之 事 命 在 於 將 也 先 王 之 所 重 故 置 將 不 可 不 審 察 也 。	Sách Lục Thao viết : Quân đội là bảo vật lớn của quốc-gia, nó quyết định đến việc sống còn, vì vận mệnh đặt hết ở tay tướng soái. Bậc tiên-vương rất thận trọng khi xếp đặt tướng soái, vì thế không thể không xem xét kỹ lưỡng.
孫 子 云 : 視 卒 如 嬰 兒 故 可 與 之 赴 深 谿 視 卒 如 愛 子 故 可 與 之 俱 死 。	Sách Tôn Khanh Tử viết : Xem binh lính như con trẻ, họ sẽ cùng theo ta đến hang sâu. Xem binh lính như con yêu, họ sẽ cùng sát cánh bên ta đến chết.
列 子 云 : 楚 莊 王 問 詹 何 曰 治 國 奈 何 詹 何 對 曰 何 明 於 治 身 而 不 明 於 治 國 也 楚 王 曰 寡 人 得 奉 宗 廟 社 稷 願 學 所 以 守 之 詹 何 對 曰 臣 未 嘗 聞 身 治 而 國 亂 者 也 又 未 嘗 聞 身 亂 而 國 治 者 也 故 本 在 身 不 敢 對 以 末 楚 王 曰 善 。	Sách Liệt Tử viết : Vua Sở-Trang-Vương hỏi ông Chiêm-Hà rằng : Trị nước như thế nào ?. Chiêm-Hà đáp : thưa Hà rõ đạo trị thân, không rõ đạo trị nước. Sở-Trang-Vương nói : Quả-nhân được tiếp nhận tông-miếu, xã-tắc nguyện học học theo để được giữ bên lâu. Chiêm-Hà đáp : thưa thần chưa từng nghe chuyện trị thân mà nước loạn, lại chưa từng nghe chuyện thân loạn mà nước trị. Cho nên căn gốc ở trị thân, thần không dám nói đến cành ngọn thêm. Sở-Trang-Vương nói : hay. Sách Trung Luận viết : Lòng dân chẳng ai là không có phương pháp trị, đến khi áp dụng thì có khác biệt vậy. Hoặc áp dụng cho người, hoặc áp dụng cho mình.
中 論 云 : 民 心 莫 不 有 治 道 至 於 用 之 則 異 矣 或 用 乎 人 或 用 乎 己 用 乎 己 者 謂 之 務 本 用 乎 人 者 謂 之 追 末 君 子 之 治 之 也 先 務 其 本 故 德 建 而 怨 寡 小 人 之 治 之 也 先 追 其 末 故 功 廢 而 仇 多 。	Áp dụng cho mình gọi là lo gốc, áp dụng cho người gọi là tìm ngọn. Người quân-tử khi trị lý, trước lo đến gốc, nên đạo đức được gậy dựng mà kết oán ít. Kẻ tiểu-nhân khi trị lý, trước tìm đến ngọn, nên không có công trạng mà kết thù nhiều.
淮 南 子 云 : 為 治 之 本 務 在 於 安 民 安 民 之 本 在 於 足 用 足 用 之 本 在 於 勿 奪 時 勿 奪 時 之 本 在 於 省 事 省 事 之 本 在 於 節 欲 節 欲 之 本 在 於 反 性 。	Sách Hoài Nam Tử viết : Gốc của việc trị nước lo ở việc an ổn dân, gốc của an ổn dân là ở việc làm dân no đủ, gốc của làm dân no đủ là ở không chiếm thời gian của dân, gốc của không chiếm thời gian của dân là ở giảm bớt việc, gốc của giảm bớt việc là ở tiết chế dục vọng, gốc của tiết chế dục vọng là quay về bản tính vốn có.
文 子 云 : 能 成 霸 王 者 必 得 勝 者 也 能 勝 敵 者 必 強 者 也 能 強 者 必 用 人 力 者 也 能 用 人 力 者 必 得 人 心 者 也 能 得 人 心 者 必 自 得 者 也 能 自 得 者 必 柔 弱 者 也 。	Sách Văn Tử viết : Có thể thành bậc bá-vương ắt được chiến thắng. Có thể chiến thắng quân địch ắt được hùng mạnh. Hùng mạnh ắt dùng sức người. Có thể dùng sức người ắt được lòng người.
	Sách Lã Thị Xuân Thu viết : Thường thống nhất thiên-hạ, trị lý quốc-gia ắt lo đến căn gốc, lo đến căn gốc chẳng gì quý bằng hiếu.
呂 氏 春 秋 云 : 凡 為 天 下 治 國 家 必 務 其 本 也 務 本 莫 貴 於 孝 人 主 孝 則 名 章 榮 天 下 譽 人 臣 孝 則 事 君 忠 處 官 廉 臨 難 死 士 民 孝 則 耕 芸 疾 守 戰 固 不 疲 北 夫 執 一 術 而 百 喜 至 百 邪 去 天 下 從 者 其 唯 孝 乎 。	Vua hiếu thì danh tốt, người thiên-hạ khen ngợi. Tôi hiếu thì phụng sự vua hết lòng, làm quan thanh liêm, lâm nạn liều chết để làm trọn mệnh lệnh. Sĩ-dân hiếu thì làm ruộng siêng năng, thủ thành đánh giặc ý chí kiên định, thua trận không bỏ chạy. Như theo một phương pháp mà trăm việc tốt đến, trăm việc xấu đi, thiên-hạ thuận theo thì chỉ có Hiếu ư !.
文 子 云 : 治 之 本 仁 義 也 其 末 法 度 也 先 本 後 末 謂 之 君 子 先 末 後 本 謂 之 小 人 法 之 生 也 以 輔 義 重 法 棄 義 是 貴 其 冠 履 而 忘 其 頭 足 也 。	Sách Văn Tử viết : Gốc của việc trị nước là ở nhân-nghĩa, còn pháp-độ là ngọn. Trước lo gốc sau lo ngọn gọi là người quân-tử, trước lo ngọn sau lo gốc là kẻ tiểu-nhân. Làm ra pháp luật là để bổ trợ nhân-nghĩa. Trọng pháp luật bỏ nhân-nghĩa đó là quý giầy nón mà quên mất đầu chân vậy.
後 漢 書 云 : 政 以 得 賢 為 本 理 以 去 穢 為 務 。	Sách Hậu Hán Thư viết : Việc chính trị lấy có được người hiền làm gốc, việc trị lý lấy bỏ đi kẻ xấu làm trọng yếu.
孫 卿 子 云 : 有 亂 君 無 亂 國 有 治 人 無 治 法 羿 之 法 未 亡 也 而 羿 不 世 中 禹 之 法 猶 存 而 夏 不 世 王 故 法 不 能 獨 立 得 其 人 則 存 失 其 人 則 亡 法 者 治 之 端 也 君 子 者 法 之 源 也 故 有 君 子 則 法 雖 省 足 以 遍 矣 無 君 子 則 法 雖 具 足 以 亂 矣 故 明 主 急 得 其 人 而 闇 主 急 得 其 勢 急 得 其 人 則 身 逸 而 國 治 功 大 而 名 美 急 得 其 勢 則 身 勞 而 國 亂 功 廢 而 名 辱 。	Sách Tôn Khanh Tử viết : Có vua gây loạn, không có nước tự loạn. Có việc người trị lý, không có việc phương pháp tự trị lý. Phương pháp (bắn cung) của Hậu-Nghệ chưa mất, thế mà thế gian không ai học được. Phương pháp (trị nước) của vua Vũ còn đó, thế mà nhà Hạ không để đời đời xưng vương. Nên phương pháp không thể một mình gây dựng, có người trợ giúp thì phương pháp còn, mất người trợ giúp thì phương pháp mất vậy. Phương pháp là đầu mối của việc trị lý, người quân-tử là cội nguồn của phương pháp. Cho nên có người quân-tử, thì có phương pháp dù đơn giản nhưng đủ để trị lý khắp nơi. Không có người quân-tử, thì phương pháp dù có nhiều nhưng đủ gây loạn lạc. Vì vậy vua sáng suốt thì gấp lo có được người (hiền), vua hôn ám thì gấp lo có được thế lực. Gấp lo có được người (hiền) thì thân nhàn nhã mà nước an trị, thành công lớn mà danh tiếng tốt đẹp. Gấp lo có được thế lực thì thân lao nhọc mà nước loạn lạc, thành công mất đi mà danh tiếng nhục nhã vậy.
管 子 云 : 君 之 所 慎 者 四 一 曰 大 位 不 至 仁 不 可 授 國 柄 二 曰 見 賢 不 能 讓 不 可 與 尊 位 三 曰 罰 避 親 貴 不 可 使 主 兵 四 曰 不 好 本 事 不 務 地 利 而 輕 賦 斂 不 可 與 都 邑 此 四 務 者 安 危 之 本 也 。	Sách Quản Tử viết : Làm vua thận trọng 4 điều : Thứ nhất ngôi vị lớn không hướng về đức nhân, thì không thể tiếp nhận quyền điều hành quốc gia. Thứ hai thấy người hiền không biết hạ mình, thì không thể ban cho địa vị tôn quý. Thứ ba phạt tội né người thân thiết quý trọng, thì không thể làm tướng điều khiển quân đội. Thứ tư không chú trọng việc gốc (nông nghiệp), không lo lắng việc cải thiện đất đai mà xem nhẹ việc thu thuế, thì không thể ban cho đô-ấp. Đó là bốn điều cần chú ý, nó là căn gốc của an nguy quốc gia vậy.
淮 南 子 云 : 食 者 民 之 本 也 民 者 國 之 本 也 國 者 君 之 本 也 。	Sách Hoài Nam Tử viết : Lương thực là gốc để nuôi dân, dân là gốc để thành đất nước, đất nước là gốc của người làm vua.
體 論 云 : 夫 君 尊 嚴 而 威 高 遠 而 危 民 者 卑 賤 而 恭 愚 弱 而 神 惡 之 則 國 亡 愛 之 則 國 存 御 民 者 必 明 此 要 。	Sách Thể Luận viết : Vua tôn nghiêm thì có uy nghi, nhưng vua ngôi cao mà xa cách thì nguy khốn. Dân thấp hèn thì cung kính, nhưng dân ngu yếu mà phi thường. Ghét điều đó thì mất nước, yêu điều đó thì nước còn. Người cai trị dân ắt phải hiểu rõ điều trọng yếu đó.
潛 夫 論 云 : 夫 用 天 之 道 分 地 之 利 六 畜 生 於 時 百 物 取 於 野 此 富 國 之 本 也 故 為 政 者 明 督 工 商 勿 使 淫 偽 困 辱 遊 業 勿 使 擅 利 寬 假 本 農 而 寵 遂 學 士 則 民 富 而 國 平 矣 。	Sách Tiềm Phu Luận viết : Cái dụng của đạo trời là chia lợi cho đất. Sáu loại gia súc (lục-súc) sinh trưởng đúng thời, trăm vật giữ được sự hoang dã, đó là gốc làm nước giàu. Nên làm chính trị phải thông suốt việc đốc suất giới công thương chớ khiến họ lừa gạt, hạn chế các nghề lưu động chớ khiến họ độc chiếm lợi ích. Ưu đãi nghề nông mà yêu mến các bậc học-sĩ, thì dân giàu đất nước thái bình vậy.
尚 書 云 : 咎 繇 曰 都 亦 行 有 九 德 寬 而 栗 柔 而 立 愿 而 恭 亂 而 敬 擾 而 毅 直 而 溫 簡 而 廉 剛 而 塞 彊 而 義 彰 厥 有 常 吉 哉 。	Sách Thượng Thư viết : Ông Cao-Dao nói : Ôi ! nết người lại có 9 đức tốt. 1.Khoan dung mà nghiêm ngặt, 2.Nhu thuận mà biết tự lập, 3.Cẩn thận mà khiêm cung, 4.Có tài cai trị mà cung kính, 5.Nhu thuận mà quả quyết, 6.Chính trực mà ôn hoà, 7.Giản dị mà liêm khiết, 8.Cương quyết mà vững vàng, 9.Mạnh mẽ mà theo đạo nghĩa. Người rõ được những lẽ thường ấy thật tốt lành thay !.
文 子 云 : 故 論 人 之 道 貴 即 觀 其 所 舉 富 即 觀 其 所 施 窮 則 觀 其 所 不 受 賤 即 觀 其 所 不 為 視 其 所 患 難 以 知 其 勇 動 以 喜 樂 以 觀 其 守 委 以 貨 財 以 觀 其 仁 振 以 恐 懼 以 觀 其 節 如 此 即 人 情 得 矣 。	Sách Văn Tử viết : Nên đạo lý bàn luận người. Lúc cao quý thì xem người họ tiến cử, lúc giàu có thì xem người họ bố thí, lúc khốn cùng thì xem cái họ không nhận, lúc nghèo hèn thì xem việc họ không làm. Xem lúc hoạn-nạn để biết được cái dũng. Tác động đến thú vui để xem sự giữ gìn. Uỷ thác tài vật để xem đức nhân. Làm cho sợ sệt để xem khí tiết. Như thế thì biết được nhân-tình vậy.
漢 書 云 : 正 臣 進 者 治 之 表 也 正 臣 陷 者 亂 之 機 也 。	Sách Hán Thư viết : Bề tôi chánh trực được trọng dụng là biểu hiện của an trị.
袁 子 正 書 云 : 故 夫 處 天 下 之 大 道 而 智 不 窮 興 天 下 之 大 業 而 慮 下 竭 統 齊 群 言 之 類 而 口 不 勞 兼 聽 古 今 之 辨 而 志 不 倦 者 其 唯 用 賢 乎 。	Bề tôi chính trực bị hãm hại là dấu hiệu của loạn lạc. Sách Viên Tử Chính Thư viết : Nên Khi xử lý đạo lớn của thiên-hạ mà trí huệ không cùng đường, hưng khởi nghiệp lớn của thiên mà suy nghĩ không cạn kiệt, thống nhất lời nói của quần chúng mà miệng không nhọc nhằn, nghe hết lời biện bác xưa nay mà ý chí không mệt mỏi, chỉ có trọng dụng người hiền ư !.
吳 志 云 : 古 之 聖 王 所 以 潛 處 重 闈 之 內 而 知 萬 里 之 情 垂 拱 衽 席 之 上 而 明 照 八 極 之 際 者 任 賢 之 功 也 。	Sách Ngô Chí viết : Bậc thánh-vương xưa sở dĩ ở trong cung cấm mà biết sự tình ngoài ngàn dặm, buông áo chấp tay ngồi ở trên chiếu mà rõ ràng công việc của tám phương trong bờ cõi. Đó là thành quả của việc trọng dụng người hiền vậy.
潛 夫 論 云 : 遭 良 吏 則 皆 懷 忠 信 而 履 仁 厚 遇 惡 吏 則 皆 懷 奸 邪 而 行 淺 薄 忠 厚 積 則 致 太 平 奸 薄 積 則 致 危 亡 。	Sách Tiềm Phu Luận viết : Gặp quan tốt thì dân đều nhớ đến lòng trung-tín mà sống nhân-hậu. Gặp quan xấu thì dân đều nhớ đến lòng gian-tà mà sống bạc bẽo. Trung-tín và nhân-hậu được tích chứa thì đất nước thái bình, gian-tà và bạc bẽo được tích chứa thì đất nước nguy vong.
