第 五 篇 敬 慎	THIÊN THỨ 5 : KÍNH THẬN
政 要 論 云 : 且 夫 閉 情 無 欲 者 上 也 咈 心 消 除 者 次 之 昔 帝 舜 藏 黃 金 於 嶄 巖 之 山 抵 珠 玉 於 深 川 之 底 及 儀 狄 獻 旨 酒 而 禹 甘 之 於 是 疏 遠 儀 狄 純 上 旨 酒 此 能 閉 情 於 無 欲 者 也 。	Sách Chính Yếu Luận viết : Vả chăng người khép lại tình cảm không dục vọng là bậc thượng, làm trái lòng mình để tiêu-trừ dục vọng là bậc kế. Xưa kia vua Thuấn đem vàng chôn ở núi cao hiểm trở, lấy châu-ngọc đem giấu ở dưới sông sâu. Đến ông Nghi-Địch dâng hiến rượu ngon, khi vua Đại-Vụ thử vị cho ngon thì liền rời xa Nghi-Địch chỉ vì ông ta dâng rượu ngon lên. Mấy vị ấy có thể khép lại tình cảm đến không dục vọng vậy. Sách Bão Phác Tử viết : Thầy Bão Phác Tử nói : Khi mặt trời, mặt trăng và các vì sao trên trời bị mây che phủ thì ánh sáng dưới đất bị mờ tối. Như gốc cây này bị mục nát thì cành lá kia sẽ bị khô héo.
抱 朴 子 云 : 抱 朴 子 曰 三 辰 蔽 於 天 則 清 景 闇 於 地 根 茇 蹶 於 此 則 柯 條 瘁 於 彼 道 失 於 近 則 禍 及 於 遠 政 繆 於 上 而 民 困 於 下 。	Đánh mất đạo đức gần thì tai họa bèn từ xa đến. Ở trên làm chính trị lầm lỗi thì ở dưới dân gặp cảnh khốn cùng.
毛 詩 云 : 親 親 以 睦 友 賢 不 棄 不 遺 故 舊 則 民 德 歸 厚 矣 。	Sách Mao Thi viết : Yêu cha mẹ để hòa mục, kết bạn hiền không quên đi, không bỏ rơi bậc cố cựu thì đạo đức dân chúng càng thuần hậu vậy.
魏 志 云 : 使 天 下 皆 背 道 而 趨 利 則 人 主 之 所 最 病 者 。	Sách Ngụy Chí viết : Khiến người thiên-hạ đều làm trái đạo đức để trục lợi là cái bệnh nghiêm trọng nhất của bậc lãnh đạo.
傅 子 云 : 若 夫 商 韓 孫 吳 知 人 性 之 貪 得 樂 進 而 不 知 兼 濟 其 善 於 是 束 之 以 法 要 之 以 功 使 下 唯 力 是 恃 唯 爭 是 務 恃 力 務 爭 至 有 探 湯 赴 火 而 忘 其 身 者 好 利 之 心 獨 用 也 人 懷 好 利 之 心 則 善 端 沒 矣 。	Sách Phó Tử viết : Như ông Thương-Hưởng, Hàn-Phi, Tôn-Tử, Ngô-Khởi tính cách chỉ biết tham được việc và thích thăng tiến, nên họ không biết cái tốt của việc giúp đỡ mọi người. Vì thế họ dùng hình pháp để ràng buộc chủ yếu để lấy công danh, sai khiến cấp dưới cậy vào vũ lực chỉ lo vào việc tranh đấu Khi dùng vũ lực và lo tranh đấu thì có khi đến lao vào nước sôi lửa bỏng mà quên cả bản thân, chỉ vì lòng thích lợi ích cho riêng mình. Người mà lòng dạ luôn nhớ đến lợi thì đó là nguyên nhân khiến việc tốt mất đi vậy.
管 子 云 : 君 之 所 審 者 三 一 曰 德 不 當 其 位 二 曰 功 不 當 其 祿 三 曰 能 不 當 其 官 此 三 本 者 治 亂 之 原 也 。	Sách Quản Tử viết : Làm Vua nên xem xét ba điều. Thứ nhất đức không đảm đương nổi địa vị. Thứ hai công lao không đảm đương nổi bổng lộc. Thứ ba tài năng không đảm đương nổi chức quan. Ba điều căn gốc ấy là nguyên nhân của an trị hay loạn lạc.
典 語 云 : 夫 世 之 治 亂 國 之 安 危 非 由 他 也 俊 乂 在 官 則 治 道 清 奸 佞 干 政 則 禍 亂 作 故 王 者 任 人 不 可 不 慎 也 。	Sách Điển Ngữ viết : Việc thịnh trị hay loạn lạc của thế gian, việc an nguy của quốc gia không phải do nguyên nhân nào khác. Người tài đức làm quan thì đường lối cai trị sáng rõ, kẻ gian nịnh chen vào việc chính trị thì gây tai họa loạn lạc.
毛 詩 云 : 亂 之 初 生 僭 始 既 涵 亂 之 又 生 君 子 信 讒 君 子 信 盜 亂 是 用 暴 盜 言 孔 甘 亂 是 用 餤 。	Nên vua giao trách nhiệm cho người không thể không thận trọng vậy. Sách Mao Thi viết : Loạn lạc lúc mới phát sinh, vì vua tin quá nhiều người. Loạn lạc lại phát sinh thêm, vì vua (quân-tử) dùng kẻ sàm nịnh. Vua tin theo kẻ gian nịnh, thì loạn lạc càng mạnh bạo. Lời của kẻ gian nịnh ngọt, thì loạn lạc càng dâng cao.
孫 卿 子 云 : 政 險 失 民 田 薉 稼 惡 糴 貴 民 饑 道 路 有 死 人 夫 是 之 謂 人 妖 也 政 令 不 明 舉 措 不 時 本 事 不 理 夫 是 之 謂 人 妖 也 禮 儀 不 修 外 內 無 別 男 女 淫 亂 父 子 相 疑 上 下 乖 離 寇 難 日 至 夫 是 之 謂 人 妖 也 三 者 錯 無 安 國 矣 其 說 甚 邇 其 災 甚 慘 。	Sách Tôn Khanh Tử viết : Nền chính trị gian hiểm thì mất dân, ruộng hoang thì lúa xấu, thóc gạo giá cao thì dân đói, trên đường lộ có người chết việc như thế gọi là chuyện quái dị của con người. Luật pháp không rõ, tiến cử bãi bỏ không đúng thời, căn gốc việc không rõ lý việc đó gọi là chuyện quái dị của con người. Lễ-nghĩa không tuân theo, trong ngoài không phân biệt, nam nữ dâm loạn, cha con hiềm nghi nhau, trên dưới trái ngược nhau, rồi nạn giặc ngày đêm đến xâm lấn việc như thế là gọi là chuyện quái dị của con người. Ba việc ấy xấu đi thì quốc gia không an định vậy. Những việc ấy nói thì rất gần mà tai họa đến rất bi thảm.
韓 子 云 : 古 之 人 目 短 於 自 見 故 以 鏡 觀 面 智 短 於 自 知 故 以 道 正 己 目 失 鏡 則 無 以 正 鬚 眉 身 失 道 則 無 以 知 迷 惑 。	Sách Hàn Tử viết : Người thời xưa mắt không thấy hết thân mình nên họ lấy gương để xem diện mạo. Người trí tuệ kém cũng tự biết nên lấy đạo đức làm chánh chính mình. Mắt không gương soi thì lấy gì sửa râu tóc, bản thân đánh mất đạo đức thì không biết được sự mê hoặc.
論 語 云 : 子 曰 由 汝 聞 六 言 六 蔽 乎 對 曰 未 居 吾 語 汝 好 仁 不 好 學 其 蔽 也 愚 好 智 不 好 學 其 蔽 也 蕩 好 信 不 好 學 其 蔽 也 賊 好 直 不 好 學 其 蔽 也 絞 好 勇 不 好 學 其 蔽 也 亂 好 剛 不 好 學 其 蔽 也 狂 。	Sách Luận Ngữ viết : Đức Khổng-Tử nói : Này trò Do (thầy Tử-Lộ), ngươi đã nghe 6 lời nói và 6 điều che lấp chưa ? Thầy Tử-Lộ đáp : thưa chưa. Hãy ngồi xuống ta sẽ giảng cho ngươi. Thích điều nhân mà không hiếu học là 1 điều che lấp nó làm ta ngu muội. Thích trí huệ mà không hiếu học là 1 điều che lấp nó làm ta phóng đãng. Thích thành tín mà không hiếu học là 1 điều che lấp thì chỉ gây hại thêm. Thích thẳng thắng mà không hiếu học là 1 điều che lấp nó làm ta sỗ sàng. Thích dũng mãnh mà không hiếu học là 1 điều che lấp thì chỉ gây loạn thêm.
韓 詩 外 傳 云 : 孔 子 曰 士 有 五 有 埶 尊 貴 者 有 家 富 厚 者 有 資 勇 悍 者 有 心 智 慧 者 有 貌 美 好 者 埶 尊 貴 不 以 愛 民 行 義 理 而 反 以 暴 傲 家 富 厚 不 以 振 窮 救 不 足 而 反 以 侈 靡 無 度 資 勇 悍 不 以 衛 上 攻 戰 而 反 以 侵 凌 私 鬥 心 智 慧 不 以 端 計 數 而 反 以 事 奸 飾 詐 貌 美 好 不 以 統 朝 蒞 民 而 反 以 蠱 女 從 欲 此 五 者 所 謂 士 失 其 美 質 也 。	Thích cương quyết mà không hiếu học là 1 điều che lấp thì chỉ làm ta ngông cuồng thêm. Sách Hàn Thi Ngoại Truyện viết : Đức Khổng-Tử nói : kẻ sĩ có 5 hình thế : địa vị tôn quý, gia cảnh giàu có, có lòng dũng cảm cứu giúp, tâm có trí huệ, có dung mạo đẹp đẽ. Như thế địa vị tôn quý thì họ không lấy việc yêu dân để hành nghĩa lý mà trái lại lấy ngạo mạn và hung bạo vậy. Thế gia cảnh giàu có thì họ không dễ gì cứu giúp người nghèo mà trái lại sống xa xỉ hoang phí vô độ vậy. Thế dũng cảm cứu giúp người thì họ không chiến đấu bảo vệ bậc trên mà trái lại thích xâm-lăng tranh đấu cá nhân vậy. Thế tâm có trí huệ thì họ không mưu tính kĩ lưỡng mà trái lại làm việc gian trá dối người vậy. Thế có dung mạo đẹp đẽ thì họ không thống lĩnh triều-đình đến với dân chúng mà trái lại mê hoặc nữ giới để thỏa lòng dục vậy. Năm hình thế ấy nói đến kẻ sĩ đã đánh mất đi phẩm chất tốt đẹp.
魏 志 云 : 動 則 三 思 慮 而 後 行 重 慎 出 入 以 往 鑒 來 言 之 若 輕 成 敗 甚 重 。	Sách Ngụy Chí viết : Khi hành động phải suy nghĩ kỹ mà sau làm, thận trọng việc ra vào, lấy chuyện đã qua để xem việc tương lai. Lời nói nếu khinh thường thì việc thành hay bại cũng rất nghiêm trọng.
魏 志 云 : 覽 往 事 之 成 敗 察 將 來 之 吉 凶 未 有 干 名 要 利 欲 而 不 厭 而 能 保 世 持 家 永 全 福 祿 者 也 。	Sách Ngụy Chí viết : Xem việc thành bại đã qua, thì thấy rõ việc tốt xấu của tương lai. Chưa từng có việc người cầu danh trục lợi vì dục vọng không chán mà có thể bảo toàn gia đạo lâu dài và hưởng phúc lộc lâu bền.
鬻 子 云 : 周 公 曰 吾 聞 之 於 政 也 知 善 不 行 者 則 謂 之 狂 知 惡 不 改 者 則 謂 之 惑 夫 狂 與 惑 者 聖 王 之 戒 也 。	Sách Dục Tử viết : Chu-Công nói : Ta nghe việc chính trị biết tốt mà không làm thị gọi là cuồng vọng, biết xấu mà không sửa đổi thì gọi là mê hoặc.
吳 志 云 : 昔 桀 紂 滅 由 妖 婦 幽 厲 亂 在 嬖 妾 先 帝 覽 之 以 為 身 戒 故 左 右 不 置 婬 邪 之 色 後 房 無 曠 積 之 女 。	Thường sự cuồng vọng và mê hoặc bậc thánh-vương nên răn phòng. Sách Ngô Chí viết : Xưa vua Kiệt, vua Trụ bị diệt vì người đàn bà đẹp. Vua Chu U-Vương, vua Chu Lệ-Vương gặp loạn bởi sủng ái tỳ thiếp. Bậc tiên-đế xem rồi lấy đó mà răn phòng bản thân, nên bên trái phải không bày ra nữ sắc dâm tà, chốn hậu-phòng không tích chứa nhiều nữ nhân.
潛 夫 論 云 : 夫 與 死 人 同 病 者 不 可 生 也 與 亡 國 同 行 者 不 可 存 也 豈 虛 言 哉 何 以 知 人 且 病 以 其 不 嗜 食 也 何 以 知 國 之 將 亂 以 其 不 嗜 賢 也 。	Sách Tiềm Phu Luận viết : Đồng bệnh với người chết thì không thể sống, đồng hành vi làm mất nước thì không thể tồn tại. Há là lời hư vô ư ! . Làm sao để biết người sắp bệnh ?, xem sự không ham thích ăn uống của họ vậy. Làm sao để biết đất nước sắp loạn lạc ?, xem việc không ham thích người hiền của họ vậy.
孫 卿 子 云 : 國 得 百 姓 之 力 者 富 得 百 姓 之 死 者 強 得 百 姓 之 譽 者 榮 三 得 者 具 而 天 下 歸 之 三 得 者 亡 而 天 下 去 之	Sách Tôn Khanh Tử viết : Nước có được sức của bách-tính trợ giúp thì giàu, có được sự hi sinh đến chết của bách-tính thì mạnh, có được sự tán dương của bách-tính thì vinh. Đủ ba điều ấy thì người thiên-hạ quy thuận, mất ba điều ấy thì người thiên-hạ bỏ đi.
六 韜 云 : 為 雕 文 刻 鏤 技 巧 華 飾 以 傷 農 事 王 者 必 禁 之 。	Sách Lục Thao viết : Làm đồ điêu khắc hoa văn, trang hoàng vật tinh xảo mỹ lệ gây hại đến việc nông sự, người làm vua ắt sẽ nghiêm cấm.
文 子 云 : 凡 人 之 道 心 欲 小 志 欲 大 智 欲 圓 行 欲 方 能 欲 多 事 欲 少 。	Sách Văn Tử viết : Phàm đạo của con người, lòng muốn thì nhỏ, chí hướng muốn lớn, hiểu biết muốn viên mãn, hành động muốn vuông vắn, năng lực muốn nhiều, việc muốn ít.
晏 子 云 : 溺 者 不 問 隧 迷 者 不 問 路 譬 之 猶 臨 難 而 遽 鑄 兵 噎 而 遽 掘 井 雖 速 亦 無 及 。	Sách Yến Tử viết : Kẻ chết đuối là do không hỏi chổ hiểm yếu, người đi lạc vì không hỏi đường. Thí như việc gặp nạn giặc mà vội đúc binh khí, khát nước mới lo đi đào giếng. Dù nhanh mấy cũng không kịp.
慎 子 云 : 故 舉 重 越 高 者 不 慢 於 藥 愛 赤 子 者 不 慢 於 保 絕 險 歷 遠 者 不 慢 於 御 此 得 助 則 成 釋 助 則 廢 矣 。	Sách Thận Tử viết : Nên mang đồ nặng vượt núi cao thì không không xem thường thuốc bệnh, yêu con trẻ thì không vô lễ bảo mẫu, muốn dứt hết nguy hiểm đi đến nơi xa thì không kiêu ngạo với người cầm cương xe. Đó là được sự trợ giúp thì thành công, bỏ đi sự trợ giúp thì thất bại vậy.
新 語 云 : 聖 人 居 高 處 上 則 以 仁 義 為 巢 乘 危 履 傾 則 以 聖 賢 為 杖 故 高 而 不 墜 危 而 不 仆 。	Sách Tân Ngữ viết : Bậc thánh-nhân ở trên cao thì lấy nhân-nghĩa làm tổ, gặp nguy hiểm gian nan thì lấy người hiền làm gậy. Nên họ ở trên cao mà không rơi, gặp nguy hiểm mà không chết.
鹽 鐵 論 云 : 地 廣 而 不 德 者 國 危 兵 強 而 凌 敵 者 身 亡 虎 兕 相 搏 而 螻 蟻 得 志 兩 敵 相 機 而 匹 夫 乘 閑 是 以 聖 王 見 利 慮 害 見 遠 存 近 。	Sách Diêm Thiết Luận viết : Vua đất rộng mà không có đức thì nước nguy, quân đội hùng mạnh mà phát động xâm lược thì mất thân. Hổ tê-giác đánh nhau mà loài trùng kiến đắc-chí, hai bênh đánh nhau là dịp mà kẻ thất-phu thừa cơ trục lợi. Bởi thế bậc thánh-vương thấy lợi nghĩ đến hại, thấy việc xa mà xem việc gần.
政 要 論 云 : 服 一 綵 則 念 女 功 之 勞 御 一 榖 則 恤 農 夫 之 勤 決 不 聽 之 獄 則 懼 刑 之 不 中 進 一 士 之 爵 則 恐 官 之 失 賢 賞 毫 氂 之 善 必 有 所 勸 罰 纖 芥 之 惡 必 有 所 沮 。	Sách Chính Yếu Luận viết : Mặc một chiếc áo đẹp thì nhớ công người nữ dệt lao nhọc, ăn một hạt gạo thì thương người nông-phu cần khổ, sử vụ án còn khuyết chưa định tội thì lo sợ hình phạt không trúng, tiến cử một kẻ sĩ nhận tước vị thì sợ sệt người hiền mất đi vì chức quan đó, khen thưởng việc tốt nho nhỏ thi ắt phải khuyến khích làm thêm, phạt một tội xấu nhỏ nhặt thì ắt phải răn không cho tái phạm.
淮 南 子 云 : 事 者 難 成 而 易 敗 也 名 者 難 立 而 易 廢 也 千 里 之 堤 以 螻 蟻 之 穴 漏 百 尋 之 屋 以 突 隙 之 煙 焚 。	Sách Hoài Nam Tử viết : Công việc thì khó thành mà dễ thất bại, danh tiếng thì khó dựng mà dễ mất đi. Con đê dài ngàn dặm rò rỉ vì loài dế kiến đụt lỗ, tòa nhà cao trăm tầm(8 thước ta) cháy rụi từ khe hở ống khói.
尚 書 云 : 慎 厥 終 惟 其 始 殖 有 禮 覆 昏 暴 欽 崇 天 道 永 保 天 命 。	Sách Thượng Thư viết : Thận trọng lúc bắt đầu về sau được hoàn hảo, dựng nên những người có lễ độ, lật đổ kẻ mê muội tàn bạo, kính tôn đạo trời để bảo vệ mệnh trời được lâu dài.
尚 書 云 : 無 安 厥 位 惟 危 慎 終 於 始 。	Sách Thượng Thư viết : Không nên cho ngôi vị là an ổn phải nghĩ đến lúc nguy, thận trọng từ đầu đến cuối.
晏 子 云 : 能 長 保 國 者 能 終 善 者 也 諸 侯 並 立 能 終 善 者 為 長 列 士 並 立 能 終 善 者 為 師 。	Sách Yến Tử viết : Người có thể bảo vệ quốc-gia lâu dài thì có thể làm tốt đến chung cuộc. Chư-hầu tương đương nhau có thể làm tốt đến chung cuộc thì làm người đứng đầu.
周 易 云 : 勞 謙 君 子 有 終 吉 。	Bậc liệt-sĩ tương đương nhau có thể làm tốt đến chung cuộc thì làm thầy. Sách Chu Dịch viết : Người quân-tử lao nhọc mà khiêm tốn thì chung cuộc tốt lành.
抱 朴 子 云 : 夫 酒 醴 之 近 味 生 病 之 毒 物 無 豪 鋒 之 細 益 有 丘 山 之 巨 損 。	Sách Bão Phác Tử viết : Rượu nếp mùi vị rất ngon nhưng uống nhiều sinh độc thành bệnh, nó không có một chút lợi ích nhỏ nào mà tổn lại hại lớn như gò núi.
尸 子 云 : 夫 禍 之 始 也 猶 熛 火 蘖 足 也 易 止 也 及 其 措 於 大 事 雖 孔 子 墨 翟 之 賢 夫 能 救 也 。	Sách Thi Tử viết : Tai họa lúc bắt đầu giống như một đớm lửa nhỏ rất dễ ngăn lại, đến khi lan rộng thì thành việc lớn dù đức Khổng-Tử hay Mặc-Địch là bậc hiền cũng chẳng thể cứu được.
周 易 云 : 象 曰 水 在 火 上 既 濟 君 子 以 思 患 而 豫 防 之 。	Sách Chu Dịch viết : (Quẻ Thủy Hỏa Ký Tế) Tượng viết : Nước ở trên lửa là quẻ Ký-Tế. Người quân-tử coi đó nghĩ đến hoạn nạn mà dự phòng.
漢 書 云 : 自 古 及 今 未 有 不 亡 之 國 也 故 常 戰 憟 不 敢 諱 亡 孔 子 所 謂 富 貴 無 常 蓋 謂 此 也 。	Sách Hán Thư viết : Từ xưa đến nay không có nước nào mà không bị diệt vong. Nên thường thấy chiến tranh thì không dám bàn đến việc mất nước. Đức Khổng-Tử nói cái gọi là “giàu sang vô thường”, có lẽ nói về việc đó.
尸 子 云 : 屋 焚 而 人 救 之 則 知 德 之 年 老 者 使 塗 隙 戒 突 故 終 身 無 失 火 之 患 而 不 知 德 也 入 於 囹 圄 解 於 患 難 者 則 三 族 德 之 教 之 以 仁 義 慈 悌 則 終 身 無 患 而 莫 之 德 夫 禍 亦 有 突 賢 者 行 天 下 而 務 塞 之 則 天 下 無 兵 患 矣 而 莫 之 知 德 也 故 曰 聖 人 治 於 神 愚 人 爭 於 神 也 。	Sách Thi Tử viết : Người giúp chữa cháy thì biết ơn đức, chứ bậc lão-niên khuyên dời củi lửa thì suốt đời không gặp nạn hỏa hoạn thì không biết ân đức. Rơi vào cảnh tù tội được người giải cứu khỏi nạn thì ba họ nhớ ân đức, chứ có người dạy lấy nhân-nghĩa từ-ái hiếu-đễ để suốt đời không gặp tai họa thì cho là không có ân đức. Tai họa cũng như việc “củi lửa” là việc mà bậc hiền-nhân làm ở thiên-hạ lo khơi thông bế tắc để thiên-hạ sẽ không còn nạn đao binh thế mà chẳng ai biết ân đức. Nên nói thánh-nhân trị như thần, kẻ ngu tranh như thần.
管 子 云 : 城 郭 溝 渠 不 足 以 固 守 兵 甲 勇 力 不 足 以 應 敵 博 地 多 財 不 足 以 有 眾 唯 有 道 者 能 備 患 於 未 形 也 。	Sách Quản Tử viết : Thành quách và hào nước thì không đủ để phòng thủ vững. Quân đội dũng mãnh và khí giáp tốt thì không đủ để ứng chiến với kẻ địch. Đất rộng và tài vật nhiều thì không đủ để có được đại chúng. Chỉ người hiểu đạo lý thì có thể phòng tai họa khi chúng chưa thành hình vậy.
崔 寔 政 論 云 : 年 榖 豐 稔 風 俗 未 乂 夫 風 俗 者 國 之 脈 診 也 不 和 誠 未 足 為 休 書 曰 雖 休 勿 休 況 不 休 而 可 休 乎 。	Sách Thôi Thực Chính Luận viết : Ngũ cốc hàng năm được mùa, phong tục chưa hẳn yên định. Phong tục ví như mạch máu của đất nước nếu như không thật hòa thì chưa đủ xem là tốt lành.
淮 南 子 云 : 世 治 則 小 人 守 正 而 利 不 能 誘 也 世 亂 則 君 子 為 姦 而 刑 不 能 禁 也 。	Sách Hoài Nam Tử viết : Thời thế thịnh trị kẻ tiểu-nhân giữ chánh đạo dù lợi lộc cũng không thể dụ được họ. Thời thế loạn lạc thì người quân-tử làm việc gian tà dù hình phạt cũng không thể cấm được họ.
管 子 云 : 商 賈 在 朝 則 貨 財 上 流 婦 言 人 事 則 賞 罰 不 信 男 女 無 別 則 民 無 廉 恥 而 求 百 姓 之 安 兵 士 之 死 節 不 可 得 也 。	Sách Quản Tử viết : Thương-nhân ở triều đình thì việc hối lộ dẫn lên trên, phụ nữ nói việc người thì sự thưởng phạt không được tín nhiệm, nam nữ không phân biệt thì người không biết liêm sỉ thế mà mong dân chúng an ổn, binh sĩ hi sinh vì đất nước thì thật không thể được vậy.
昌 言 云 : 廉 隅 貞 潔 者 德 之 令 也 流 逸 奔 隨 著 行 之 污 也 風 有 所 從 來 俗 有 所 由 起 疾 其 末 者 刈 其 本 惡 其 流 者 塞 其 源 夫 男 女 之 際 明 別 其 外 內 遠 絕 其 聲 音 激 厲 其 廉 恥 塗 塞 其 虧 隙 由 尚 有 胸 心 之 逸 念 睇 盻 之 過 視 而 況 開 其 門 導 其 徑 者 乎 。	Sách Xương Ngôn viết : Biết phân biệt phải trái, ngay thẳng trong sạch là những đức hạnh tốt đẹp. Phóng túng vô độ, tùy tiện qua loa là những hành vi ô uế. Thói quen có chổ theo đến, tập tục có nguyên do phát sinh. Ghét cành nhọn thì cắt bỏ gốc rễ, ghét dòng nước chảy thì lấp nguồn nước đi. Việc nam nữ xác định rõ trong ngoài, xa rời nói chuyện là để khích lệ sự liêm sĩ, lấp bế tắc của các việc còn thiếu sót, tôn trọng điều ấy mà trong lòng còn có những ý niệm phóng túng, còn liếc nhìn những hành vi sai trái mà huống hồ mở ra cánh cửa để dẫn đường tắt thì ra sao ?
老 子 云 : 天 下 多 忌 諱 而 民 彌 貧 民 多 利 器 國 家 滋 昏 人 多 伎 巧 奇 物 滋 起 法 物 滋 彰 盜 賊 多 有 。	Sách Lão Tử viết : Thiên-hạ nhiều kiêng kị, thì dân chúng càng nghèo. Nhân dân nhiều lợi-khí, nước nhà càng tối tăm. Người người nhiều tài khéo, vật lạ càng nảy sinh. Pháp lệnh càng rõ rệt, trộm cướp càng sinh nhiều.
崔 寔 政 論 云 : 今 使 列 肆 賣 侈 功 商 賈 鬻 僭 服 百 工 作 淫 器 民 見 可 欲 不 能 不 買 賈 人 之 列 戶 蹈 踰 侈 矣 故 王 政 一 傾 普 天 率 土 莫 不 奢 僭 者 非 家 至 人 告 乃 時 勢 驅 之 使 然 此 則 天 下 之 患 一 也 。	Sách Thôi Thực Chính Luận viết : Ngày nay giả sử hàng quán bán các mặt hàng xa xỉ, thương nhân bán trang phục giả, các thợ thủ công làm ra vật dụng bừa bãi thì khi dân thấy liền khởi lòng tham khiến họ không thể không mua, người bán liền bài ra các mặt hàng hết sức xa xỉ. Nên luật pháp đất nước một khi nghiêng đổ thì khắp gằm trời dưới đất không ai mà không lấn lướt xa xỉ, việc đó chẳng phải đến từng nhà tuyên truyền, chỉ vì thời thế mà khiến họ bị như vậy. Đó là một vấn nạn của thiên-hạ.
漢 書 云 : 今 背 本 而 趨 末 食 者 甚 眾 是 天 下 之 大 殘 也 淫 侈 之 俗 日 日 以 長 是 天 下 之 大 賊 也 。	Sách Hán Thư viết : Ngày nay bỏ gốc (nông nghiệp) mà theo ngọn (công thương nghiệp) để lo cho rất nhiều người ăn đó là mối họa lớn của thiên-hạ. Thói lãng phí vô độ ngày ngày tăng trưởng đó là cái hại lớn của thiên-hạ.
新 語 云 : 君 子 之 御 下 也 民 奢 應 之 以 儉 驕 淫 者 統 之 以 理 未 有 上 仁 而 下 賊 讓 行 而 爭 路 者 也 故 孔 子 曰 移 風 易 俗 豈 家 令 人 視 之 哉 亦 取 之 於 身 而 已 矣 。	Sách Tân Ngữ viết : Người quân-tử đến với người dưới, nếu người sống xa xỉ thì lấy tiết kiệm ứng lại, sống kiêu ngạo phóng túng thì lấy đạo lý để thống nhất. Chưa có chuyện trên nhân từ mà dưới gian tà và chuyện trên có hạnh khiêm nhượng mà dưới tranh giành. Nên đức Khổng-Tử nói : “ Thay đổi phong tục “. Há là ra lệnh đến từng nhà xem ư !, chỉ cần (người quân-tử) giữ lấy mình mà thôi vậy.
傅 子 云 : 上 好 德 則 下 修 行 上 好 言 則 下 飾 辯 修 行 則 仁 義 興 焉 飾 辯 則 大 偽 起 焉 此 必 然 之 徵 也 德 者 難 成 而 難 見 者 也 言 者 易 撰 而 易 悅 者 也 先 王 知 言 之 易 而 悅 之 者 眾 故 不 尚 焉 。	Sách Phó Tử viết : Trên ham đức thì dưới tu dưỡng đức hạnh, trên ham nói thì dưới ra sức nói nhiều. Tu dưỡng đức hạnh thì nhân-nghĩa hưng lên vậy, ra sức nói nhiều thì việc gian dối lớn khởi lên, đó là việc hiển nhiên thấy được. Người đạo đức tu dưỡng khó thành và khó thấy, người nói nhiều dễ tuyển chọn và dễ làm vui lòng. Bậc tiên-vương biết kẻ ăn nói dễ dàng sẽ khiến người vui thích nên không coi trọng.
傅 子 云 : 古 者 民 樸 而 化 淳 上 少 欲 而 尟 偽 依 足 以 暖 身 食 足 以 充 口 器 足 以 給 用 居 足 以 避 風 雨 養 以 大 道 而 民 樂 其 生 敦 以 大 質 而 下 無 逸 心 日 中 為 市 民 交 易 而 退 各 得 其 所 蓋 化 淳 也 。	Sách Phó Tử viết : Thời xưa người dân chất phát mà phong hóa thuần hậu, trên thiểu-dục mà ít gian dối. Quần áo đủ để ấm thân, ăn đủ để no miệng, dụng cụ đủ để dùng, nơi ở đủ để che mưa gió. Tu dưỡng lấy đạo lớn mà dân an vui sinh sống, khích lệ sự chất phát rộng ra mà dưới không có tâm phóng dật. Trong ngày đi chợ, dân mua bán rồi về, mọi người đều có thứ cần dùng, đại khái đó là phong hóa thuần hậu vậy.
國 語 云 : 文 公 問 於 郭 偃 曰 始 也 吾 以 國 為 易 今 也 難 對 曰 君 以 為 易 其 難 也 將 至 矣 君 以 為 難 其 易 也 將 至 矣 。	Sách Quốc Ngữ viết : (Tấn) Văn-Công hỏi Quách-Yển rằng : “ Hồi trước ta thấy chuyện trị lý đất nước dễ còn nay thì khó.” Quách-Yển đáp : thưa vua cho là dễ thì khó đến liền vậy, còn vua cho là khó thì dễ đến liền vậy.
尚 書 云 : 大 禹 曰 后 克 艱 厥 后 臣 克 艱 厥 臣 政 乃 乂 黎 民 敏 德 。	Sách Thượng Thư viết : Đại-Vũ tâu (vua Thuấn) rằng : làm vua biết đạo làm vua là rất khó, làm bề tôi biết đạo làm bề tôi là khó. Như biết được rồi thì việc chính sự sẽ an định, nhân dân sẽ có những đức hạnh tốt.
呂 氏 春 秋 云 : 義 也 者 萬 事 之 紀 也 君 臣 上 下 親 疏 之 所 由 起 也 治 亂 安 危 之 所 在 也 勿 求 於 他 必 反 人 情 。	Sách Lã Thị Xuân Thu viết : Nghĩa là kỷ cương của mọi việc, vua tôi, trên dưới, xa gần đều vì đó mà khởi lên, thịnh trị hay loạn lạc, an ổn hay nguy hiểm đều tại đó vậy. Chớ mong cầu ở người khác việc đó ắt trái nhân-tình.
