第 一 篇 君 道	THIÊN THỨ 1 : QUÂN ĐẠO
中 論 云 : 夫 聞 過 而 不 改 謂 之 喪 心 思 過 而 不 改 謂 之 失 體 失 體 喪 心 之 人 禍 亂 之 所 及 也 君 。 子 舍	Sách Trung Luận viết : Khi nghe lỗi mà chẳng sửa đổi thì gọi là táng-tâm, nghĩ tới lỗi mà chẳng sửa đổi thì gọi là thất-thể. Người bị thất-thể và táng-tâm thì họa loạn sẽ tìm đến.
尚 書 云 : 立 愛 惟 親 立 敬 惟 長 始 于 家 邦 終 于 四 海 。	Sách Thượng Thư viết : Gây dựng lòng yêu thương nơi cha mẹ, gây dựng sự cung kính nơi bậc lớn.
禮 記 云 : 是 故 人 道 親 親 親 親 故 尊 祖 尊 祖 故 敬 宗 敬 宗 故 收 族 收 族 故 宗 廟 嚴 宗 廟 嚴 故 重 社 稷 重 社 稷 故 愛 百 姓 愛 百 姓 故 刑 罰 中 刑 罰 中 故 庶 民 安 庶 民 安 故 財 用 足 財 用 足 故 百 志 成 百 志 成 故 禮 俗 刑 禮 俗 刑 然 後 樂 詩 云 不 顯 不 承 無 斁 於 人 斯 此 之 謂 也 。	Sách Lễ Ký viết : Thế nên đạo-người là yêu cha-mẹ mình, yêu cha-mẹ mình nên mới tôn kính tổ-tiên, tôn kính tổ-tiên nên kính trọng dòng-họ, kính trọng dòng-họ nên mới thu-tộc (trên dưới ăn ở theo phép), thu-tộc rồi nên tông-miếu trang nghiêm, tông-miếu trang nghiêm nên biết quý trọng xã-tắc (đất nước), quý trọng xã-tắc nên yêu thương bách-tính (dân chúng), yêu thương bách-tính nên hình phạt đúng, hình phạt đúng nên lòng thứ-dân an, lòng thứ-dân an nên của cải đủ dùng, của cải đủ dùng nên mọi chí hướng điều thành, mọi chí hướng thành nên lễ tục thành hình, lễ tục thành hình mà sau (đất nước) được yên ổn.
漢 書 云 : 夏 為 天 子 十 有 餘 世 殷 為 天 子 二 十 餘 世 周 為 天 子 三 十 餘 世 秦 為 天 子 二 世 而 亡 人 性 不 甚 相 遠 也 何 三 代 之 君 有 道 之 長 而 秦 無 道 之 暴 也 其 故 可 知 也 古 之 王 者 太 子 迺 生 固 舉 以 禮 使 士 負 之 有 司 齊 肅 端 冕 見 于 天 也 過 闕 則 下 過 廟 則 趍 孝 子 之 道 也 故 自 為 赤 子 而 教 固 已 行 矣 。	Kinh Thi viết : “ (Đức của vua Văn-vương) chẳng rõ rệt chẳng vâng theo (sao ?), cái đức ấy không bị người chán ghét.” Điều ở trên đã nói lên vậy. Sách Hán Thư viết : Nhà Hạ ở ngôi thiên-tử được hơn 10 đời (vua), nhà Ân ở ngôi thiên-tử được hơn 20 đời, nhà Chu ở ngôi thiên-tử được hơn 30 đời, nhà Tần ở ngôi ở ngôi thiên-tử được 2 đời (vua) rồi diệt vong.
禮 記 云 : 凡 三 王 教 世 子 必 以 禮 樂 樂 所 以 脩 內 也 禮 所 以 修 外 也 禮 樂 交 錯 於 中 發 形 於 外 。	Sách Lễ Ký viết : Nói chung ba đời vua (Hạ, Thương, Chu) dạy thế-tử ắt lấy lễ-nhạc. (Dạy) Nhạc là để tu dưỡng bên trong, (dạy) lễ là để tu dưỡng bên ngoài.
左 傳 云 : 石 碏 諫 曰 臣 聞 愛 子 教 之 以 義 方 弗 納 于 邪 驕 奢 淫 泆 所 自 邪 也 四 者 之 來 寵 祿 過 也 。	Lễ-nhạc đã hòa lẫn vào trong, thì biểu hiện ra ngoài hình tướng. Sách Tả Truyện viết : Quan đại phu Thạch-Thác can gián (vua nước Vệ) rằng : bề tôi nghe yêu thương con thì phải dạy nghĩa lý, không cho chúng tiếp thu những tật xấu.
魏 志 云 : 袞 病 困 令 世 子 曰 汝 幼 少 未 聞 義 方 早 為 人 君 但 知 樂 不 知 苦 必 將 以 驕 奢 為 失 也 接 大 臣 務 以 禮 雖 非 大 臣 老 者 猶 宜 答 拜 事 兄 以 敬 恤 弟 以 慈 兄 弟 有 不 良 之 行 當 造 膝 諫 之 諫 之 不 從 流 涕 喻 之 喻 之 不 改 乃 白 其 母 若 猶 不 改 當 以 奏 聞 並 辭 國 土 與 其 守 寵 罹 禍 不 若 貧 賤 全 身 也 此 亦 謂 大 罪 惡 耳 其 微 過 細 愆 故 當 奄 覆 之 嗟 乎 小 子 慎 脩 乃 身 奉 聖 朝 以 忠 貞 事 太 妃 以 孝 敬 閨 闈 之 內 奉 令 於 太 妃 閫 閾 之 外 受 教 於 沛 王 無 怠 乃 心 以 慰 余 靈 。	Phụng mệnh thánh-chỉ của triều-đình phải tận hết lòng trung-trinh, phụng sự cho Thái-Phi phải tận hết lòng hiếu-kính, việc trong cửa cung vâng theo lệnh của Thái-Phi, còn việc bên ngoài cửa cung thì nhận sự dạy bảo từ Bái-Vương, không được để lòng chểnh mảng, lấy điều ấy mà an ủi lình hồn ta.
毛 詩 云 : 關 關 雎 鳩 在 河 之 洲 窈 窕 淑 女 君 子 好 仇 。	Sách Mao Thi (Kinh Thi bài Quan-Thư) viết : Thư-Cưu kiêu quan quan, ở tại bãi sông xa.
賈 子 云 : 君 能 為 善 則 吏 必 能 為 善 矣 吏 能 為 善 則 民 必 能 為 善 矣 故 民 之 不 善 吏 之 罪 也 吏 之 不 善 君 之 過 也 嗚 呼 戒 之 戒 之 。	Sách Giả Tử viết : Vua có thể làm tốt, thì quan-lại ắt có thể làm tốt, quan-lại có thể làm tốt, thì dân chúng ắt có thể làm tốt. Nên dân không tốt là tội của quan-lại, quan-lại không tốt là lỗi của vua.
孔 子 家 語 云 : 愛 人 者 則 人 愛 之 惡 人 者 則 人 惡 之 知 得 之 己 者 則 知 得 之 人 所 謂 不 出 環 堵 之 室 而 知 天 下 者 知 反 己 之 謂 也 。	Sở dĩ không ra khỏi tường rào nhà mà biết được việc thiên-hạ, là vì biết phản tỉnh chính mình mà được vậy.
傅 子 云 : 古 之 大 君 子 修 身 治 人 先 正 其 心 自 得 而 已 矣 能 自 得 則 無 不 得 矣 茍 自 失 則 無 不 失 矣 無 不 得 者 治 天 下 有 餘 故 否 則 保 身 居 正 終 年 不 失 其 和 達 則 兼 善 天 下 物 無 不 得 其 所 無 不 失 者 營 妻 子 不 足 故 否 則 是 己 非 人 而 禍 逮 乎 其 身 達 則 縱 情 用 物 而 殃 及 乎 天 下 。	Sách Phó Tử viết : Bậc đại quân-tử thời xưa khi sửa mình, trị người, thì trước làm lòng dạ ngay thẳng mà sau đạt đạo mà thôi. Có thể đạt đạo thì không gì chẳng đạt được vậy.
韓 詩 外 傳 云 : 原 天 命 治 心 術 理 好 惡 適 情 性 而 治 道 畢 矣 原 天 命 則 不 惑 禍 福 不 惑 禍 福 則 動 靜 脩 理 矣 治 心 術 則 不 妄 喜 怒 不 妄 喜 怒 則 賞 罰 不 阿 矣 理 好 惡 則 不 貪 無 用 不 貪 無 用 則 不 以 物 害 性 矣 適 情 性 則 欲 不 過 節 欲 不 過 節 則 養 性 知 足 矣 四 者 不 求 於 外 不 假 於 人 反 諸 己 而 已 。	Cái đạo của việc sửa trị bản tính, ắt phải xét rõ mình để biết những chổ dư thừa, rồi biết ra sức bù vào chổ còn thiếu.
漢 書 云 : 傳 曰 審 好 惡 理 情 性 而 王 道 畢 矣 能 盡 其 性 然 後 能 盡 人 物 之 性 能 盡 人 物 之 性 可 以 贊 天 地 之 化 治 性 之 道 必 審 己 之 所 有 餘 而 強 其 所 不 足 蓋 聰 明 疏 通 者 戒 於 大 察 寡 聞 少 見 者 戒 於 雍 蔽 勇 猛 剛 強 者 戒 於 大 暴 仁 愛 溫 良 者 戒 於 無 斷 湛 靜 安 舒 者 戒 於 後 時 廣 心 浩 大 者 戒 於 遺 忘 必 審 己 之 所 當 戒 而 齊 之 以 義 然 後 中 和 之 化 應 而 巧 偽 之 徒 不 敢 比 周 而 望 進 。	Như thông-minh sáng suốt phải ngừa xét nét chuyện lớn, nghe biết ít ỏi phải ngừa che lấp sự bế tắc, dũng mãnh kiên cường phải ngừa sự bạo ngược quá đáng, nhân ái hiền lành phải ngừa sự không quyết đoán, trầm tĩnh thư thái phải ngừa sự bỏ lỡ thời cơ sau này, tâm lượng rộng lớn phải ngừa sự quên mất việc. Ắt hẳn phải xét rõ mình để ngăn lại, sửa mình theo điều nghĩa sau ứng hóa theo đạo trung hòa, thì những kẻ xảo trá chẳng dám lộng hành và không dám mơ đến nữa.
尸 子 云 : 孔 子 曰 君 子 者 盂 也 民 者 水 也 盂 方 則 水 方 盂 圓 則 水 圓 上 何 好 而 民 不 從 。	Bát hình vuông thì nước vuông, bát hình tròn thì nước tròn.
淮 南 子 云 : 上 求 材 臣 殘 木 上 求 魚 臣 乾 谷 上 求 楫 而 下 致 船 上 言 若 下 言 若 綸 上 有 一 善 下 有 二 譽 上 有 三 衰 下 有 九 殺 。	Trên thích gì ? mà dân chẳng làm theo. Sách Hoài Nam Tử viết : Bậc trên tham gỗ, bề tôi hủy hoại cây cối.
魏 志 云 : 語 曰 世 有 亂 人 而 無 亂 法 若 使 法 可 專 任 則 唐 虞 可 不 須 稷 契 之 佐 殷 周 無 貴 伊 呂 之 輔 矣 。	Sách Ngụy Chí viết : Tục ngữ nói : “ Đời có người làm loạn, mà pháp luật không loạn “. Như lấy luật pháp sử dụng có thể dụng được thì thời Đường, Ngu có thể không cần đến sự giúp đỡ của ông Tắc, ông Tiết, nhà Ân, nhà Chu không quý trọng sự phụ giúp của ông Y-Doãn, ông Lã-Thượng rồi.
尸 子 云 : 凡 治 之 道 莫 如 因 智 智 之 道 莫 如 因 賢 譬 之 猶 相 馬 而 借 伯 樂 也 相 玉 而 借 猗 頓 也 亦 必 不 過 矣 。	Thí dụ như việc nhận biết ngựa thì phải nhờ đến ông Bá-Nhạc, nhận biết ngọc thạch thì phải nhờ đến ông Y-Đốn, thế thì ắt không sai lầm vậy.
呂 氏 春 秋 云 : 絕 江 者 託 於 船 致 遠 者 託 於 驥 霸 王 者 託 於 賢 。	Sách Lã Thị Xuân Thu viết : Qua sông dựa vào thuyền, đi xa dựa vào ngựa-ký, còn làm bá-vương thì dựa vào người hiền.
韓 詩 外 傳 云 : 夫 鳥 獸 魚 猶 知 假 而 況 萬 乘 之 主 乎 而 獨 不 知 比 假 天 下 之 英 雄 俊 士 與 之 為 伍 則 豈 不 痛 哉 故 曰 以 明 扶 明 則 升 于 天 以 明 扶 闇 則 歸 其 人 兩 瞽 相 扶 不 觸 牆 木 不 陷 井 阱 則 其 幸 也 。	Nên nói : lấy người mắt sáng giúp kẻ mắt sáng thì thăng hoa lên trời, lấy người mắt sáng giúp kẻ mắt mờ thì giúp nhau quay về (đường tốt), cả hai mắt đều mù giúp nhau không va vào tường hay cây cối, không rớt xuống giếng hay hố bẫy thì may mắn lắm rồi.
管 子 云 : 聞 賢 而 不 舉 殆 也 聞 善 而 不 索 殆 也 見 能 而 不 使 殆 也 親 仁 而 不 固 殆 也 同 謀 而 不 離 殆 也 。	Sách Quản Tử viết : Nghe lời người hiền mà không cất nhắc thì nguy hiểm, nghe lời tốt lành mà không tìm hiểu thì nguy khốn, thấy có thể mà không sử dụng thì mỏi mệt, gần người nhân mà không kiên trì thì nguy ngập, cùng mưu sự mà không tuân theo thì không yên.
中 論 云 : 孫 子 曰 人 主 之 患 不 在 於 言 不 用 賢 而 在 於 誠 不 用 賢 言 用 賢 者 口 也 卻 賢 者 行 也 口 行 反 而 欲 賢 者 之 進 不 肖 之 退 不 亦 難 乎 善 哉 言 也 。	Miệng thì nói việc làm thì trái lại, vậy mà muốn người hiền tiến đến, kẻ ngu thoái lui chẳng phải lại khó khăn sao ?, lời nói hay lắm vậy.
鶡 冠 子 云 : 帝 者 與 師 處 王 者 與 交 處 亡 主 與 役 處 。	Sách Hạt Quan Tử viết : Bậc đế ở cùng với thầy (giỏi), bậc vương ở cùng với bạn (hiền), kẻ mất nước ở cùng người hầu (nịnh hót).
三 略 云 : 治 國 安 家 得 人 者 也 亡 國 破 家 失 人 者 也 是 以 明 君 賢 臣 屈 己 而 申 人 。	Sách Tam Lược viết : Nước trị, nhà an là tại có được lòng người ; Nước mất, nhà tan là tại mất lòng người . Nên vua sáng, bề tôi hiền dẫu mình có thiệt thòi cũng phải mở rộng tấm lòng với người.
漢 書 云 : 賢 人 在 上 位 則 引 其 類 而 聚 之 朝 在 下 位 則 思 與 其 類 俱 進 故 湯 用 伊 尹 不 仁 者 遠 而 眾 賢 至 類 相 致 也 。	Nên vua Thang trọng dụng ông Y-Doãn làm những kẻ bất-nhân tránh xa, và thu hút những người hiền cúng chí hướng đến giúp.
尸 子 云 : 鄭 簡 公 謂 子 產 曰 飲 酒 之 不 樂 鐘 鼓 之 不 鳴 寡 人 之 任 也 國 家 之 不 入 朝 廷 之 不 治 與 諸 侯 交 之 不 得 志 子 之 任 也 子 產 治 鄭 國 無 盜 賊 道 無 餓 人 孔 子 曰 若 鄭 簡 公 之 好 樂 雖 抱 鐘 而 朝 可 也 夫 用 賢 身 樂 而 名 附 事 少 而 功 多 國 治 而 能 逸 。	Sách Thi Tử viết : Vua Trịnh-Giản-Công nói với ông Tử-Sản rằng : “uống rượu không nhạc, chuông trống không kêu, đó là trách nhiệm của quả-nhân. Quốc gia không có thu nhập, triều-đình không trị được, cùng nước chư-hầu kết giao mà không thỏa chí, đó là trách nhiệm của thầy vậy.” Tử-Sản trị nước Trịnh không có nạn trộm cướp, đường xá không kẻ đói. Đức Khổng Tử nói : “ Nếu vua Trịnh-Giản-Công thích nhạc thế này dù ôm hết chuông vào triều-đình cũng được.” Dùng người hiền, thân thể an lạc mà danh tiếng càng thêm, ít việc mà nhiều thành công, nước trị mà có thể nhãn rỗi.
呂 氏 春 秋 云 : 至 忠 逆 於 耳 倒 於 心 非 賢 主 其 孰 能 聽 之 故 賢 主 之 所 說 不 肖 主 之 所 誅 也 今 有 樹 於 此 而 欲 其 美 也 人 時 灌 之 則 惡 之 而 日 伐 其 根 則 必 無 活 樹 矣 夫 惡 聞 忠 言 自 伐 之 精 者 也 。	Nay ghét những lời nói thật lòng thì cũng như tự chặt (rễ cây) cho hết sạch vậy.
淮 南 子 云 : 夫 明 主 之 聽 於 群 臣 其 計 可 用 也 不 羞 其 位 其 言 可 行 也 不 責 其 辯 闇 主 則 不 然 信 所 愛 習 親 近 者 雖 邪 枉 不 正 不 能 見 也 疏 遠 卑 賤 者 雖 竭 力 盡 忠 不 能 知 也 有 言 者 窮 之 以 辭 有 諫 者 誅 之 以 罪 如 此 而 欲 炤 海 內 存 萬 方 是 猶 塞 耳 而 聽 清 濁 掩 目 而 視 青 黃 也 其 離 聰 明 亦 遠 矣 。	Sách Hoài Nam Tư viết : Vua sáng nghe được kế sách có thể dùng của quần-thần, thì không xấu hổ vì chức vị khi tiếp nhận kế sách có thể thi hành ấy và không biện bác ngược lại. Vua ngu muội thì không như vậy, tin những kẻ mình yêu thích hay thân cận, dẫu kẻ tà ác, bất chánh, thì cũng không thể thấy biết được.
漢 書 云 : 明 主 垂 寬 容 之 聽 崇 諫 爭 之 官 廣 開 忠 直 之 路 不 罪 狂 狷 之 言 然 後 百 僚 在 位 竭 忠 盡 謀 不 懼 後 患 朝 廷 無 諂 諛 之 士 元 首 無 失 道 之 愆 。	Nên dân có miệng cũng như việc trên đất có núi sông, tài vật cũng từ đó mà ra, như việc có cánh đồng ẩm ướt nước chảy tràn tươi tốt, quần áo, thức ăn cũng từ đó mà sinh ra.
史 記 云 : 防 民 之 口 甚 於 防 水 水 壅 而 潰 傷 人 必 多 民 亦 如 之 是 故 為 水 者 決 之 使 導 為 民 者 宣 之 使 言 故 民 之 有 口 猶 土 之 有 山 川 也 財 用 於 是 乎 出 猶 其 有 原 隰 衍 沃 也 衣 食 於 是 乎 生 口 之 宣 言 也 善 敗 於 是 乎 興 夫 民 慮 之 心 而 宣 之 口 成 而 行 之 若 壅 其 口 其 與 能 幾 何 。	Cái miệng mà có thể bày tỏ lời nói, thì cái tốt, cái bại cũng từ đó mà hưng khởi. Khi người dân nói ra những lo âu trong lòng rồi bày tỏ ra miệng khi thành rồi thì động loạn.
左 傳 云 : 夫 子 語 我 九 言 曰 無 始 亂 無 怙 富 無 恃 寵 無 違 同 無 敖 禮 無 驕 能 無 復 怒 無 謀 非 德 無 犯 非 義 。	Sách Tả Truyện viết : Thầy nói với ta 9 điều rằng : 1.Không khởi đầu loạn, 2.Không cậy giàu, 3.Không nhờ vào ân sủng, 4.Không trái ý chung, 5.Không cợt nhã lễ, 6.Không vì tài mà kiêu mạng, 7.Không giận nhiều lần, 8.Không mưu tính việc phi-đức, 9.Không phạm điều phi-nghĩa.
周 易 云 : 否 彖 曰 天 地 不 交 而 萬 物 不 通 上 下 不 交 而 天 下 無 邦 也 內 陰 而 外 陽 內 柔 而 外 剛 內 小 人 而 外 君 子 小 人 道 長 君 子 道 消 也 。	Trong âm mà ngoài dương, trong nhu mà ngoài cương, trong tiểu-nhân mà ngoài là quân-tử, đạo của tiểu-nhân sinh trưởng, đạo của quân-tử tiêu mất vậy.
尚 書 云 : 僕 臣 正 厥 后 克 正 僕 臣 諛 厥 后 自 聖 后 德 惟 臣 弗 德 惟 臣 爾 無 昵 于 憸 人 充 耳 目 之 官 迪 上 以 非 先 王 之 典 。	Sách Thượng Thư viết : Tôi tớ chánh, vua sẽ chánh. Tôi tớ nịnh hót, vua tự cho mình là thánh trí.
後 漢 書 云 : 臣 聞 天 下 之 禍 不 由 於 外 皆 興 於 內 是 故 虞 舜 升 朝 先 除 四 凶 然 後 用 十 六 相 明 惡 人 不 去 則 善 人 無 由 進 也 。	Sách Doãn Văn Tử viết : Người thế tục nghe khen ngợi thì vui thích, nghe hủy báng thì buồn rầu, đó là lẽ thường tình lớn của người trong đại chúng.
管 子 云 : 方 正 之 臣 得 用 則 姦 邪 之 臣 困 傷 矣 是 方 正 之 與 姦 邪 不 兩 進 之 勢 也 姦 邪 之 在 主 之 側 者 不 能 勿 惡 之 惟 惡 之 則 必 侯 主 間 而 日 夜 危 之 人 主 弗 察 而 用 其 言 則 忠 臣 無 罪 而 困 死 姦 臣 無 功 而 富 貴 故 曰 忠 臣 死 於 非 罪 而 邪 臣 起 於 非 功 。	Giống với mình thì vui mừng, khác với mình thì tức giận đó cũng là lẽ thường tình lớn của người. Nên kẻ nịnh hót khéo hay khen ngợi, khéo thuận theo, người nói đúng lại cũng cho là đúng, người nói không lại cũng cho là không, vâng theo điều người thích, tùy thuận điều người ghét.
尹 文 子 云 : 世 俗 之 人 聞 譽 則 悅 聞 毀 則 戚 此 眾 人 之 大 情 有 同 己 則 喜 異 己 則 怒 此 人 之 大 情 故 佞 人 善 為 譽 者 也 善 順 從 者 也 人 言 是 亦 是 之 人 言 非 亦 非 之 從 人 之 所 愛 隨 人 之 所 憎 故 明 君 雖 能 納 正 直 未 必 親 正 直 雖 能 遠 佞 人 未 必 疏 佞 人 故 舜 禹 者 以 能 不 用 佞 人 亦 未 必 憎 佞 人 語 曰 佞 辨 惑 物 舜 禹 不 能 得 憎 不 可 不 察 乎 。	Kế đến là hạng người lòng không muốn làm việc nhân-nghĩa, nói lại tán dương ắt lại khen ngợi, phẩm hạnh không lớn có thể sai trái, hành động chẳng lìa thế tục, phù hợp với dục vọng của chủ thì chẳng dám sửa lại, như có kẻ hại (mình) thì liền ra sức hãm hại.
傅 子 云 : 或 問 佞 孰 為 大 傅 子 曰 行 足 以 服 俗 辨 足 以 惑 眾 言 必 稱 乎 仁 義 隱 其 惡 心 而 不 可 卒 見 伺 主 之 欲 微 合 之 得 其 志 敢 以 非 道 陷 善 人 稱 之 有 術 飾 之 有 利 非 聖 人 不 能 別 此 大 佞 也 其 次 心 不 欲 為 仁 義 言 亦 必 稱 之 行 無 大 可 非 動 不 違 乎 俗 合 主 所 欲 而 不 敢 正 也 有 害 之 者 然 後 陷 之 最 下 佞 者 行 不 顧 乎 天 下 唯 求 主 心 使 文 巧 辭 自 利 而 已 顯 然 害 善 行 之 不 怍 。	Kẻ nịnh hót dưới chót, làm việc thì chẳng đoái hoài gì đến thiên-hạ, chỉ mong cầu vừa lòng của chủ, dùng lời nói văn vẻ xảo trá để làm lợi cho mình mà thôi, hiển-nhiên hại người tốt làm việc chẳng biết xấu hổ. Sách Thuyết Uyển viết : Vua Tề-Hoàn-Công hỏi ông Quản-Trọng rằng : mối hại của đất nước là gì ?
管 子 云 : 聖 人 擇 可 言 而 後 言 擇 可 行 而 後 行 偷 得 利 而 後 有 害 偷 得 樂 而 後 有 憂 者 聖 人 不 為 也 故 聖 人 擇 言 必 顧 其 累 擇 行 必 顧 其 憂 。	Sách Quản Tử viết : Bậc thánh-nhân lựa lời có thể nói mà sau nói, chọn việc có thể làm mà sau làm. Trộm cắp được lợi mà sau có hại, vụng trộm được vui sướng mà sau có lo âu, thì thánh-nhân chẳng làm vậy.
管 子 云 : 上 下 離 而 不 和 故 雖 自 安 必 且 危 之 故 曰 上 下 不 和 雖 安 必 危 。	Sách Quản Tử viết : Trên dưới xa cách đến bất hòa, cho dù là an ổn ắt sắp nguy vong, do đó nói : “trên dưới bất hòa dù an ổn ắt sẽ nguy vong”.
中 論 云 : 今 不 務 明 其 義 而 徒 設 其 祿 可 以 獲 小 人 難 以 得 君 子 君 子 者 行 不 茍 合 立 不 易 方 不 以 天 下 枉 道 不 以 樂 生 害 仁 安 可 以 祿 誘 哉 雖 強 縛 執 之 而 不 獲 已 亦 杜 口 佯 愚 茍 免 不 暇 國 之 安 危 將 何 賴 。	Sách Trung Luận viết : Nay chẳng lo làm rõ việc nghĩa, mà chỉ bày ra bổng lộc thì chỉ thu được kẻ tiểu-nhân, khó mà có được người quân-tử. Người quân-tử làm việc chẳng tùy tiện cho phù hợp, giữ vững lập trường không thay đổi chí hướng, chẳng để thiên-hạ làm sai lệch đạo đức, cũng chẳng để sự ham thích sống hại lòng nhân, có thể lấy bổng lộc dụ họ ư !, dù có dùng sức mạnh trói buộc giữ lại cũng chẳng được, rồi họ câm miệng giả ngu, tùy tiện cho qua, chẳng nhàn rỗi.
申 鑒 云 : 人 臣 有 三 罪 一 曰 導 二 曰 阿 失 三 曰 尸 寵 以 非 先 上 謂 之 導 從 上 之 非 謂 之 阿 見 非 不 言 謂 之 尸 導 臣 誅 阿 臣 刑 尸 臣 絀 。	Sách Thân Giám viết : Người làm bề tôi có 3 tội : một là đạo, hai là a-thất, ba là thi-sủng.
左 傳 云 : 臧 孫 曰 季 孫 之 愛 我 疾 疢 也 孟 孫 之 惡 我 藥 石 也 美 疢 不 如 惡 石 夫 石 猶 生 我 疢 之 美 其 毒 滋 多 孟 孫 死 吾 亡 無 日 矣 。	Trước làm sai hướng dẫn trên gọi là “đạo”, thuận theo trên gọi là “a-thất”, thấy việc sai trái chẳng nói gọi là “thi-sủng”. Bề tôi mắc tội “đạo” thì giết đi, mắc tội “a-thất” thì phạt hình, mắc tội “thi-sủng” thì giáng chức.
桓 子 新 論 云 : 善 善 而 不 能 用 惡 惡 而 不 能 去 彼 善 人 知 其 貴 己 而 不 用 則 怨 之 惡 人 見 其 賤 己 而 不 好 則 仇 之 夫 與 善 人 為 怨 惡 人 為 仇 欲 毋 亡 得 乎 。	Sách Tả Truyện viết : Ông Khánh-Trịnh nói : * bỏ thí xả là không thương yêu, * Thích tai họa là bất nhân. *Ham thích là không tốt lành, * Giận láng giềng là bất nghĩa.
左 傳 云 : 慶 鄭 曰 背 施 無 親 幸 災 不 仁 貪 愛 不 祥 怒 鄰 不 義 四 德 皆 失 何 以 守 國 。	Bốn đức tốt đều mất, làm sao bảo vệ quốc gia ?.
第 二 篇 臣 道	THIÊN THỨ 2 : THẦN ĐẠO
吳 志 云 : 歷 觀 古 今 功 名 之 士 皆 有 積 累 殊 異 之 跡 勞 身 苦 體 契 闊 勤 思 平 居 不 惰 其 業 窮 困 不 易 其 素 。	Lao thân, khổ thể, nhọc nhằn, lo nghĩ, ăn ở bình thường, không lười biếng trong sự nghiệp, gặp cảnh khốn cùng không đổi (chí hướng) ban đầu.
潛 夫 論 云 : 夫 賢 者 之 為 人 臣 不 損 君 以 奉 佞 不 阿 眾 以 取 容 不 墮 公 以 聽 私 不 撓 法 以 吐 剛 其 明 能 照 奸 而 義 不 比 黨 。	Sách Tiềm Phu Luận viết : Người hiền làm bề tôi, chẳng làm tổn hại vua để nịnh nọt vâng theo, chẳng hùa theo đại chúng để có chốn dung thân, chẳng lật đỗ công bằng để nghe theo ý riêng, chẳng bẻ cong pháp luật để vừa lòng kẻ mạnh, lấy sự sáng suốt chiếu gọi kẻ gian trá, theo đạo nghĩa chẳng kết bè đảng.
後 漢 書 云 : 楊 震 字 伯 起 弘 農 人 也 遷 東 萊 太 守 道 經 昌 邑 故 所 舉 茂 才 王 密 為 昌 邑 令 謁 見 至 夜 懷 金 十 斤 以 遺 震 震 曰 故 人 之 君 君 不 知 故 人 何 也 密 曰 暮 夜 無 知 者 震 曰 天 知 神 知 我 知 子 知 何 謂 無 知 。	Sách Hậu Hán Thư viết : Xưa kia Tấn-Bình-Công hỏi ông Thúc-Hướng rằng : mối hại của quốc gia thế nào là lớn ?
後 漢 書 云 : 昔 者 晉 平 公 問 於 叔 向 曰 國 家 之 患 孰 為 大 對 曰 大 臣 重 祿 不 極 諫 小 臣 畏 罪 不 敢 言 下 情 不 上 通 此 患 之 大 者 。	Thúc-Hướng đáp : thưa quan lớn coi trọng bổng lộc chẳng can gián tới cùng, quan nhỏ sợ tội chẳng dám nói, sự tình bên dưới trên không thông, đó là mối hại lớn.
說 苑 云 : 人 臣 之 行 有 六 正 則 榮 犯 六 邪 則 辱 。 亡 國 之 臣 賊 臣 讒 臣 姦 臣 諛 臣 具 臣 直 臣 貞 臣 智 臣 忠 臣 良 臣 聖 臣	Sách Thuyết Uyển viết : Người làm bề tôi hành lục-chánh thì vinh, phạm lục-tà thì nhục.
孝 經 云 : 子 曰 君 子 之 事 上 也 進 思 盡 忠 退 思 補 過 將 順 其 美 匡 救 其 惡 故 上 下 能 相 親 也 。	Sách Hiếu Kinh viết : Đức Khổng Tử nói : Người quân-tử phụng sự trên, lúc tiến (làm quan) suy nghĩ tận hết lòng trung, khi thoái (về hưu) thì tu sửa lỗi lầm, giúp người thuận theo điều tốt đẹp, sửa ngăn việc xấu ác. Nên trên dưới hay thân yêu lẫn nhau vậy.
論 語 云 : 孔 子 曰 侍 於 君 子 有 三 愆 言 未 及 之 而 言 謂 之 躁 言 及 之 而 不 言 謂 之 隱 未 見 顏 色 而 言 謂 之 瞽 。	Sách Luận Ngữ viết : Đức Khổng Tử nói : Kẻ hầu người quân-tử có 3 sai lầm, lúc chưa cần nói mà nói gọi là hấp tấp, lúc cần nói mà không nói gọi là ẩn dấu, chưa xem vẻ mặt mà nói gọi là mù quáng.
晏 子 云 : 景 公 問 晏 子 曰 忠 臣 之 事 君 何 若 對 曰 有 難 不 死 出 亡 不 送 公 不 悅 曰 君 裂 地 而 富 之 疏 爵 而 貴 之 有 難 不 死 出 亡 不 送 其 說 何 也 對 曰 言 而 見 用 終 身 無 難 臣 何 死 焉 謀 而 見 從 終 身 不 出 亡 臣 何 送 焉 若 言 不 用 有 難 而 死 是 妄 死 也 謀 而 不 從 出 亡 而 送 是 詐 偽 也 忠 臣 也 者 能 納 善 於 君 而 不 與 君 陷 於 難 者 也 。	Là trung-thần nên dâng điều tốt cho vua, chẳng (nên) cùng vua rơi vào chổ hiểm nạn vậy.
